代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11996167.330000001937151
真實報酬,1996167.330000001937151

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15758.652226410504227
風險,175380.981201789632905
起點值,0.089853826329543
找到最佳解世代,2524
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
GS[8](3),HD[9](2),INTC[11](8),NKE[19](5),PG[21](1),
Stock#,GS[8](3),HD[9](2),INTC[11](8),NKE[19](5),PG[21](1),
張數,11989,24443,64557,51282,25227,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,114.909999999916181,73.740000000223517,24.139999999897555,2.000000000000000,3.439999999944121,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2000959.119999999646097,2003910.880000000353903,2000000.000000000000000,1994871.799999999813735,2007063.560000000055879,10006805.359999999403954
FS( 3 ),2031770.850000000093132,2005621.890000000130385,2010329.119999999878928,2011794.859999999869615,2017658.900000000139698,10077175.620000001043081
FS( 4 ),2011629.329999999841675,1990222.800000000279397,2003227.849999999860302,2016923.059999999823049,2022956.569999999832362,10044959.609999999403954
FS( 5 ),1977220.899999999906868,1974090.420000000391155,1987734.169999999925494,1991794.880000000121072,2032290.560000000055879,9963130.929999999701977
FS( 6 ),1974343.539999999804422,1973357.130000000353903,1994189.869999999878928,2017948.700000000186265,2060292.530000000027940,10020131.769999999552965
FS( 7 ),1959357.289999999804422,1940847.940000000409782,2018075.959999999962747,1987179.500000000000000,2058778.909999999916181,9964239.599999999627471
FS( 8 ),1975902.110000000102445,1945980.970000000204891,2017430.389999999897555,1982051.299999999813735,2047426.759999999776483,9968791.529999999329448
FS( 9 ),2002277.909999999916181,1942314.520000000018626,2032924.069999999832362,1998974.359999999869615,2051463.079999999841675,10027953.939999999478459
FS( 10 ),2028294.039999999804422,1952091.720000000204891,2047126.609999999869615,2001025.640000000130385,2049949.459999999962747,10078487.469999998807907
FS( 11 ),2043879.739999999990687,1947203.120000000111759,2236924.189999999478459,1972307.719999999972060,2041876.819999999832362,10242191.589999999850988
FS( 12 ),2039923.369999999646097,1944514.390000000130385,2175595.040000000037253,1962564.140000000130385,2028254.239999999990687,10150851.179999999701977
FS( 13 ),2055868.739999999990687,1957469.180000000167638,2175595.040000000037253,1987692.319999999832362,2032038.289999999804422,10208663.569999998435378
FS( 14 ),2058865.989999999990687,1948425.270000000018626,2198835.559999999590218,1969743.619999999878928,2025227.000000000000000,10201097.439999999478459
FS( 15 ),2098429.690000000409782,1968712.960000000428408,2245962.169999999925494,1975384.640000000130385,2020686.139999999897555,10309175.600000001490116
FS( 16 ),2120009.889999999664724,1980445.600000000093132,2227240.639999999664724,1984102.579999999841675,2017911.169999999925494,10329709.879999998956919
FS( 17 ),2113296.049999999813735,1984845.340000000316650,2211101.389999999664724,2015384.599999999860302,2024722.459999999962747,10349349.839999999850988
FS( 18 ),2102985.509999999776483,1980690.030000000260770,2211101.389999999664724,1992820.520000000018626,2007063.560000000055879,10294661.009999999776483
FS( 19 ),2109579.459999999962747,1981667.750000000000000,2209810.250000000000000,2010256.400000000139698,1999495.459999999962747,10310809.320000000298023
FS( 20 ),2104663.969999999739230,1979467.880000000353903,2207227.969999999739230,2002564.099999999860302,1984106.989999999990687,10278030.910000000149012
FS( 21 ),2107301.549999999813735,1998533.420000000391155,2217557.089999999850988,2041538.420000000158325,1971745.759999999776483,10336676.240000000223517
FS( 22 ),2072653.340000000083819,1976290.290000000037253,2187860.870000000111759,1977948.739999999990687,1950555.079999999841675,10165308.320000000298023
FS( 23 ),2041242.159999999916181,1949402.990000000223517,2178177.320000000298023,1968717.979999999981374,2009333.989999999990687,10146874.440000001341105
FS( 24 ),2058506.319999999832362,1956247.030000000260770,2198189.989999999292195,1978461.559999999823049,1998486.379999999888241,10189891.279999999329448
FS( 25 ),2031291.289999999804422,1956247.030000000260770,2118784.879999999888241,1972307.719999999972060,2003279.509999999776483,10081910.429999999701977
FS( 26 ),2035127.770000000018626,1968224.100000000093132,2120721.589999999850988,1977948.739999999990687,2045660.870000000111759,10147683.070000000298023
FS( 27 ),2027454.809999999823049,1967001.950000000186265,2109746.899999999441206,1957435.940000000176951,2021695.219999999972060,10083334.820000000298023
FS( 28 ),2065340.049999999813735,2014910.230000000447035,2104582.339999999850988,1975897.459999999962747,2042129.090000000083819,10202859.169999999925494
FS( 29 ),2067737.850000000093132,2025909.580000000074506,2131696.280000000260770,1975897.459999999962747,2055499.400000000139698,10256740.570000000298023
FS( 30 ),2066179.280000000027940,2026887.300000000279397,2138797.549999999813735,1967692.339999999850988,2053985.780000000027940,10253542.250000000000000
FS( 31 ),2066658.840000000083819,2031775.900000000372529,2201417.839999999850988,1981025.660000000149012,2055499.400000000139698,10336377.640000000596046
FS( 32 ),2070974.879999999888241,2049863.720000000204891,2191088.719999999739230,1982051.299999999813735,2067356.090000000083819,10361334.710000000894070
FS( 33 ),2061024.010000000009313,2045708.410000000149012,2205936.830000000074506,1977948.739999999990687,2063067.500000000000000,10353685.490000000223517
FS( 34 ),2092794.860000000102445,2043264.110000000335276,2221430.509999999776483,2014358.959999999962747,2079717.319999999832362,10451565.759999999776483
FS( 35 ),2085721.350000000093132,2156679.630000000353903,2216911.520000000484288,2013333.319999999832362,2086024.069999999832362,10558669.890000000596046
FS( 36 ),2086560.579999999841675,2218275.990000000223517,2227240.639999999664724,2023589.719999999972060,2089051.310000000055879,10644718.240000000223517
FS( 37 ),2099988.259999999776483,2228053.190000000409782,2269202.689999999478459,2024102.540000000037253,2100908.000000000000000,10722254.679999999701977
FS( 38 ),2103824.740000000223517,2225120.030000000260770,2255645.719999999739230,2033333.299999999813735,2103682.969999999739230,10721606.759999997913837
FS( 39 ),2132598.339999999850988,2229275.340000000316650,2247253.309999999590218,2051794.819999999832362,2107467.020000000018626,10768388.829999998211861
FS( 40 ),2132958.009999999776483,2239785.830000000074506,2246607.739999999292195,2037948.680000000167638,2103430.699999999720603,10760730.959999999031425
FS( 41 ),2131879.000000000000000,2245652.150000000372529,2245962.169999999925494,2044102.520000000018626,2101664.810000000055879,10769260.650000000372529
FS( 42 ),2129960.759999999776483,2261295.670000000391155,2236924.189999999478459,2021025.619999999878928,2094601.250000000000000,10743807.489999998360872
FS( 43 ),2147464.700000000186265,2285494.240000000223517,2254354.580000000074506,2014358.959999999962747,2096619.409999999916181,10798291.890000000596046
FS( 44 ),2155377.440000000409782,2228053.190000000409782,2231759.629999999888241,2032820.479999999981374,2093339.900000000139698,10741350.640000000596046
FS( 45 ),2153339.309999999590218,2175500.740000000223517,2231759.629999999888241,2021025.619999999878928,2091321.739999999990687,10672947.039999999105930
FS( 46 ),2159094.030000000260770,2198232.730000000447035,2253709.009999999776483,2049230.719999999972060,2111503.339999999850988,10771769.830000000074506
FS( 47 ),2155137.660000000149012,2239296.970000000204891,2259519.139999999664724,2103589.640000000130385,2113269.229999999981374,10870812.640000000596046
FS( 48 ),2159453.700000000186265,2219987.000000000000000,2280822.950000000186265,2112820.400000000372529,2101917.079999999608845,10875001.130000000819564
FS( 49 ),2126963.509999999776483,2173789.730000000447035,2253709.009999999776483,2098461.439999999944121,2093592.169999999925494,10746515.859999999403954
FS( 50 ),2156576.339999999850988,2181611.490000000223517,2260810.280000000260770,2114871.680000000167638,2109989.719999999739230,10823859.510000001639128
FS( 51 ),2170123.910000000149012,2180878.200000000186265,2260810.280000000260770,2097948.619999999646097,2106205.669999999925494,10815966.679999999701977
FS( 52 ),2196140.040000000037253,2171589.860000000335276,2234987.479999999515712,2098461.439999999944121,2100403.459999999962747,10801582.280000001192093
FS( 53 ),2205851.129999999888241,2184789.080000000074506,2229822.919999999925494,2092820.420000000158325,2115791.930000000167638,10829075.480000000447035
FS( 54 ),2206570.469999999739230,2206543.350000000093132,2255000.149999999441206,2082051.200000000186265,2121089.600000000093132,10871254.769999999552965
FS( 55 ),2215921.889999999664724,2229764.200000000186265,2258228.000000000000000,2090256.319999999832362,2123107.759999999776483,10917278.169999999925494
FS( 56 ),2252728.120000000111759,2251029.610000000335276,2270493.830000000074506,2102051.180000000167638,2123864.569999999832362,11000167.310000000521541
FS( 57 ),2232466.709999999962747,2257140.360000000335276,2247898.879999999888241,2097948.619999999646097,2130928.129999999888241,10966382.699999999254942
FS( 58 ),2221556.719999999739230,2246141.010000000242144,2240797.610000000335276,2069230.700000000186265,2139505.310000000055879,10917231.350000001490116
FS( 59 ),2219158.919999999925494,2236363.810000000055879,2222076.080000000074506,2054358.920000000158325,2130171.319999999832362,10862129.050000000745058
FS( 60 ),2251769.000000000000000,2273761.600000000093132,2243379.889999999664724,2072820.440000000176951,2150352.919999999925494,10992083.849999999627471
FS( 61 ),2207169.919999999925494,2246385.440000000409782,2204000.120000000111759,2045128.160000000149012,2127396.350000000093132,10830079.990000000223517
FS( 62 ),2219518.589999999850988,2269361.860000000335276,2211746.959999999962747,2294871.500000000000000,2133703.100000000093132,11129202.009999999776483
FS( 63 ),2204052.780000000260770,2270339.580000000074506,2253063.439999999478459,2285127.919999999925494,2130171.319999999832362,11142755.039999999105930
FS( 64 ),2200935.639999999664724,2242474.560000000055879,2247898.879999999888241,2287179.200000000186265,2112512.419999999925494,11091000.699999999254942
FS( 65 ),2166527.209999999962747,2224875.600000000093132,2194316.570000000298023,2248717.700000000186265,2097376.219999999739230,10931813.300000000745058
FS( 66 ),2192663.229999999515712,2254696.060000000055879,2163974.780000000260770,2289743.299999999813735,2095105.789999999804422,10996183.159999998286366
FS( 67 ),2254886.139999999664724,2286471.960000000428408,2196898.849999999627471,2315384.299999999813735,2113773.770000000018626,11167415.019999999552965
FS( 68 ),2247812.629999999888241,2279627.920000000391155,2202063.410000000149012,2287692.020000000018626,2108223.829999999608845,11125419.810000000521541
FS( 69 ),2203693.110000000335276,2260317.950000000186265,2160746.929999999701977,2258461.279999999795109,2097880.759999999776483,10981100.029999999329448
FS( 70 ),2237741.870000000111759,2299915.610000000335276,2212392.530000000260770,2277948.439999999944121,2123612.300000000279397,11151610.750000001862645
FS( 71 ),2173360.940000000409782,2274983.750000000000000,2170430.479999999515712,2236922.839999999850988,2110494.259999999776483,10966192.269999999552965
FS( 72 ),2162690.729999999515712,2262273.390000000130385,2060038.010000000009313,2235897.200000000186265,2136478.069999999832362,10857377.399999998509884
FS( 73 ),2143388.440000000409782,2214609.540000000037253,2031632.929999999934807,2189743.400000000372529,2103178.430000000167638,10682552.740000000223517
FS( 74 ),2142549.209999999962747,2202388.040000000037253,2074886.119999999878928,2182051.099999999627471,2107719.290000000037253,10709593.759999997913837
FS( 75 ),2125045.270000000484288,2147391.290000000037253,2019367.099999999860302,2184102.380000000353903,2092583.090000000083819,10568489.130000000819564
FS( 76 ),2069176.530000000027940,2172567.580000000074506,1991607.590000000083819,2231794.640000000130385,2074671.919999999925494,10539818.259999999776483
