代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12482690.440000001341105
真實報酬,2482690.440000001341105

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,44225.360628163667570
風險,189399.369102393451612
起點值,0.233503209845723
找到最佳解世代,2074
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](1),GS[8](2),MSFT[18](4),
Stock#,BA[2](1),GS[8](2),MSFT[18](4),
張數,25180,20694,58051,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,4.600000000093132,150.419999999925494,44.580000000074506,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3330059.600000000093132,3358165.800000000279397,3322883.820000000298023,10011110.220000000670552
FS( 3 ),3390743.399999999906868,3443632.020000000018626,3346104.220000000204891,10180480.640000000596046
FS( 4 ),3384700.199999999720603,3459152.520000000018626,3351909.320000000298023,10195763.039999999105930
FS( 5 ),3370347.600000000093132,3514612.440000000409782,3355392.379999999888241,10240353.420000001788139
FS( 6 ),3420455.800000000279397,3539652.179999999701977,3369324.620000000111759,10329433.600000001490116
FS( 7 ),3367577.800000000279397,3498264.179999999701977,3319981.270000000018626,10185824.250000000000000
FS( 8 ),3352973.399999999906868,3503644.620000000111759,3315337.189999999944121,10171956.209999999031425
FS( 9 ),3358513.000000000000000,3464739.899999999441206,3304307.500000000000000,10127561.399999998509884
FS( 10 ),3361534.600000000093132,3528891.300000000279397,3333333.000000000000000,10223759.900000000372529
FS( 11 ),3374124.600000000093132,3497436.419999999925494,3321722.799999999813735,10193284.820000000298023
FS( 12 ),3401822.600000000093132,3572555.639999999664724,3347265.239999999757856,10321644.480000000447035
FS( 13 ),3429017.000000000465661,3611460.359999999869615,3339718.610000000335276,10380196.970000000670552
FS( 14 ),3420455.800000000279397,3611460.359999999869615,3323464.330000000074506,10355381.490000000223517
FS( 15 ),3415168.000000000000000,3614771.399999999441206,3463367.239999999757856,10493307.639999998733401
FS( 16 ),3460995.599999999627471,3624083.700000000186265,3541155.580000000074506,10626235.879999998956919
FS( 17 ),3500528.200000000186265,3632982.120000000111759,3540575.070000000298023,10674086.390000000596046
FS( 18 ),3664701.799999999813735,3664437.000000000000000,3519676.710000000428408,10848816.509999999776483
FS( 19 ),3608550.400000000372529,3678508.919999999925494,3488909.680000000167638,10775970.000000000000000
