代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11204778.730000000447035
真實報酬,1204778.730000000447035

夏普值報酬,0.111777873000000
夏普值風險,0.039214474734562
夏普值,2.850423823259397

二次趨勢線,92.208556616350720 x^2 + -752.244305886390407 x + 10000000.000000000000000
二次加權預期報酬,14677.320834582958923
風險,108716.749723406348494
二次加權趨勢值,0.135005147522572
一次趨勢線,7926.748323839877230 x + 10000000.000000000000000
一次預期報酬,7926.748323839877230
一次風險,195668.763994577195263
一次趨勢值,0.040511056348573
找到最佳解世代,4756
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](10),JNJ[12](5),NKE[19](7),V[25](1),
Stock#,BA[2](10),JNJ[12](5),NKE[19](7),V[25](1),
張數,34354,36033,107526,78443,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,59.419999999925494,30.459999999962747,20.500000000000000,21.589999999850988,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2473203.879999999888241,2466489.310000000055879,2488172.140000000130385,2535299.350000000093132,9963164.679999999701977
FS( 3 ),2501374.160000000149012,2490631.419999999925494,2541935.140000000130385,2568245.410000000149012,10102186.130000000819564
FS( 4 ),2504122.479999999981374,2480542.180000000167638,2567741.379999999888241,2569814.269999999552965,10122220.309999998658895
FS( 5 ),2558058.259999999776483,2460724.030000000260770,2584945.540000000037253,2557263.390000000130385,10160991.220000000670552
FS( 6 ),2562867.819999999832362,2462886.009999999776483,2578493.979999999981374,2572167.559999999590218,10176415.370000001043081
FS( 7 ),2551874.540000000037253,2461805.019999999552965,2555913.520000000018626,2520395.180000000167638,10089988.259999999776483
FS( 8 ),2549469.759999999776483,2473335.580000000074506,2540859.879999999888241,2531377.200000000186265,10095042.419999999925494
FS( 9 ),2548782.679999999701977,2466849.639999999664724,2576343.459999999962747,2516473.029999999795109,10108448.809999998658895
FS( 10 ),2535728.160000000149012,2473335.580000000074506,2551612.479999999981374,2547065.799999999813735,10107742.019999999552965
FS( 11 ),2510306.199999999720603,2462886.009999999776483,2533333.060000000055879,2531377.200000000186265,10037902.469999998807907
FS( 12 ),2529887.979999999981374,2457481.060000000055879,2548386.699999999720603,2543143.649999999906868,10078899.390000000596046
FS( 13 ),2539163.559999999590218,2443067.859999999869615,2588171.319999999832362,2523532.899999999906868,10093935.640000000596046
FS( 14 ),2536415.239999999757856,2439464.560000000055879,2574192.939999999944121,2513335.309999999590218,10063408.050000000745058
FS( 15 ),2517177.000000000000000,2442347.200000000186265,2576343.459999999962747,2500784.429999999701977,10036652.089999999850988
FS( 16 ),2501030.619999999646097,2441266.209999999962747,2574192.939999999944121,2512550.879999999888241,10029040.649999998509884
FS( 17 ),2417206.859999999869615,2440905.879999999888241,2565590.859999999869615,2493724.559999999590218,9917428.160000000149012
FS( 18 ),2442285.280000000260770,2435861.259999999776483,2604300.219999999739230,2484311.399999999906868,9966758.160000000149012
FS( 19 ),2452247.939999999944121,2431897.629999999888241,2592472.359999999869615,2503922.149999999906868,9980540.080000000074506
FS( 20 ),2457057.500000000000000,2432618.290000000037253,2658063.219999999739230,2498431.140000000130385,10046170.150000000372529
FS( 21 ),2454309.179999999701977,2427573.669999999925494,2652686.920000000391155,2510982.019999999552965,10045551.789999999105930
FS( 22 ),2433009.699999999720603,2421808.389999999664724,2627955.939999999944121,2485095.829999999608845,9967869.859999999403954
FS( 23 ),2452935.020000000018626,2429735.650000000372529,2617203.339999999850988,2514904.169999999925494,10014778.179999999701977
FS( 24 ),2434727.399999999906868,2423610.040000000037253,2615052.819999999832362,2520395.180000000167638,9993785.439999999478459
FS( 25 ),2470799.100000000093132,2423970.369999999646097,2617203.339999999850988,2502353.289999999571592,10014326.099999999627471
FS( 26 ),2501717.699999999720603,2444509.180000000167638,2674192.120000000111759,2540005.930000000167638,10160424.929999999701977
FS( 27 ),2504122.479999999981374,2445950.500000000000000,2668815.819999999832362,2543928.079999999608845,10162816.880000000819564
FS( 28 ),2441941.739999999757856,2456760.400000000372529,2689245.760000000242144,2523532.899999999906868,10111480.800000000745058
