代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13209915.289999999105930
真實報酬,3209915.289999999105930

夏普值報酬,0.312291529000000
夏普值風險,0.095215661928356
夏普值,3.279833618496290

二次趨勢線,-315.088028552330400 x^2 + 64538.558635487752326 x + 10000000.000000000000000
二次加權預期報酬,11393.711152994690565
風險,433845.884380379167851
二次加權趨勢值,0.026262116486981
一次趨勢線,34645.048954295707517 x + 10000000.000000000000000
一次預期報酬,34645.048954295707517
一次風險,712199.846901523182169
一次趨勢值,0.048645122720851
找到最佳解世代,2382
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,359453,
分配資金,10000000.000000000000000,
剩餘資金,17.539999999105930,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10057512.479999998584390,10057512.479999998584390
FS( 3 ),10230049.919999999925494,10230049.919999999925494
FS( 4 ),9863407.859999999403954,9863407.859999999403954
FS( 5 ),10035945.299999998882413,10035945.299999998882413
FS( 6 ),9967649.229999998584390,9967649.229999998584390
FS( 7 ),10075485.129999998956919,10075485.129999998956919
FS( 8 ),10017972.650000000372529,10017972.650000000372529
FS( 9 ),10201293.679999997839332,10201293.679999997839332
FS( 10 ),10291156.929999997839332,10291156.929999997839332
FS( 11 ),10445721.719999998807907,10445721.719999998807907
FS( 12 ),10402587.359999999403954,10402587.359999999403954
FS( 13 ),10420560.009999997913837,10420560.009999997913837
FS( 14 ),10355858.469999998807907,10355858.469999998807907
FS( 15 ),10291156.929999997839332,10291156.929999997839332
FS( 16 ),10118619.489999998360872,10118619.489999998360872
FS( 17 ),10305535.049999998882413,10305535.049999998882413
FS( 18 ),10373831.119999999180436,10373831.119999999180436
FS( 19 ),10506828.729999998584390,10506828.729999998584390
FS( 20 ),10733284.119999999180436,10733284.119999999180436
FS( 21 ),10726095.059999998658895,10726095.059999998658895
FS( 22 ),10747662.239999998360872,10747662.239999998360872
FS( 23 ),10819552.839999999850988,10819552.839999999850988
FS( 24 ),11243707.379999998956919,11243707.379999998956919
FS( 25 ),11250896.439999999478459,11250896.439999999478459
FS( 26 ),11452190.119999999180436,11452190.119999999180436
FS( 27 ),11545647.899999998509884,11545647.899999998509884
FS( 28 ),11577998.669999999925494,11577998.669999999925494
FS( 29 ),11635511.149999998509884,11635511.149999998509884
FS( 30 ),11495324.479999998584390,11495324.479999998584390
FS( 31 ),11524080.720000000670552,11524080.720000000670552
FS( 32 ),11509702.599999999627471,11509702.599999999627471
FS( 33 ),11534864.310000000521541,11534864.310000000521541
FS( 34 ),11412650.289999999105930,11412650.289999999105930
FS( 35 ),11542053.369999999180436,11542053.369999999180436
FS( 36 ),11725374.399999998509884,11725374.399999998509884
FS( 37 ),11779292.349999999627471,11779292.349999999627471
FS( 38 ),11639105.679999999701977,11639105.679999999701977
FS( 39 ),11858372.009999999776483,11858372.009999999776483
FS( 40 ),11933857.140000000596046,11933857.140000000596046
FS( 41 ),12109989.109999997541308,12109989.109999997541308
FS( 42 ),12066854.750000000000000,12066854.750000000000000
FS( 43 ),12117178.169999999925494,12117178.169999999925494
FS( 44 ),12246581.250000000000000,12246581.250000000000000
FS( 45 ),12300499.199999999254942,12300499.199999999254942
FS( 46 ),12354417.149999998509884,12354417.149999998509884
FS( 47 ),12322066.379999998956919,12322066.379999998956919
FS( 48 ),12415524.159999998286366,12415524.159999998286366
FS( 49 ),12440685.869999999180436,12440685.869999999180436
FS( 50 ),12447874.929999999701977,12447874.929999999701977
FS( 51 ),12616817.839999999850988,12616817.839999999850988
FS( 52 ),12782166.220000000670552,12782166.220000000670552
FS( 53 ),12703086.560000000521541,12703086.560000000521541
FS( 54 ),12688708.439999997615814,12688708.439999997615814
FS( 55 ),12559305.359999997541308,12559305.359999997541308
FS( 56 ),13310562.129999998956919,13310562.129999998956919
FS( 57 ),13684393.250000000000000,13684393.250000000000000
FS( 58 ),13907254.109999997541308,13907254.109999997541308
FS( 59 ),13838958.039999999105930,13838958.039999999105930
FS( 60 ),13454343.329999998211861,13454343.329999998211861
FS( 61 ),13432776.149999998509884,13432776.149999998509884
FS( 62 ),13795823.679999999701977,13795823.679999999701977
