代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11579814.039999999105930
真實報酬,1579814.039999999105930

夏普值報酬,0.149281404000000
夏普值風險,0.063751263152604
夏普值,2.341622685069935

二次趨勢線,270.652539026413649 x^2 + -20768.183603195881005 x + 10000000.000000000000000
二次加權預期報酬,25242.748031294438988
風險,230474.200207768066321
二次加權趨勢值,0.109525265771781
一次趨勢線,5112.567422765167976 x + 10000000.000000000000000
一次預期報酬,5112.567422765167976
一次風險,544074.791303172241896
一次趨勢值,0.009396809968937
找到最佳解世代,1965
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](2),MCD[15](1),
Stock#,HD[9](2),MCD[15](1),
張數,136128,58377,
FS( 73 ),4684183.040000000037253,5213659.819999999366701,9897842.859999999403954
FS( 74 ),4771304.959999999962747,5250437.329999999143183,10021742.289999999105930
FS( 75 ),4716853.760000000707805,5175714.769999998621643,9892568.529999999329448
FS( 76 ),4893820.160000001080334,5232924.229999999515712,10126744.390000000596046
FS( 77 ),4818949.760000000707805,5231756.689999999478459,10050706.449999999254942
FS( 78 ),4863872.000000000000000,5196146.719999999739230,10060018.719999998807907
FS( 79 ),5017696.640000000596046,5389374.589999998919666,10407071.230000000447035
FS( 80 ),4995916.160000001080334,5371277.719999999739230,10367193.880000000819564
FS( 81 ),4906071.680000000633299,5357267.239999999292195,10263338.919999999925494
FS( 82 ),4975496.959999999962747,5357851.009999999776483,10333347.969999998807907
FS( 83 ),5087121.919999999925494,5458843.219999999739230,10545965.140000000596046
FS( 84 ),4916961.919999999925494,5446000.279999999329448,10362962.199999999254942
FS( 85 ),4873400.959999999962747,5420314.399999998509884,10293715.359999999403954
FS( 86 ),4838007.680000000633299,5365440.019999998621643,10203447.699999999254942
FS( 87 ),4899265.280000001192093,5401633.759999999776483,10300899.040000000968575
FS( 88 ),4961884.160000001080334,5429070.949999999254942,10390955.109999999403954
FS( 89 ),4953716.480000000447035,5476356.319999999366701,10430072.800000000745058
FS( 90 ),5083038.080000001005828,5523641.689999999478459,10606679.769999999552965
FS( 91 ),5164714.879999999888241,5522474.149999998509884,10687189.029999997466803
FS( 92 ),5058535.040000000037253,5408639.000000000000000,10467174.039999999105930
FS( 93 ),5063980.160000001080334,5444248.969999999739230,10508229.130000000819564
