代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11460406.980000000447035
真實報酬,1460406.980000000447035

夏普值報酬,0.137340698000000
夏普值風險,0.049782155813841
夏普值,2.758833878419837

二次趨勢線,125.357758455172558 x^2 + -4569.194108248900193 x + 10000000.000000000000000
二次加權預期報酬,17075.912185010896792
風險,175851.076426075655036
二次加權趨勢值,0.097104393854474
一次趨勢線,7605.996679163701629 x + 10000000.000000000000000
一次預期報酬,7605.996679163701629
一次風險,293897.351924773829523
一次趨勢值,0.025879772748380
找到最佳解世代,1978
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),PG[21](3),VZ[26](7),
Stock#,AAPL[0](1),PG[21](3),VZ[26](7),
張數,15833,31767,58976,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,169.839999999850988,21.689999999944121,9.479999999981374,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3311641.790000000037253,3353346.209999999962747,3361051.720000000204891,10026040.720000000670552
FS( 3 ),3352807.589999999850988,3369865.049999999813735,3375795.720000000204891,10098469.359999999403954
FS( 4 ),3301033.679999999701977,3357158.250000000000000,3356333.639999999664724,10014526.570000000298023
FS( 5 ),3212052.220000000204891,3326026.589999999850988,3339820.360000000335276,9877900.170000001788139
FS( 6 ),3212685.540000000037253,3337780.379999999888241,3325076.360000000335276,9875543.280000001192093
FS( 7 ),3178169.599999999627471,3311413.769999999552965,3330973.959999999962747,9820558.329999998211861
FS( 8 ),3122120.779999999795109,3367641.360000000335276,3356333.639999999664724,9846096.780000001192093
FS( 9 ),2940674.599999999627471,3370818.060000000055879,3346897.479999999981374,9658391.140000000596046
FS( 10 ),2987223.619999999646097,3354616.889999999664724,3335102.279999999795109,9676943.789999999105930
FS( 11 ),3023006.199999999720603,3389560.589999999850988,3350436.040000000037253,9763003.829999998211861
FS( 12 ),3009706.479999999981374,3434352.060000000055879,3384052.360000000335276,9828111.900000000372529
FS( 13 ),2992606.839999999850988,3413385.839999999850988,3425925.320000000298023,9831919.000000000000000
FS( 14 ),2899033.810000000055879,3409573.799999999813735,3480183.239999999757856,9788791.849999999627471
FS( 15 ),2954607.639999999664724,3379077.479999999981374,3509081.479999999981374,9842767.599999999627471
FS( 16 ),2894125.580000000074506,3390195.929999999701977,3494337.479999999981374,9778659.990000000223517
FS( 17 ),2844726.619999999646097,3391466.610000000335276,3471926.599999999627471,9708120.830000000074506
FS( 18 ),2833801.849999999627471,3389242.919999999925494,3498465.799999999813735,9721511.570000000298023
FS( 19 ),2822085.429999999701977,3318402.509999999776483,3463669.959999999962747,9604158.899999998509884
FS( 20 ),2808627.379999999888241,3309825.419999999925494,3431233.160000000149012,9549686.960000000894070
FS( 21 ),2823193.740000000223517,3346039.799999999813735,3351615.560000000055879,9520850.099999999627471
FS( 22 ),2772053.149999999906868,3269163.659999999683350,3205355.080000000074506,9246572.890000000596046
FS( 23 ),2744028.740000000223517,3297436.290000000037253,3325076.360000000335276,9366542.390000000596046
FS( 24 ),2844409.959999999497086,3325391.250000000000000,3315640.199999999720603,9485442.409999998286366
FS( 25 ),2890325.659999999683350,3390513.600000000093132,3363410.760000000242144,9644251.019999999552965
FS( 26 ),2932758.099999999627471,3411162.149999999906868,3393488.520000000018626,9737409.769999999552965
FS( 27 ),3010814.790000000037253,3455318.279999999795109,3375795.720000000204891,9841929.790000000968575
FS( 28 ),3049288.979999999981374,3453729.929999999701977,3311511.879999999888241,9814531.789999999105930
FS( 29 ),3084596.569999999832362,3474696.149999999906868,3351615.560000000055879,9910909.279999999329448
FS( 30 ),3074780.109999999869615,3484226.250000000000000,3382872.839999999850988,9941880.199999999254942
FS( 31 ),3074146.790000000037253,3523299.659999999683350,3398206.599999999627471,9995654.049999998882413
FS( 32 ),3051822.259999999776483,3532512.089999999850988,3437130.760000000242144,10021466.109999999403954
FS( 33 ),3070030.209999999497086,3525841.019999999552965,3398796.360000000335276,9994668.589999999850988
FS( 34 ),3142228.689999999478459,3481684.889999999664724,3381103.560000000055879,10005018.139999998733401
FS( 35 ),3133045.549999999813735,3507733.830000000074506,3398796.360000000335276,10039576.740000000223517
FS( 36 ),3158220.020000000018626,3549666.269999999552965,3381693.320000000298023,10089580.609999999403954
FS( 37 ),3147453.580000000074506,3532512.089999999850988,3407053.000000000000000,10087019.669999999925494
FS( 38 ),3144286.979999999981374,3568408.799999999813735,3436541.000000000000000,10149237.779999999329448
FS( 39 ),3096629.649999999906868,3549030.929999999701977,3420617.479999999981374,10066279.060000000521541
FS( 40 ),3163603.240000000223517,3485814.600000000093132,3361051.720000000204891,10010470.560000000521541
FS( 41 ),3162653.259999999776483,3487402.950000000186265,3376385.479999999981374,10026442.689999999478459
FS( 42 ),3133837.199999999720603,3483273.240000000223517,3369308.360000000335276,9986419.800000000745058
FS( 43 ),3191310.990000000223517,3509957.519999999552965,3341589.639999999664724,10042859.149999998509884
FS( 44 ),3209993.929999999701977,3541406.850000000093132,3428284.360000000335276,10179686.140000000596046
FS( 45 ),3236593.369999999646097,3624001.049999999813735,3428284.360000000335276,10288879.780000001192093
FS( 46 ),3233743.429999999701977,3594457.740000000223517,3438900.040000000037253,10267102.210000000894070
FS( 47 ),3167086.500000000000000,3623048.040000000037253,3414130.120000000111759,10204265.660000000149012
FS( 48 ),3186402.759999999776483,3586833.659999999683350,3326845.639999999664724,10100083.059999998658895
FS( 49 ),3217910.429999999701977,3613517.939999999944121,3361641.479999999981374,10193070.849999999627471
FS( 50 ),3194477.589999999850988,3633531.149999999906868,3356923.399999999906868,10184933.140000000596046
FS( 51 ),3219018.740000000223517,3652909.019999999552965,3372846.919999999925494,10244775.679999999701977
FS( 52 ),3249259.770000000018626,3668474.850000000093132,3395847.560000000055879,10313583.179999999701977
FS( 53 ),3238018.339999999850988,3681499.319999999832362,3385821.639999999664724,10305340.300000000745058
FS( 54 ),3219810.389999999664724,3683087.669999999925494,3374616.199999999720603,10277515.259999999776483
FS( 55 ),3256384.619999999646097,3667204.169999999925494,3374026.439999999944121,10297616.229999998584390
FS( 56 ),3207777.310000000055879,3653544.360000000335276,3337461.320000000298023,10198783.990000000223517
FS( 57 ),3281084.099999999627471,3662756.790000000037253,3273177.479999999981374,10217019.369999999180436
FS( 58 ),3306733.560000000055879,3616694.639999999664724,3271997.959999999962747,10195427.160000000149012
FS( 59 ),3304041.949999999720603,3576985.889999999664724,3300896.199999999720603,10181925.039999999105930
FS( 60 ),3277917.500000000000000,3582386.279999999795109,3323896.839999999850988,10184201.619999999180436
FS( 61 ),3289317.259999999776483,3644649.600000000093132,3366359.560000000055879,10300327.419999999925494
