代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13428054.349999997764826
真實報酬,3428054.349999997764826

夏普值報酬,0.334105435000000
夏普值風險,0.091858127553524
夏普值,3.637189695656720

二次趨勢線,197.540476789354898 x^2 + 2782.625562532997719 x + 10000000.000000000000000
二次加權預期報酬,35574.344709565899393
風險,189310.432095631724223
二次加權趨勢值,0.187915395447385
一次趨勢線,21227.670082020984410 x + 10000000.000000000000000
一次預期報酬,21227.670082020984410
一次風險,391774.960192554339301
一次趨勢值,0.054183325222183
找到最佳解世代,1980
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](5),HD[9](1),MRK[17](10),
Stock#,AAPL[0](5),HD[9](1),MRK[17](10),
張數,61240,101224,101317,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,39.799999999813735,26.680000000167638,3.700000000186265,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3272705.399999999906868,3257415.000000000000000,3279634.989999999757856,9809756.390000000596046
FS( 3 ),3322309.799999999813735,3244255.879999999888241,3267476.950000000186265,9834043.629999998956919
FS( 4 ),3359053.799999999813735,3327259.560000000055879,3339412.020000000484288,10025726.379999998956919
FS( 5 ),3360891.000000000000000,3285757.720000000204891,3321174.960000000428408,9967824.680000001564622
FS( 6 ),3302713.000000000000000,3226035.560000000055879,3225936.979999999981374,9754686.540000000968575
FS( 7 ),3324147.000000000000000,3274623.080000000540167,3242147.700000000186265,9840918.780000001192093
FS( 8 ),3365177.799999999813735,3306002.520000000018626,3215805.279999999795109,9886986.599999999627471
FS( 9 ),3405596.199999999720603,3395079.640000000130385,3254305.739999999757856,10054982.580000000074506
FS( 10 ),3438053.399999999906868,3469985.400000000372529,3291793.030000000260770,10199832.830000001937151
FS( 11 ),3503580.199999999720603,3503389.320000000298023,3311043.260000000242144,10318013.779999999329448
FS( 12 ),3600951.799999999813735,3477071.080000000540167,3267476.950000000186265,10345500.830000001937151
FS( 13 ),3616874.199999999720603,3523634.120000000577420,3292806.200000000186265,10433315.519999999552965
FS( 14 ),3605851.000000000000000,3425446.840000000316650,3226950.150000000372529,10258248.990000000223517
FS( 15 ),3515215.799999999813735,3345479.879999999888241,3154001.910000000149012,10014698.589999999850988
FS( 16 ),3537262.199999999720603,3413299.959999999962747,3145896.550000000279397,10096459.710000000894070
FS( 17 ),3527463.799999999813735,3441642.680000000167638,3202634.070000000298023,10171741.550000000745058
FS( 18 ),3493169.399999999906868,3429495.800000000279397,3256332.080000000074506,10178998.280000001192093
FS( 19 ),3473572.599999999627471,3401153.080000000540167,3236068.680000000167638,10110795.359999999403954
FS( 20 ),3417231.799999999813735,3420385.640000000130385,3309016.919999999925494,10146635.359999999403954
FS( 21 ),3335782.599999999627471,3327259.560000000055879,3313069.600000000558794,9976112.760000001639128
FS( 22 ),3276992.199999999720603,3197692.840000000316650,3198581.390000000130385,9673267.429999999701977
FS( 23 ),3258620.199999999720603,3286769.959999999962747,3176291.650000000372529,9721682.810000000521541
FS( 24 ),3309449.399999999906868,3323210.600000000093132,3187436.520000000484288,9820097.519999999552965
FS( 25 ),3301488.199999999720603,3378883.800000000279397,3183383.840000000316650,9863756.839999999850988
FS( 26 ),3235348.999999999534339,3433544.760000000242144,3202634.070000000298023,9871528.830000000074506
FS( 27 ),3401309.399999999906868,3508450.520000000018626,3277608.650000000372529,10187369.570000000298023
FS( 28 ),3501743.000000000000000,3513511.720000000204891,3235055.510000000242144,10250311.230000000447035
FS( 29 ),3518890.199999999720603,3514523.959999999962747,3299898.390000000130385,10333313.550000000745058
FS( 30 ),3573393.799999999813735,3483144.520000000018626,3313069.600000000558794,10369608.920000001788139
FS( 31 ),3692199.399999999906868,3547927.879999999888241,3341438.359999999869615,10581566.639999998733401
