代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11524605.580000000074506
真實報酬,1524605.580000000074506

夏普值報酬,0.143760558000000
夏普值風險,0.040320121809555
夏普值,3.565479258198372

二次趨勢線,-2.463561699836305 x^2 + 12059.252357684938033 x + 10000000.000000000000000
二次加權預期報酬,11643.731617645884398
風險,109433.192765573679935
二次加權趨勢值,0.106400364673531
一次趨勢線,11825.525592937245165 x + 10000000.000000000000000
一次預期報酬,11825.525592937245165
一次風險,109522.257684495169087
一次趨勢值,0.107973720072531
找到最佳解世代,1753
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,3
JPM[13](2),MRK[17](9),NKE[19](1),
Stock#,JPM[13](2),MRK[17](9),NKE[19](1),
張數,60092,54752,72526,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,29.760000000242144,31.239999999757856,38.040000000037253,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3408448.000000000000000,3340998.279999999795109,3385551.720000000204891,10134999.000000000000000
FS( 3 ),3388016.720000000204891,3233136.839999999385327,3355816.060000000055879,9976970.619999999180436
FS( 4 ),3411452.600000000558794,3239707.080000000074506,3384826.459999999962747,10035987.140000000596046
FS( 5 ),3478755.640000000130385,3218901.319999999832362,3328981.439999999944121,10026639.400000000372529
FS( 6 ),3474549.200000000186265,3193715.399999999441206,3306498.380000000353903,9974763.980000000447035
FS( 7 ),3513008.080000000074506,3222186.439999999944121,3363793.920000000391155,10098989.439999999478459
FS( 8 ),3507599.800000000279397,3216163.719999999739230,3311575.199999999720603,10035339.719999998807907
FS( 9 ),3579710.200000000186265,3223829.000000000000000,3336234.040000000037253,10139774.240000000223517
FS( 10 ),3585719.400000000372529,3219996.359999999869615,3337684.560000000055879,10143401.320000000298023
FS( 11 ),3611558.960000000428408,3218901.319999999832362,3331157.220000000204891,10161618.500000000000000
FS( 12 ),3567691.800000000279397,3219448.839999999385327,3394980.100000000093132,10182121.740000000223517
FS( 13 ),3559278.919999999925494,3192072.839999999385327,3397881.140000000130385,10149233.900000000372529
FS( 14 ),3593531.359999999869615,3194810.439999999944121,3442847.259999999776483,10231190.059999998658895
FS( 15 ),3566489.960000000428408,3192072.839999999385327,3445748.299999999813735,10204312.099999999627471
FS( 16 ),3654825.200000000186265,3195357.959999999497086,3460253.500000000000000,10310437.660000000149012
FS( 17 ),3674054.640000000130385,3202475.719999999739230,3511021.699999999720603,10387553.059999998658895
FS( 18 ),3700495.120000000111759,3228209.159999999683350,3517549.040000000037253,10446254.320000000298023
FS( 19 ),3682467.520000000484288,3205213.319999999832362,3521900.600000000093132,10409582.439999999478459
