代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13439014.400000000372529
真實報酬,3439014.400000000372529

夏普值報酬,0.335201440000000
夏普值風險,0.094975290946100
夏普值,3.529354178975181

二次趨勢線,44.309954833695841 x^2 + 24872.475783276851871 x + 10000000.000000000000000
二次加權預期報酬,32287.008225448626035
風險,170017.064781613822561
二次加權趨勢值,0.189904514978665
一次趨勢線,29043.084081866814813 x + 10000000.000000000000000
一次預期報酬,29043.084081866814813
一次風險,187129.706785708374809
一次趨勢值,0.155202958315568
找到最佳解世代,2328
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](5),UNH[23](1),WBA[27](3),
Stock#,BA[2](5),UNH[23](1),WBA[27](3),
張數,26737,39271,56458,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,31.209999999962747,10.520000000018626,52.680000000167638,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3319964.500000000000000,3334118.420000000391155,3373982.760000000242144,10028066.679999999701977
FS( 3 ),3378518.529999999795109,3378101.939999999944121,3431005.340000000316650,10187626.810000000521541
FS( 4 ),3375844.830000000074506,3341579.910000000149012,3424230.379999999888241,10141656.120000001043081
FS( 5 ),3297238.049999999813735,3306236.009999999776483,3378499.400000000372529,9981974.460000000894070
FS( 6 ),3341621.470000000204891,3401664.540000000037253,3469961.360000000335276,10213248.370000001043081
FS( 7 ),3282265.330000000074506,3335689.259999999776483,3475042.580000000074506,10092998.169999999925494
FS( 8 ),3248576.709999999962747,3353361.209999999962747,3556342.100000000093132,10158281.019999999552965
FS( 9 ),3220502.859999999869615,3296810.970000000204891,3426488.700000000186265,9943803.530000001192093
FS( 10 ),3269698.939999999944121,3252434.739999999757856,3426488.700000000186265,9948623.379999998956919
FS( 11 ),3213551.239999999757856,3226515.879999999888241,3441167.780000000260770,9881235.899999998509884
FS( 12 ),3216224.939999999944121,3353361.209999999962747,3409551.300000000279397,9979138.450000001117587
FS( 13 ),3295099.089999999850988,3462927.300000000279397,3402776.340000000316650,10160803.730000000447035
FS( 14 ),3323707.680000000167638,3477064.860000000335276,3398824.280000000260770,10199597.820000000298023
FS( 15 ),3398838.649999999906868,3571707.970000000204891,3475042.580000000074506,10445590.199999999254942
FS( 16 ),3247239.859999999869615,3525368.189999999944121,3472219.680000000167638,10244828.730000000447035
FS( 17 ),3262747.319999999832362,3560319.379999999888241,3504400.740000000223517,10327468.439999999478459
FS( 18 ),3268362.089999999850988,3598804.959999999962747,3537146.379999999888241,10404314.429999999701977
FS( 19 ),3265153.649999999906868,3618047.750000000000000,3563117.060000000055879,10446319.460000000894070
FS( 20 ),3304991.779999999795109,3638075.959999999962747,3596427.280000000260770,10539496.019999999552965
FS( 21 ),3290821.169999999925494,3650642.679999999701977,3547308.820000000298023,10488773.669999999925494
FS( 22 ),3310606.549999999813735,3686772.000000000000000,3554648.360000000335276,10552027.910000000149012
FS( 23 ),3339749.879999999888241,3731148.230000000447035,3625785.439999999944121,10696684.550000000745058
FS( 24 ),3369695.319999999832362,3725257.580000000074506,3668693.520000000484288,10763647.420000001788139
FS( 25 ),3364615.290000000037253,3729970.100000000093132,3683372.600000000093132,10777958.990000000223517
FS( 26 ),3321301.350000000093132,3762172.319999999832362,3707084.959999999962747,10790559.629999998956919
FS( 27 ),3330926.669999999925494,3778273.429999999701977,3762978.380000000353903,10872179.480000000447035
FS( 28 ),3327450.859999999869615,3676168.830000000074506,3778222.040000000037253,10781842.730000000447035
FS( 29 ),3332530.890000000130385,3720937.770000000018626,3826775.920000000391155,10880245.580000000074506
FS( 30 ),3351781.529999999795109,3757852.509999999776483,3810967.680000000167638,10920602.719999998807907
FS( 31 ),3365417.399999999906868,3757459.800000000279397,3807580.200000000186265,10930458.400000000372529
FS( 32 ),3436537.819999999832362,3766099.420000000391155,3780480.359999999869615,10983118.599999999627471
FS( 33 ),3445361.030000000260770,3735075.330000000074506,3778786.620000000577420,10959223.980000000447035
FS( 34 ),3433596.749999999534339,3788483.890000000130385,3757332.580000000074506,10979414.219999998807907
FS( 35 ),3493487.629999999888241,3856030.009999999776483,3842584.160000000149012,11192102.800000000745058
FS( 36 ),3518887.780000000260770,3803799.580000000074506,3827340.500000000465661,11150028.860000001266599
FS( 37 ),3521294.109999999869615,3803406.869999999646097,3801934.400000000372529,11126636.379999998956919
FS( 38 ),3550170.069999999832362,3797908.929999999701977,3816048.900000000372529,11164128.900000000372529
FS( 39 ),3599098.780000000260770,3805370.420000000391155,3823953.020000000484288,11228423.220000002533197
FS( 40 ),3604446.180000000167638,3844641.420000000391155,3828469.660000000149012,11277558.260000001639128
FS( 41 ),3603644.069999999832362,3852888.330000000074506,3865731.939999999944121,11322265.339999999850988
FS( 42 ),3592414.530000000260770,3873309.250000000000000,3873636.060000000055879,11339360.839999999850988
FS( 43 ),3539742.639999999664724,3890195.780000000260770,3826211.339999999850988,11256150.759999999776483
FS( 44 ),3536801.569999999832362,3920434.449999999720603,3768624.180000000167638,11225861.199999999254942
FS( 45 ),3528513.100000000093132,3958527.319999999832362,3804192.719999999739230,11291234.140000000596046
FS( 46 ),3511134.049999999813735,3914151.090000000316650,3833550.880000000353903,11258837.020000001415610
FS( 47 ),3534929.979999999981374,3940069.949999999720603,3873071.479999999981374,11348072.410000000149012
FS( 48 ),3483327.569999999832362,3923968.840000000316650,3823953.020000000484288,11231250.429999999701977
FS( 49 ),3466750.629999999888241,3967166.939999999944121,3872506.900000000372529,11306425.470000000670552
FS( 50 ),3332530.890000000130385,3891373.910000000149012,3847665.380000000353903,11071571.180000001564622
FS( 51 ),3298574.899999999906868,3916507.350000000093132,4122051.260000000242144,11337134.509999999776483
FS( 52 ),3229058.699999999720603,3878414.480000000447035,4206173.679999999701977,11313647.859999999403954
FS( 53 ),3264084.169999999925494,3859171.689999999944121,4146328.200000000186265,11269585.059999998658895
FS( 54 ),3322103.459999999962747,3764135.869999999646097,4087047.300000000279397,11173287.630000000819564
FS( 55 ),3343760.430000000167638,3893337.459999999962747,4064464.100000000093132,11301562.990000000223517
FS( 56 ),3360070.000000000000000,4015077.559999999590218,4199398.720000000670552,11574547.280000001192093
FS( 57 ),3375042.720000000204891,4024895.309999999590218,4134472.020000000484288,11534411.050000000745058
FS( 58 ),3428249.350000000093132,4046494.360000000335276,4193188.339999999850988,11667933.050000000745058
FS( 59 ),3476643.319999999832362,4039032.869999999646097,4319654.259999999776483,11835331.449999999254942
FS( 60 ),3508995.090000000316650,4032356.800000000279397,4328687.540000000968575,11870040.430000001564622
FS( 61 ),3519422.520000000018626,4027251.569999999832362,4316831.359999999403954,11863506.449999999254942
FS( 62 ),3537068.939999999944121,4018611.949999999720603,4335462.500000000000000,11891144.390000000596046
FS( 63 ),3524769.920000000391155,4039032.869999999646097,4293683.580000000074506,11857487.370000001043081
FS( 64 ),3475306.469999999739230,3969915.910000000149012,4302152.280000001192093,11747375.660000000149012
FS( 65 ),3474504.359999999869615,3957741.899999999906868,4290860.679999999701977,11723107.939999999478459
FS( 66 ),3450441.060000000055879,3892552.040000000037253,4206173.679999999701977,11549167.779999999329448
FS( 67 ),3409800.819999999832362,3884697.840000000316650,4216900.699999999254942,11511400.359999999403954
FS( 68 ),3462740.079999999608845,3924361.550000000279397,4324735.480000000447035,11711838.109999999403954
