代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11734943.890000000596046
真實報酬,1734943.890000000596046

夏普值報酬,0.164794389000000
夏普值風險,0.052836825786915
夏普值,3.118930528957178

二次趨勢線,-7.665728615028048 x^2 + 15435.660940770263551 x + 10000000.000000000000000
二次加權預期報酬,14173.370962162311116
風險,214221.840044816141017
二次加權趨勢值,0.066162119414142
一次趨勢線,14725.634466055284065 x + 10000000.000000000000000
一次預期報酬,14725.634466055284065
一次風險,214621.866029792028712
一次趨勢值,0.068611995312776
找到最佳解世代,2171
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
INTC[11](1),NKE[19](5),
Stock#,INTC[11](1),NKE[19](5),
張數,107043,90793,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,21.469999999739230,29.490000000223517,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5041746.769999999552965,5004539.650000000372529,10046286.419999999925494
FS( 3 ),4960394.089999999850988,5058107.520000000484288,10018501.609999999403954
FS( 4 ),4998929.570000000298023,5088069.209999999962747,10086998.780000001192093
FS( 5 ),5007493.009999999776483,5007263.440000000409782,10014756.449999999254942
FS( 6 ),4998929.570000000298023,5062647.169999999925494,10061576.740000000223517
FS( 7 ),4956112.369999999180436,5096240.580000000074506,10052352.949999999254942
FS( 8 ),4879041.409999999217689,5092608.860000000335276,9971650.269999999552965
FS( 9 ),4897238.719999999739230,5076266.120000000111759,9973504.839999999850988
FS( 10 ),4909013.449999999254942,5082621.629999999888241,9991635.079999998211861
FS( 11 ),4866196.250000000000000,5141637.080000000074506,10007833.330000000074506
FS( 12 ),4886534.419999999925494,5196112.879999999888241,10082647.300000000745058
FS( 13 ),4777350.559999999590218,5374067.160000000149012,10151417.719999998807907
FS( 14 ),4776280.129999999888241,5379514.740000000223517,10155794.870000001043081
FS( 15 ),4810533.889999999664724,5392225.760000000707805,10202759.650000000372529
FS( 16 ),4779491.419999999925494,5363172.000000000000000,10142663.419999999925494
FS( 17 ),4790195.719999999739230,5385870.250000000000000,10176065.969999998807907
FS( 18 ),4762364.540000000037253,5414016.080000000074506,10176380.620000001043081
FS( 19 ),4788054.859999999403954,5409476.429999999701977,10197531.289999999105930
FS( 20 ),4704561.320000000298023,5480294.969999999739230,10184856.289999999105930
FS( 21 ),4799829.589999999850988,5485742.550000000745058,10285572.140000000596046
FS( 22 ),4782702.709999999962747,5436714.330000000074506,10219417.039999999105930
FS( 23 ),4762364.540000000037253,5456688.790000000037253,10219053.330000000074506
FS( 24 ),4649969.389999999664724,5485742.550000000745058,10135711.940000001341105
FS( 25 ),4651039.820000000298023,5422187.450000000186265,10073227.269999999552965
FS( 26 ),4611433.909999999217689,5502085.290000000037253,10113519.199999999254942
FS( 27 ),4640335.519999999552965,5565640.389999999664724,10205975.910000000149012
FS( 28 ),4673518.849999999627471,5621024.120000000111759,10294542.969999998807907
FS( 29 ),4638194.659999999217689,5644630.300000000745058,10282824.960000000894070
FS( 30 ),4639265.089999999850988,5838019.389999999664724,10477284.480000000447035
FS( 31 ),4630701.649999999441206,5858901.780000000260770,10489603.429999999701977
FS( 32 ),4769857.549999999813735,5882507.960000000894070,10652365.510000001639128
FS( 33 ),4951830.649999999441206,5884323.820000000298023,10836154.469999998807907
FS( 34 ),5035324.189999999478459,5832571.809999999590218,10867896.000000000000000
FS( 35 ),5090986.549999999813735,5773556.360000000335276,10864542.910000000149012
FS( 36 ),5005352.149999999441206,5880692.099999999627471,10886044.250000000000000
FS( 37 ),4998929.570000000298023,5746318.459999999962747,10745248.030000001192093
FS( 38 ),4932562.909999999217689,5779003.940000000409782,10711566.849999999627471
FS( 39 ),4935774.199999999254942,5715448.840000000782311,10651223.039999999105930
FS( 40 ),4947548.929999999701977,5715448.840000000782311,10662997.769999999552965
FS( 41 ),4941126.349999999627471,5679131.639999999664724,10620257.989999998360872
FS( 42 ),5014986.019999999552965,5764477.060000000521541,10779463.080000000074506
FS( 43 ),4844787.649999999441206,5763569.129999999888241,10608356.779999999329448
FS( 44 ),4755941.959999999962747,5759937.410000000149012,10515879.370000001043081
FS( 45 ),4789125.290000000037253,5808965.629999999888241,10598090.919999999925494
FS( 46 ),4789125.290000000037253,5860717.639999999664724,10649842.929999999701977
FS( 47 ),4669237.129999999888241,5818952.860000000335276,10488189.990000000223517
FS( 48 ),4549348.969999999739230,5830755.950000000186265,10380104.919999999925494
FS( 49 ),4646758.099999999627471,5837111.460000000894070,10483869.560000000521541
FS( 50 ),4628560.790000000037253,5871612.800000000745058,10500173.589999999850988
FS( 51 ),4617856.490000000223517,5758121.550000000745058,10375978.040000000968575
FS( 52 ),4751660.240000000223517,5793530.820000000298023,10545191.060000000521541
FS( 53 ),4761294.109999999403954,5820768.719999999739230,10582062.829999998211861
FS( 54 ),4797688.729999999515712,6102227.019999999552965,10899915.750000000000000
FS( 55 ),4897238.719999999739230,6027776.760000000707805,10925015.480000000447035
FS( 56 ),4930422.049999999813735,6095871.510000000707805,11026293.560000000521541
FS( 57 ),4871548.399999999441206,6173953.490000000223517,11045501.890000000596046
FS( 58 ),4849069.369999999180436,6147623.519999999552965,10996692.889999998733401
FS( 59 ),5360734.909999999217689,6177585.210000000894070,11538320.120000001043081
FS( 60 ),5350030.609999999403954,6135820.429999999701977,11485851.039999999105930
FS( 61 ),5222649.439999999478459,6113122.179999999701977,11335771.619999999180436
FS( 62 ),5153071.490000000223517,6193927.950000000186265,11346999.440000001341105
FS( 63 ),5100620.419999999925494,6142175.940000000409782,11242796.359999999403954
FS( 64 ),4940055.919999999925494,6103134.950000000186265,11043190.870000001043081
FS( 65 ),4765575.830000000074506,5846190.760000000707805,10611766.589999999850988
FS( 66 ),4807322.599999999627471,5921548.950000000186265,10728871.550000000745058
FS( 67 ),4838365.070000000298023,5958774.080000000074506,10797139.150000000372529
FS( 68 ),4576109.719999999739230,5673684.060000000521541,10249793.780000001192093
FS( 69 ),4704561.320000000298023,5946063.059999999590218,10650624.379999998956919
FS( 70 ),4798759.159999999217689,5990551.630000000819564,10789310.789999999105930
FS( 71 ),4759153.250000000000000,5980564.400000000372529,10739717.650000000372529
FS( 72 ),4857632.809999999590218,6170321.769999999552965,11027954.579999998211861
FS( 73 ),4915436.030000000260770,6200283.460000000894070,11115719.490000002086163
FS( 74 ),4876900.549999999813735,6201191.389999999664724,11078091.939999999478459
FS( 75 ),4958253.229999999515712,6127649.059999999590218,11085902.289999999105930
FS( 76 ),4917576.889999999664724,6087700.139999999664724,11005277.029999999329448
FS( 77 ),4902590.869999999180436,6094963.580000000074506,10997554.449999999254942
FS( 78 ),5109183.859999999403954,6188480.370000000111759,11297664.230000000447035
FS( 79 ),5256903.199999999254942,6323761.940000000409782,11580665.140000000596046
FS( 80 ),5342537.599999999627471,6176677.280000000260770,11519214.879999998956919
FS( 81 ),5276170.939999999478459,6085884.280000000260770,11362055.219999998807907
FS( 82 ),5120958.589999999850988,6021421.250000000000000,11142379.839999999850988
FS( 83 ),5242987.609999999403954,5982380.260000000707805,11225367.870000001043081
FS( 84 ),5325410.719999999739230,5906114.139999999664724,11231524.859999999403954
FS( 85 ),5428172.000000000000000,5923364.809999999590218,11351536.809999998658895
FS( 86 ),5493468.229999999515712,5826216.300000000745058,11319684.530000001192093
FS( 87 ),5431383.290000000037253,5911561.719999999739230,11342945.009999999776483
FS( 88 ),5586595.639999999664724,6019605.389999999664724,11606201.029999999329448
FS( 89 ),5514876.830000000074506,6066817.750000000000000,11581694.580000000074506
FS( 90 ),5542708.009999999776483,6007802.300000000745058,11550510.310000000521541
FS( 91 ),5551271.449999999254942,6010526.090000000782311,11561797.539999999105930
FS( 92 ),5446369.309999999590218,6027776.760000000707805,11474146.070000000298023
FS( 93 ),5477411.780000000260770,5984196.120000000111759,11461607.900000000372529
FS( 94 ),5441017.159999999217689,5966037.519999999552965,11407054.679999999701977
FS( 95 ),5518088.119999999180436,6065001.889999999664724,11583090.009999997913837
FS( 96 ),5519158.549999999813735,6024145.040000000037253,11543303.589999999850988
FS( 97 ),5441017.159999999217689,5848914.550000000745058,11289931.710000000894070
FS( 98 ),5283663.949999999254942,5867981.080000000074506,11151645.029999999329448
FS( 99 ),5617638.109999999403954,5983288.190000000409782,11600926.300000000745058
FS( 100 ),5479552.639999999664724,6007802.300000000745058,11487354.940000001341105
FS( 101 ),5309354.269999999552965,5941523.410000000149012,11250877.679999999701977
FS( 102 ),5574820.909999999217689,6032316.410000000149012,11607137.320000000298023
FS( 103 ),5236565.030000000260770,5821676.650000000372529,11058241.679999999701977
FS( 104 ),5325410.719999999739230,6055922.590000000782311,11381333.310000000521541
FS( 105 ),5351101.040000000037253,6212086.550000000745058,11563187.589999999850988
FS( 106 ),5392847.809999999590218,6318314.360000000335276,11711162.169999999925494
FS( 107 ),5222649.439999999478459,6133096.639999999664724,11355746.079999998211861
FS( 108 ),5304002.119999999180436,6099503.230000000447035,11403505.349999999627471
FS( 109 ),5488116.080000000074506,6083160.490000000223517,11571276.570000000298023
FS( 110 ),5469918.769999999552965,6067725.679999999701977,11537644.449999999254942
FS( 111 ),5643328.429999999701977,6153071.099999999627471,11796399.529999999329448
FS( 112 ),5551271.449999999254942,6105858.740000000223517,11657130.189999999478459
FS( 113 ),5609074.669999999925494,6088608.070000000298023,11697682.740000000223517
FS( 114 ),5731103.689999999478459,6129464.920000000856817,11860568.609999999403954
FS( 115 ),5738596.699999999254942,6010526.090000000782311,11749122.789999999105930
FS( 116 ),5589806.929999999701977,5967853.380000000819564,11557660.310000000521541
FS( 117 ),5515947.259999999776483,6000538.860000000335276,11516486.120000001043081
FS( 118 ),5469918.769999999552965,6072265.330000000074506,11542184.099999999627471
FS( 119 ),5507383.820000000298023,6080436.700000000186265,11587820.519999999552965
FS( 120 ),5499890.809999999590218,6053198.800000000745058,11553089.609999999403954
FS( 121 ),5678652.619999999180436,6178493.139999999664724,11857145.759999997913837
FS( 122 ),5644398.859999999403954,6315590.570000000298023,11959989.429999999701977
FS( 123 ),5525581.129999999888241,6209362.760000000707805,11734943.890000000596046
