代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11337387.839999999850988
真實報酬,1337387.839999999850988

夏普值報酬,0.125038784000000
夏普值風險,0.042043863497999
夏普值,2.974007943060485

二次趨勢線,34.406888864151711 x^2 + 7428.022664865180559 x + 10000000.000000000000000
二次加權預期報酬,13368.945475408712809
風險,122656.860683358812821
二次加權趨勢值,0.108994681593237
一次趨勢線,10769.741928871879281 x + 10000000.000000000000000
一次預期報酬,10769.741928871879281
一次風險,138643.805697965755826
一次趨勢值,0.077679214550224
找到最佳解世代,1934
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
JNJ[12](6),MRK[17](1),PG[21](3),
Stock#,JNJ[12](6),MRK[17](1),PG[21](3),
張數,31088,64412,41035,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,77.640000000130385,12.000000000000000,59.949999999720603,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3327737.160000000149012,3366827.240000000223517,3387499.199999999720603,10082064.599999999627471
FS( 3 ),3315612.840000000316650,3355877.200000000186265,3399399.350000000093132,10070890.390000000596046
FS( 4 ),3310949.640000000130385,3354588.959999999962747,3426072.099999999627471,10091611.699999999254942
FS( 5 ),3318410.759999999776483,3390659.680000000167638,3410068.449999999254942,10119139.889999998733401
FS( 6 ),3302245.000000000000000,3378421.400000000372529,3408427.049999999813735,10089094.449999999254942
FS( 7 ),3321519.560000000055879,3372624.319999999832362,3404323.549999999348074,10098468.429999999701977
FS( 8 ),3330845.959999999962747,3416424.479999999981374,3376419.750000000000000,10123691.189999999478459
FS( 9 ),3348566.120000000111759,3426730.400000000372529,3354671.199999999720603,10129968.720000000670552
FS( 10 ),3347011.720000000204891,3419000.959999999962747,3330870.899999999906868,10096884.580000000074506
FS( 11 ),3350120.520000000484288,3376489.040000000037253,3336615.799999999813735,10063226.359999999403954
FS( 12 ),3339239.720000000204891,3345571.279999999795109,3337846.850000000093132,10022658.849999999627471
FS( 13 ),3318410.759999999776483,3319162.359999999869615,3395706.199999999720603,10033280.319999998435378
FS( 14 ),3342037.640000000130385,3365539.000000000000000,3412120.200000000186265,10119697.839999999850988
FS( 15 ),3335198.280000000260770,3400965.599999999627471,3419096.149999999441206,10155261.029999999329448
FS( 16 ),3338307.080000000074506,3415780.359999999869615,3395295.849999999627471,10149384.289999999105930
FS( 17 ),3373125.640000000130385,3419000.959999999962747,3398578.649999999441206,10190706.250000000000000
FS( 18 ),3367218.920000000391155,3418356.839999999850988,3401451.099999999627471,10187027.859999999403954
FS( 19 ),3364731.880000000353903,3402897.959999999962747,3390371.649999999906868,10158002.490000000223517
FS( 20 ),3393021.959999999962747,3434459.839999999850988,3397757.949999999720603,10225240.750000000000000
FS( 21 ),3388047.880000000353903,3428018.640000000130385,3392833.750000000000000,10208901.269999999552965
FS( 22 ),3363799.240000000223517,3408050.919999999925494,3377650.799999999813735,10149501.960000000894070
FS( 23 ),3394576.359999999869615,3458936.400000000372529,3427713.500000000000000,10281227.259999999776483
FS( 24 ),3375923.560000000055879,3504024.799999999813735,3414582.299999999348074,10294531.659999998286366
FS( 25 ),3387115.240000000223517,3493718.880000000353903,3412530.549999999348074,10293365.669999999925494
FS( 26 ),3401726.600000000093132,3583251.560000000055879,3439203.299999999813735,10424182.460000000894070
FS( 27 ),3397063.399999999906868,3569725.040000000037253,3415813.349999999627471,10382602.789999999105930
FS( 28 ),3391778.439999999944121,3565860.319999999832362,3414171.949999999720603,10371811.709999999031425
FS( 29 ),3387737.000000000000000,3545892.599999999627471,3394885.500000000000000,10328516.099999999627471
FS( 30 ),3407322.439999999944121,3564572.080000000074506,3398988.999999999534339,10370884.519999999552965
FS( 31 ),3415716.200000000186265,3604507.520000000018626,3383806.049999999348074,10404030.769999999552965
FS( 32 ),3414783.560000000055879,3636069.400000000372529,3365340.299999999813735,10416194.260000001639128
FS( 33 ),3425353.480000000447035,3616101.680000000167638,3377240.449999999720603,10418696.609999999403954
FS( 34 ),3448669.480000000447035,3639934.119999999646097,3398988.999999999534339,10487593.599999999627471
FS( 35 ),3503073.480000000447035,3662478.319999999832362,3417454.750000000000000,10583007.550000000745058
FS( 36 ),3531052.680000000167638,3644442.959999999962747,3346464.199999999720603,10521960.839999999850988
FS( 37 ),3530741.799999999813735,3645731.200000000186265,3315687.949999999720603,10492161.949999999254942
FS( 38 ),3522969.799999999813735,3654748.880000000353903,3321843.199999999720603,10499562.879999998956919
FS( 39 ),3528876.520000000484288,3621254.640000000130385,3340719.299999999348074,10490851.459999999031425
FS( 40 ),3510223.720000000204891,3609660.479999999981374,3264394.199999999720603,10384279.400000000372529
FS( 41 ),3505871.399999999906868,3627051.720000000204891,3278346.099999999627471,10411270.219999998807907
FS( 42 ),3496855.880000000353903,3590336.880000000353903,3273011.549999999813735,10360205.310000000521541
FS( 43 ),3484420.680000000167638,3532366.080000000074506,3287784.149999999906868,10304571.910000000149012
FS( 44 ),3505249.640000000130385,3561995.599999999627471,3322663.899999999441206,10389910.140000000596046
FS( 45 ),3503384.359999999869615,3547824.959999999962747,3327998.449999999254942,10379208.769999999552965
FS( 46 ),3488773.000000000000000,3530433.720000000204891,3348515.949999999254942,10367723.669999999925494
FS( 47 ),3509291.080000000074506,3484057.080000000074506,3336205.449999999720603,10329554.609999999403954
FS( 48 ),3504938.759999999776483,3452495.200000000186265,3370264.499999999534339,10327699.459999999031425
FS( 49 ),3535405.000000000000000,3484701.200000000186265,3369854.149999999906868,10389961.349999999627471
FS( 50 ),3564938.600000000093132,3522060.160000000149012,3384626.750000000000000,10471626.509999999776483
FS( 51 ),3555612.200000000186265,3498227.720000000204891,3371085.200000000186265,10424926.120000001043081
FS( 52 ),3551259.880000000353903,3485989.439999999944121,3381754.299999999348074,10419004.619999999180436
FS( 53 ),3530430.920000000391155,3470530.560000000055879,3333333.000000000000000,10334295.480000000447035
FS( 54 ),3557788.359999999869615,3520127.799999999813735,3349746.999999999534339,10427664.160000000149012
FS( 55 ),3538824.680000000167638,3498871.839999999850988,3308301.649999999906868,10345999.169999999925494
FS( 56 ),3531363.560000000055879,3521416.040000000037253,3276704.699999999254942,10329485.299999998882413
FS( 57 ),3508358.439999999944121,3515618.959999999962747,3290656.599999999627471,10314635.000000000000000
FS( 58 ),3501829.959999999962747,3549757.319999999832362,3283680.649999999441206,10335268.929999999701977
FS( 59 ),3486907.720000000204891,3537519.040000000037253,3291066.949999999720603,10315494.709999999031425
FS( 60 ),3503384.359999999869615,3581319.200000000186265,3322663.899999999441206,10407368.460000000894070
FS( 61 ),3523902.439999999944121,3643798.839999999850988,3343591.750000000000000,10511294.029999999329448
FS( 62 ),3509912.840000000316650,3632204.680000000167638,3332922.649999999441206,10475041.169999999925494
FS( 63 ),3514886.920000000391155,3638001.759999999776483,3341540.000000000000000,10494429.679999999701977
FS( 64 ),3503384.359999999869615,3623831.119999999646097,3325536.350000000093132,10452752.830000000074506
FS( 65 ),3506182.280000000260770,3628339.959999999962747,3356312.600000000093132,10490835.839999999850988
FS( 66 ),3559342.759999999776483,3659901.839999999850988,3362878.199999999720603,10582123.799999998882413
FS( 67 ),3567736.520000000484288,3648307.680000000167638,3384216.399999999441206,10600261.600000001490116
FS( 68 ),3599135.399999999906868,3682446.040000000037253,3396526.899999999441206,10678109.339999999850988
FS( 69 ),3597891.880000000353903,3671496.000000000000000,3378061.149999999441206,10647450.030000001192093
FS( 70 ),3600068.040000000037253,3711431.439999999944121,3391602.700000000186265,10703103.179999999701977
FS( 71 ),3637373.640000000130385,3683090.160000000149012,3412940.899999999906868,10733405.700000001117587
FS( 72 ),3637684.520000000484288,3659257.720000000204891,3414171.949999999720603,10711115.189999999478459
FS( 73 ),3630845.160000000149012,3614169.319999999832362,3388319.899999999441206,10633335.379999998956919
FS( 74 ),3641104.200000000186265,3623187.000000000000000,3420327.199999999254942,10684619.399999998509884
FS( 75 ),3619031.720000000204891,3612881.080000000074506,3403913.199999999720603,10635827.000000000000000
FS( 76 ),3626181.959999999962747,3703702.000000000000000,3422789.299999999348074,10752674.259999999776483
FS( 77 ),3590119.880000000353903,3599998.680000000167638,3411299.499999999534339,10601419.060000000521541
FS( 78 ),3623073.160000000149012,3616101.680000000167638,3407606.350000000093132,10646782.189999999478459
FS( 79 ),3611881.480000000447035,3623187.000000000000000,3422789.299999999348074,10657858.779999999329448
FS( 80 ),3620586.120000000111759,3674072.479999999981374,3429354.899999999441206,10724014.500000000000000
FS( 81 ),3649187.080000000074506,3715296.160000000149012,3455617.299999999348074,10820101.539999999105930
FS( 82 ),3594783.080000000074506,3599354.560000000055879,3375599.049999999813735,10569737.690000001341105
FS( 83 ),3623384.040000000037253,3562639.720000000204891,3333333.000000000000000,10519357.759999999776483
FS( 84 ),3675611.880000000353903,3580030.959999999962747,3383806.049999999348074,10639449.889999998733401
FS( 85 ),3709808.680000000167638,3674716.599999999627471,3443306.799999999348074,10827833.079999998211861
FS( 86 ),3771052.040000000037253,3710787.319999999832362,3474493.399999999906868,10956333.759999999776483
FS( 87 ),3770741.160000000149012,3732043.279999999795109,3479007.250000000000000,10981792.689999999478459
FS( 88 ),3801207.399999999906868,3735908.000000000000000,3506090.349999999627471,11043206.750000000000000
FS( 89 ),3812709.959999999962747,3810625.919999999925494,3489266.000000000000000,11112602.879999998956919
FS( 90 ),3808668.520000000484288,3786149.359999999869615,3481058.999999999534339,11075877.880000000819564
FS( 91 ),3819238.439999999944121,3822864.200000000186265,3519631.899999999441206,11161735.539999999105930
FS( 92 ),3821725.480000000447035,3822220.080000000074506,3518811.199999999720603,11162757.759999999776483
FS( 93 ),3821414.600000000093132,3838967.200000000186265,3518811.199999999720603,11179194.000000000000000
FS( 94 ),3823901.640000000130385,3835746.599999999627471,3524556.099999999627471,11184205.339999999850988
