代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12002893.479999998584390
真實報酬,2002893.479999998584390

夏普值報酬,0.191589348000000
夏普值風險,0.053264935158719
夏普值,3.596913193062218

二次趨勢線,73.178094418046442 x^2 + 6947.773666484364185 x + 10000000.000000000000000
二次加權預期報酬,19095.337339880075888
風險,104521.529601033282233
二次加權趨勢值,0.182692861583335
一次趨勢線,13780.668024795959354 x + 10000000.000000000000000
一次預期報酬,13780.668024795959354
一次風險,164528.969459682382876
一次趨勢值,0.083758307549437
找到最佳解世代,1930
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](3),KO[14](9),MCD[15](1),UNH[23](8),WMT[28](2),
Stock#,AAPL[0](3),KO[14](9),MCD[15](1),UNH[23](8),WMT[28](2),
張數,18266,49788,16881,12426,28300,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,55.660000000149012,16.039999999804422,107.929999999934807,159.560000000055879,39.000000000000000,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2007489.060000000288710,2009459.719999999739230,1996117.369999999878928,1997390.540000000037253,2005942.999999999767169,10016399.689999999478459
FS( 3 ),1993058.920000000158325,2022404.599999999627471,2013842.419999999925494,1958869.939999999944121,1979341.000000000000000,9967516.879999998956919
FS( 4 ),2008402.360000000102445,2019915.199999999720603,2013167.179999999934807,1955017.879999999888241,1991227.000000000000000,9987729.619999999180436
FS( 5 ),2028129.640000000130385,2055762.559999999823049,2024477.449999999953434,1980863.960000000195578,1998018.999999999767169,10087252.609999999403954
FS( 6 ),2048039.580000000307336,2040328.279999999562278,2033424.379999999888241,1979869.879999999888241,1990661.000000000000000,10092323.120000001043081
FS( 7 ),2081466.360000000102445,2091112.039999999804422,2047097.989999999990687,1989810.680000000167638,1983303.000000000000000,10192790.070000000298023
FS( 8 ),2069593.460000000195578,2086133.239999999757856,2055200.869999999878928,1981982.300000000279397,2028300.000000000000000,10221209.870000001043081
FS( 9 ),2104116.200000000186265,2079162.919999999692664,2071069.010000000009313,1995029.599999999860302,2031979.000000000000000,10281356.730000000447035
FS( 10 ),2104116.200000000186265,2051779.519999999785796,2073769.969999999972060,1986579.920000000158325,2018961.000000000000000,10235206.609999999403954
FS( 11 ),2115623.779999999795109,2068707.439999999711290,2065667.089999999850988,1996023.680000000167638,2011603.000000000000000,10257624.990000000223517
FS( 12 ),2118363.680000000167638,2078167.159999999916181,2080522.369999999878928,2037278.000000000000000,2008773.000000000000000,10323104.210000000894070
FS( 13 ),2130601.900000000372529,2074682.000000000000000,2076302.119999999878928,2007455.599999999860302,2025753.000000000000000,10314794.620000001043081
FS( 14 ),2136264.360000000335276,2074184.119999999646097,2082041.659999999916181,2008076.900000000139698,2032544.999999999767169,10333112.040000000968575
FS( 15 ),2138273.620000000111759,2069703.199999999720603,2079509.510000000009313,2004846.140000000130385,2016130.999999999767169,10308463.470000000670552
FS( 16 ),2124208.800000000279397,2068707.439999999711290,2088625.250000000000000,2007952.640000000130385,1969436.000000000000000,10258930.130000000819564
