代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12828909.099999997764826
真實報酬,2828909.099999997764826

夏普值報酬,0.274190910000000
夏普值風險,0.072064266810244
夏普值,3.804810929694010

二次趨勢線,39.167499690229604 x^2 + 17958.118729413985420 x + 10000000.000000000000000
二次加權預期報酬,24459.923677992101148
風險,95921.658049194433261
二次加權趨勢值,0.254998966609267
一次趨勢線,21615.325025790898508 x + 10000000.000000000000000
一次預期報酬,21615.325025790898508
一次風險,117584.616326730945730
一次趨勢值,0.183827831403801
找到最佳解世代,1118
找到最佳解實驗#,1
找到最佳解次數,35

stock[index](rank)
投資組合檔數,4
DIS[6](3),HD[9](8),KO[14](20),XOM[29](1),
Stock#,DIS[6](3),HD[9](8),KO[14](20),XOM[29](1),
張數,74604,87199,87229,41044,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,19.959999999962747,4.669999999925494,16.859999999869615,9.959999999962747,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2529841.599999999627471,2564527.259999999776483,2502616.870000000111759,2506156.600000000093132,10103142.330000000074506
FS( 3 ),2586540.640000000130385,2602894.819999999832362,2510467.479999999981374,2516828.040000000037253,10216730.980000000447035
FS( 4 ),2524619.320000000298023,2557551.339999999850988,2513956.639999999664724,2485224.159999999683350,10081351.459999999031425
FS( 5 ),2524619.320000000298023,2568015.219999999739230,2522679.540000000037253,2493432.959999999962747,10108747.039999999105930
FS( 6 ),2542524.279999999795109,2564527.259999999776483,2542742.209999999962747,2505746.159999999683350,10155539.909999998286366
FS( 7 ),2547746.560000000055879,2588070.989999999757856,2552337.399999999906868,2511902.760000000242144,10200057.709999999031425
FS( 8 ),2556699.040000000037253,2615102.679999999701977,2531402.439999999944121,2503693.959999999962747,10206898.120000001043081
FS( 9 ),2540286.159999999683350,2613358.699999999720603,2512212.060000000055879,2504104.399999999906868,10169961.320000000298023
FS( 10 ),2552222.799999999813735,2610742.729999999981374,2504361.449999999720603,2503693.959999999962747,10171020.939999997615814
FS( 11 ),2549238.640000000130385,2611614.719999999739230,2508722.899999999906868,2502462.640000000130385,10172038.900000000372529
FS( 12 ),2578334.200000000186265,2606382.779999999795109,2510467.479999999981374,2494664.279999999795109,10189848.740000000223517
FS( 13 ),2603699.560000000055879,2672654.020000000018626,2528785.569999999832362,2526268.159999999683350,10331407.310000000521541
FS( 14 ),2573857.959999999962747,2695325.759999999776483,2534891.599999999627471,2525857.719999999739230,10329933.039999999105930
FS( 15 ),2535809.919999999925494,2692709.790000000037253,2540125.339999999850988,2522163.760000000242144,10290808.810000000521541
FS( 16 ),2470904.439999999944121,2689221.830000000074506,2524424.120000000111759,2509850.560000000055879,10194400.949999999254942
FS( 17 ),2505222.279999999795109,2758981.029999999795109,2556698.849999999627471,2534476.959999999962747,10355379.119999999180436
FS( 18 ),2483587.120000000111759,2755493.069999999832362,2555826.560000000055879,2532835.200000000186265,10327741.949999999254942
FS( 19 ),2478364.839999999850988,2773804.859999999869615,2577633.810000000055879,2547200.600000000093132,10377004.109999999403954
FS( 20 ),2462698.000000000000000,2773804.859999999869615,2562804.879999999888241,2527909.919999999925494,10327217.660000000149012
FS( 21 ),2469412.359999999869615,2762468.989999999757856,2552337.399999999906868,2536118.719999999739230,10320337.469999998807907
FS( 22 ),2487317.320000000298023,2774676.850000000093132,2578506.099999999627471,2566901.719999999739230,10407401.989999998360872
FS( 23 ),2472396.520000000018626,2761597.000000000000000,2568038.620000000111759,2552536.319999999832362,10354568.459999999031425
FS( 24 ),2523873.279999999795109,2767700.929999999701977,2602057.929999999701977,2596453.399999999906868,10490085.539999999105930
FS( 25 ),2502984.159999999683350,2760725.009999999776483,2606419.379999999888241,2615333.640000000130385,10485462.189999999478459
FS( 26 ),2529841.599999999627471,2767700.929999999701977,2592462.739999999757856,2620669.359999999869615,10510674.629999998956919
FS( 27 ),2574604.000000000000000,2780780.779999999795109,2591590.449999999720603,2642422.679999999701977,10589397.909999998286366
FS( 28 ),2579080.239999999757856,2772060.879999999888241,2597696.479999999981374,2649400.159999999683350,10598237.759999999776483
FS( 29 ),2572365.879999999888241,2738925.259999999776483,2599441.060000000055879,2655556.760000000242144,10566288.959999999031425
FS( 30 ),2604445.599999999627471,2703173.669999999925494,2614269.989999999757856,2669511.720000000204891,10591400.980000000447035
FS( 31 ),2599969.359999999869615,2686605.859999999869615,2613397.699999999720603,2680183.159999999683350,10580156.080000000074506
FS( 32 ),2602207.479999999981374,2677013.969999999739230,2614269.989999999757856,2675668.319999999832362,10569159.759999999776483
FS( 33 ),2592508.959999999962747,2662190.140000000130385,2616886.859999999869615,2720406.279999999795109,10591992.239999998360872
FS( 34 ),2554460.919999999925494,2651726.259999999776483,2631715.790000000037253,2672795.240000000223517,10510698.210000000894070
FS( 35 ),2582810.439999999944121,2679629.939999999944121,2667479.679999999701977,2709324.400000000372529,10639244.460000000894070
FS( 36 ),2587286.680000000167638,2773804.859999999869615,2681436.319999999832362,2722048.039999999571592,10764575.899999998509884
FS( 37 ),2608921.839999999850988,2745029.189999999944121,2687542.349999999627471,2722868.919999999925494,10764362.299999998882413
FS( 38 ),2645477.799999999813735,2738053.270000000018626,2661373.649999999906868,2717122.760000000242144,10762027.480000000447035
FS( 39 ),2682779.799999999813735,2728461.379999999888241,2670968.839999999850988,2730667.279999999795109,10812877.299999998882413
FS( 40 ),2679795.640000000130385,2694453.770000000018626,2669224.259999999776483,2695369.439999999944121,10738843.109999999403954
FS( 41 ),2723812.000000000000000,2719741.479999999981374,2670096.549999999813735,2717943.640000000130385,10831593.669999999925494
FS( 42 ),2695462.479999999981374,2694453.770000000018626,2674458.000000000000000,2729025.519999999552965,10793399.769999999552965
FS( 43 ),2688002.080000000074506,2677885.959999999962747,2691903.799999999813735,2747905.760000000242144,10805697.599999999627471
FS( 44 ),2693970.399999999906868,2747645.160000000149012,2698009.830000000074506,2784434.919999999925494,10924060.310000000521541
FS( 45 ),2707399.120000000111759,2743285.209999999962747,2702371.279999999795109,2789770.640000000130385,10942826.250000000000000
FS( 46 ),2762606.080000000074506,2785140.729999999981374,2724178.529999999795109,2847642.679999999701977,11119568.019999999552965
FS( 47 ),2775288.760000000242144,2783396.750000000000000,2729412.270000000018626,2873089.959999999962747,11161187.739999998360872
FS( 48 ),2764844.200000000186265,2745901.179999999701977,2724178.529999999795109,2886224.039999999571592,11121147.949999999254942
FS( 49 ),2749923.399999999906868,2744157.199999999720603,2732029.139999999664724,2898947.679999999701977,11125057.419999998062849
FS( 50 ),2759621.919999999925494,2762468.989999999757856,2728539.979999999981374,2919469.679999999701977,11170100.570000000298023
FS( 51 ),2680541.680000000167638,2764212.969999999739230,2739007.459999999962747,2948200.479999999981374,11131962.589999999850988
FS( 52 ),2816320.959999999962747,2741541.229999999981374,2744241.199999999720603,2913723.519999999552965,11215826.909999998286366
FS( 53 ),2779018.959999999962747,2737181.279999999795109,2745985.779999999795109,2892791.080000000074506,11154977.099999999627471
FS( 54 ),2754399.640000000130385,2765084.959999999962747,2707605.020000000018626,2829583.319999999832362,11056672.939999999478459
FS( 55 ),2776780.839999999850988,2688349.839999999850988,2726795.399999999906868,2832456.400000000372529,11024382.480000000447035
FS( 56 ),2803638.279999999795109,2691837.799999999813735,2784366.540000000037253,2885813.600000000093132,11165656.220000000670552
FS( 57 ),2761114.000000000000000,2722357.449999999720603,2805301.499999999534339,2895253.720000000204891,11184026.669999999925494
FS( 58 ),2756637.760000000242144,2711021.580000000074506,2803556.919999999925494,2880888.319999999832362,11152104.580000000074506
FS( 59 ),2694716.439999999944121,2695325.759999999776483,2774771.349999999627471,2831225.080000000074506,10996038.629999998956919
FS( 60 ),2750669.439999999944121,2717125.509999999776483,2818385.850000000093132,2868164.679999999701977,11154345.479999998584390
FS( 61 ),2737986.760000000242144,2703173.669999999925494,2796578.600000000093132,2841486.080000000074506,11079225.109999999403954
FS( 62 ),2717097.640000000130385,2676141.979999999981374,2765176.159999999683350,2850515.760000000242144,11008931.539999999105930
FS( 63 ),2723812.000000000000000,2634286.459999999962747,2755580.969999999739230,2855030.600000000093132,10968710.029999999329448
FS( 64 ),2769320.439999999944121,2756365.060000000055879,2821875.009999999776483,2927678.479999999981374,11275238.990000000223517
FS( 65 ),2785733.320000000298023,2908963.310000000055879,2830597.910000000149012,2933835.080000000074506,11459129.620000001043081
FS( 66 ),2804384.320000000298023,2919427.189999999478459,2813152.109999999869615,2921932.319999999832362,11458895.939999999478459
FS( 67 ),2802146.200000000186265,2907219.330000000074506,2791344.859999999869615,2926857.600000000093132,11427567.990000000223517
FS( 68 ),2784987.279999999795109,2925531.119999999646097,2797450.889999999664724,2933014.199999999720603,11440983.489999998360872
FS( 69 ),2758129.839999999850988,2967386.640000000130385,2808790.660000000149012,2949021.359999999869615,11483328.500000000000000
FS( 70 ),2740970.919999999925494,2992674.350000000093132,2827981.040000000037253,2955177.959999999962747,11516804.269999999552965
FS( 71 ),2735002.599999999627471,2999650.270000000018626,2820130.429999999701977,2962565.880000000353903,11517349.179999999701977
FS( 72 ),2770066.479999999981374,3013602.110000000335276,2827981.040000000037253,2969953.799999999813735,11581603.429999999701977
FS( 73 ),2778272.919999999925494,3027553.949999999720603,2786983.409999999683350,2962565.880000000353903,11555376.160000000149012
FS( 74 ),2756637.760000000242144,3033657.879999999888241,2823619.589999999850988,2949021.359999999869615,11562936.589999999850988
FS( 75 ),2761114.000000000000000,3062433.549999999813735,2849788.290000000037253,2964207.640000000130385,11637543.480000000447035
FS( 76 ),2764098.159999999683350,3060689.569999999832362,2865489.509999999776483,2962155.439999999944121,11652432.679999997839332
FS( 77 ),2764844.200000000186265,3069409.470000000204891,2848915.999999999534339,2964207.640000000130385,11647377.310000000521541
FS( 78 ),2784987.279999999795109,3058945.589999999850988,2855894.319999999832362,2984729.640000000130385,11684556.830000000074506
FS( 79 ),2831241.760000000242144,3067665.489999999757856,2861128.059999999590218,2988013.159999999683350,11748048.469999998807907
FS( 80 ),2812590.760000000242144,3059817.580000000074506,2860255.770000000018626,3004430.760000000242144,11737094.869999999180436
FS( 81 ),2796177.879999999888241,3072897.430000000167638,2837576.229999999981374,2996632.400000000372529,11703283.940000001341105
FS( 82 ),2787225.399999999906868,3059817.580000000074506,2850660.580000000074506,3013460.439999999944121,11711164.000000000000000
FS( 83 ),2805130.359999999869615,3042377.779999999795109,2855022.029999999795109,3011408.240000000223517,11713938.410000000149012
FS( 84 ),2796177.879999999888241,3039761.810000000055879,2856766.609999999869615,3010997.799999999813735,11703704.099999997764826
FS( 85 ),2798416.000000000000000,3057201.610000000335276,2868978.669999999925494,3001147.240000000223517,11725743.520000001415610
FS( 86 ),2821543.239999999757856,3079001.360000000335276,2844554.549999999813735,3059840.159999999683350,11804939.309999998658895
FS( 87 ),2908829.919999999925494,3023194.000000000000000,2786111.120000000111759,3074205.560000000055879,11792340.599999999627471
FS( 88 ),2981195.799999999813735,3013602.110000000335276,2769537.609999999869615,3065996.760000000242144,11830332.279999999329448
FS( 89 ),2958068.560000000055879,3001394.250000000000000,2749474.939999999944121,3085697.880000000353903,11794635.630000000819564
FS( 90 ),2943147.760000000242144,2997906.290000000037253,2744241.199999999720603,3102525.919999999925494,11787821.169999999925494
FS( 91 ),2946877.959999999962747,2998778.279999999795109,2750347.229999999981374,3083645.679999999701977,11779649.150000000372529
