代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11886282.019999999552965
真實報酬,1886282.019999999552965

夏普值報酬,0.179928202000000
夏普值風險,0.079312902708145
夏普值,2.268586772849546

二次趨勢線,135.257862732836543 x^2 + 4072.884126201305662 x + 10000000.000000000000000
二次加權預期報酬,26525.689339852178819
風險,340516.195953575544991
二次加權趨勢值,0.077898466079037
一次趨勢線,16702.383357279435586 x + 10000000.000000000000000
一次預期報酬,16702.383357279435586
一次風險,413652.536601235100534
一次趨勢值,0.040377809585103
找到最佳解世代,1819
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),HD[9](1),MCD[15](3),
Stock#,AAPL[0](2),HD[9](1),MCD[15](3),
張數,118455,119047,52460,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,9.299999999813735,17.000000000000000,24.600000000093132,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3320302.949999999720603,3372618.509999999776483,3278774.600000000093132,9971697.059999998658895
FS( 3 ),3325041.149999999906868,3324999.709999999962747,3250970.799999999813735,9901012.660000000149012
FS( 4 ),3271736.399999999906868,3342856.759999999776483,3231036.000000000465661,9845630.160000000149012
FS( 5 ),3197109.749999999534339,3359523.339999999850988,3248872.399999999906868,9805506.490000000223517
FS( 6 ),3212508.899999999906868,3294047.490000000223517,3179625.200000000186265,9686182.589999999850988
FS( 7 ),3347547.600000000093132,3279761.850000000093132,3179100.600000000093132,9806411.050000000745058
FS( 8 ),3323856.599999999627471,3332142.529999999795109,3202707.600000000093132,9858707.729999998584390
FS( 9 ),3294242.849999999627471,3391666.029999999795109,3234708.199999999720603,9920618.079999998211861
FS( 10 ),3333333.000000000000000,3436903.890000000130385,3259889.000000000000000,10030126.890000000596046
FS( 11 ),3285950.999999999534339,3454760.939999999944121,3252544.600000000093132,9993257.539999999105930
FS( 12 ),3300165.599999999627471,3447618.120000000111759,3274577.800000000279397,10022362.519999999552965
FS( 13 ),3246860.849999999627471,3428570.600000000093132,3248347.800000000279397,9923780.250000000000000
FS( 14 ),3307272.899999999906868,3410713.549999999813735,3261462.800000000279397,9979450.250000000000000
FS( 15 ),3354654.899999999906868,3447618.120000000111759,3287168.199999999720603,10089442.219999998807907
FS( 16 ),3390191.399999999906868,3486903.629999999888241,3303430.799999999813735,10180526.829999998211861
FS( 17 ),3419805.149999999906868,3452380.000000000000000,3323890.200000000186265,10196076.350000001490116
FS( 18 ),3537075.599999999627471,3472617.990000000223517,3327037.800000000279397,10336732.390000000596046
FS( 19 ),3580903.949999999720603,3473808.459999999962747,3337005.200000000186265,10391718.609999999403954
FS( 20 ),3538260.149999999906868,3484522.689999999944121,3335956.000000000465661,10358739.839999999850988
FS( 21 ),3580903.949999999720603,3467856.109999999869615,3299234.000000000000000,10347995.059999998658895
FS( 22 ),3565504.799999999813735,3444046.709999999962747,3275627.000000000000000,10285179.509999999776483
FS( 23 ),3621178.649999999906868,3413094.490000000223517,3293463.400000000372529,10327737.540000000968575
FS( 24 ),3628285.949999999720603,3438094.359999999869615,3268282.600000000093132,10334663.910000000149012
FS( 25 ),3570243.000000000000000,3426189.660000000149012,3223691.600000000093132,10220125.259999999776483
FS( 26 ),3563135.699999999720603,3466665.640000000130385,3247298.600000000093132,10277100.939999999478459
FS( 27 ),3586826.699999999720603,3449999.060000000055879,3244151.000000000465661,10280977.759999999776483
FS( 28 ),3556028.399999999906868,3352380.520000000018626,3269331.800000000279397,10177741.720000000670552
FS( 29 ),3514569.149999999906868,3330952.060000000055879,3287168.199999999720603,10132690.410000000149012
FS( 30 ),3564320.250000000000000,3348809.109999999869615,3283496.000000000465661,10196626.359999999403954
FS( 31 ),3544182.899999999906868,3369047.100000000093132,3286643.600000000093132,10199874.599999999627471
FS( 32 ),3484955.399999999906868,3401189.790000000037253,3267233.400000000372529,10153379.589999999850988
FS( 33 ),3638946.899999999906868,3438094.359999999869615,3330185.399999999906868,10407227.660000000149012
FS( 34 ),3583273.049999999813735,3411904.020000000018626,3305529.200000000186265,10300707.269999999552965
FS( 35 ),3520491.899999999906868,3390475.560000000055879,3315496.600000000093132,10226465.060000000521541
FS( 36 ),3346363.049999999813735,3299999.839999999850988,3325464.000000000000000,9971827.890000000596046
FS( 37 ),3436388.850000000093132,3288095.140000000130385,3309726.000000000465661,10034210.990000000223517
FS( 38 ),3484955.399999999906868,3301190.310000000055879,3347497.200000000186265,10133643.910000000149012
FS( 39 ),3518122.799999999813735,3314285.479999999981374,3343300.399999999906868,10175709.679999999701977
FS( 40 ),3372423.149999999906868,3254761.979999999981374,3296086.399999999906868,9923272.529999999329448
FS( 41 ),3250414.500000000000000,3334523.470000000204891,3275102.399999999906868,9860041.370000001043081
FS( 42 ),3295427.399999999906868,3379761.330000000074506,3351694.000000000000000,10026883.730000000447035
FS( 43 ),3314380.199999999720603,3455951.410000000149012,3359038.400000000372529,10129371.009999999776483
FS( 44 ),3371238.600000000093132,3389285.089999999850988,3420941.199999999720603,10181465.889999998733401
FS( 45 ),3250414.500000000000000,3324999.709999999962747,3360612.200000000186265,9936027.410000000149012
FS( 46 ),3307272.899999999906868,3330952.060000000055879,3324414.799999999813735,9962640.759999999776483
FS( 47 ),3284766.449999999720603,3403570.729999999981374,3300807.800000000279397,9989145.980000000447035
FS( 48 ),3320302.949999999720603,3436903.890000000130385,3334906.800000000279397,10092114.640000000596046
FS( 49 ),3301350.149999999906868,3410713.549999999813735,3318119.600000000093132,10030184.299999998882413
FS( 50 ),3361762.199999999720603,3451189.529999999795109,3346448.000000000000000,10159400.730000000447035
FS( 51 ),3391375.949999999720603,3452380.000000000000000,3335956.000000000465661,10179712.949999999254942
FS( 52 ),3442311.599999999627471,3504760.680000000167638,3357989.200000000186265,10305062.480000000447035
FS( 53 ),3428097.000000000000000,3573807.939999999944121,3371104.200000000186265,10373010.140000000596046
FS( 54 ),3434019.749999999534339,3607141.100000000093132,3382645.400000000372529,10423807.250000000000000
FS( 55 ),3412697.849999999627471,3589284.049999999813735,3396285.000000000000000,10398267.899999998509884
FS( 56 ),3391375.949999999720603,3609522.040000000037253,3397858.799999999813735,10398757.789999999105930
FS( 57 ),3334517.549999999813735,3660712.250000000000000,3403104.800000000279397,10398335.599999999627471
FS( 58 ),3396114.149999999906868,3733330.919999999925494,3423564.200000000186265,10553010.269999999552965
FS( 59 ),3418620.599999999627471,3733330.919999999925494,3377399.399999999906868,10529351.919999999925494
FS( 60 ),3462448.949999999720603,3714283.399999999906868,3349595.600000000093132,10526328.949999999254942
FS( 61 ),3537075.599999999627471,3741664.209999999962747,3356415.399999999906868,10635156.209999999031425
