代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11410335.609999999403954
真實報酬,1410335.609999999403954

夏普值報酬,0.132333561000000
夏普值風險,0.042521632433352
夏普值,3.112146769233719

二次趨勢線,49.066988116066142 x^2 + 6230.686318505657255 x + 10000000.000000000000000
二次加權預期報酬,14375.806345772642089
風險,160247.273259767011041
二次加權趨勢值,0.089710146408974
一次趨勢線,10812.242437776911174 x + 10000000.000000000000000
一次預期報酬,10812.242437776911174
一次風險,181487.830972082738299
一次趨勢值,0.059575578042145
找到最佳解世代,1759
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](2),VZ[26](1),WMT[28](4),
Stock#,MCD[15](2),VZ[26](1),WMT[28](4),
張數,35662,74239,52230,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,5.859999999869615,1.899999999906868,14.399999999906868,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3424984.340000000316650,3366740.549999999813735,3365715.599999999627471,10157441.490000000223517
FS( 3 ),3423914.479999999981374,3394208.979999999981374,3387652.199999999720603,10205776.660000000149012
FS( 4 ),3382546.559999999590218,3327393.879999999888241,3336989.100000000093132,10046930.539999999105930
FS( 5 ),3451374.219999999739230,3406087.220000000204891,3467041.799999999813735,10324504.239999998360872
FS( 6 ),3403230.520000000018626,3369710.109999999869615,3401232.000000000000000,10174173.629999998956919
FS( 7 ),3396811.359999999869615,3374906.839999999850988,3349002.000000000000000,10120721.199999999254942
FS( 8 ),3473841.279999999795109,3394951.369999999646097,3376683.900000000372529,10245477.550000000745058
FS( 9 ),3458150.000000000000000,3389012.250000000000000,3357358.799999999813735,10204522.050000000745058
FS( 10 ),3501657.639999999664724,3442464.329999999608845,3359447.999999999534339,10303570.969999998807907
FS( 11 ),3519488.639999999664724,3429101.309999999590218,3378773.099999999627471,10327364.049999998882413
FS( 12 ),3489175.939999999944121,3357831.869999999646097,3367282.500000000000000,10214291.309999998658895
FS( 13 ),3461002.959999999962747,3308834.129999999888241,3308262.600000000093132,10078100.689999999478459
FS( 14 ),3491315.660000000149012,3325909.099999999627471,3328110.000000000000000,10145335.759999999776483
FS( 15 ),3466352.259999999776483,3298440.669999999925494,3321320.100000000093132,10086114.029999999329448
FS( 16 ),3472771.419999999925494,3265033.119999999646097,3328110.000000000000000,10065915.539999999105930
FS( 17 ),3469561.840000000316650,3273199.410000000149012,3333855.299999999813735,10076617.550000000745058
FS( 18 ),3480260.439999999944121,3282850.479999999981374,3331243.799999999813735,10094355.719999998807907
FS( 19 ),3422131.379999999422580,3247215.760000000242144,3324976.199999999720603,9994324.339999999850988
FS( 20 ),3476337.620000000111759,3231625.569999999832362,3331243.799999999813735,10039207.989999998360872
FS( 21 ),3513782.719999999739230,3230140.789999999571592,3386607.600000000093132,10130532.109999999403954
FS( 22 ),3522698.219999999739230,3189309.339999999850988,3356836.499999999534339,10068845.059999998658895
FS( 23 ),3558716.840000000316650,3180400.660000000149012,3393919.800000000279397,10133038.300000000745058
FS( 24 ),3607930.399999999906868,3266517.899999999906868,3440404.500000000000000,10314853.800000000745058
FS( 25 ),3633963.660000000149012,3270972.240000000223517,3430480.800000000279397,10335417.700000001117587
FS( 26 ),3629327.599999999627471,3255382.049999999813735,3465997.199999999720603,10350707.849999999627471
FS( 27 ),3671408.759999999776483,3283592.869999999646097,3493156.799999999813735,10448159.429999999701977
FS( 28 ),3664632.979999999981374,3278396.139999999664724,3483233.099999999627471,10426263.219999998807907
FS( 29 ),3681750.739999999757856,3288789.599999999627471,3495768.300000000279397,10466309.640000000596046
FS( 30 ),3686743.419999999925494,3293243.939999999944121,3485322.300000000279397,10465310.660000000149012
FS( 31 ),3666772.699999999720603,3265775.510000000242144,3135381.299999999813735,10067930.509999999776483
FS( 32 ),3696728.779999999795109,3316258.030000000260770,3098820.299999999813735,10111808.109999999403954
FS( 33 ),3738096.699999999720603,3318485.200000000186265,3075839.100000000093132,10132422.000000000000000
FS( 34 ),3726328.239999999757856,3318485.200000000186265,3073749.899999999906868,10118564.339999999850988
FS( 35 ),3703147.939999999944121,3358574.260000000242144,3068526.899999999906868,10130250.099999999627471
FS( 36 ),3656787.340000000316650,3330363.439999999944121,3062781.600000000093132,10049933.380000000819564
FS( 37 ),3953851.799999999813735,3406829.609999999869615,3076361.399999999906868,10437043.810000000521541
FS( 38 ),4015190.439999999944121,3426874.139999999664724,3045023.399999999906868,10487088.980000000447035
FS( 39 ),4000569.020000000018626,3441721.939999999944121,3030399.000000000000000,10472690.960000000894070
FS( 40 ),3981311.540000000037253,3427616.530000000260770,3002194.799999999813735,10411123.870000001043081
FS( 41 ),4027672.139999999664724,3450630.619999999646097,3010551.600000000093132,10488855.359999999403954
FS( 42 ),4016260.299999999813735,3444691.500000000000000,3027265.199999999720603,10488218.000000000000000
FS( 43 ),4003065.359999999869615,3480326.220000000204891,2989659.600000000093132,10473052.179999999701977
FS( 44 ),3998072.679999999701977,3472902.319999999832362,3008984.699999999720603,10479960.699999999254942
FS( 45 ),3997002.819999999832362,3448403.450000000186265,3035099.699999999720603,10480506.969999998807907
FS( 46 ),4008414.660000000149012,3425389.359999999869615,3048679.500000000000000,10482484.519999999552965
FS( 47 ),4024462.559999999590218,3429843.700000000186265,3061214.699999999720603,10515521.959999999031425
FS( 48 ),4040867.080000000074506,3398663.319999999832362,3070093.799999999813735,10509625.199999999254942
FS( 49 ),4027315.520000000018626,3363028.599999999627471,3054947.100000000093132,10445292.219999998807907
FS( 50 ),4037657.500000000000000,3348180.799999999813735,3064870.799999999813735,10450710.099999999627471
FS( 51 ),4060124.559999999590218,3364513.379999999888241,3007417.799999999813735,10432056.739999998360872
FS( 52 ),3998072.679999999701977,3328136.269999999552965,2974512.899999999906868,10300722.849999999627471
FS( 53 ),3921756.000000000000000,3283592.869999999646097,2946831.000000000000000,10152180.869999999180436
FS( 54 ),3960627.580000000074506,3343726.459999999962747,3022564.500000000000000,10326919.539999999105930
FS( 55 ),3956348.139999999664724,3346696.019999999552965,3129636.000000000000000,10432681.160000000149012
FS( 56 ),4013050.719999999739230,3368967.720000000204891,3182388.299999999813735,10564407.739999998360872
FS( 57 ),4040510.459999999962747,3397178.539999999571592,3170375.399999999906868,10608065.400000000372529
FS( 58 ),4062264.279999999795109,3369710.109999999869615,3137470.500000000000000,10569445.890000000596046
FS( 59 ),4082235.000000000000000,3340014.510000000242144,3147394.199999999720603,10569644.709999999031425
FS( 60 ),4075459.219999999739230,3354862.309999999590218,3129636.000000000000000,10559958.529999999329448
FS( 61 ),4079738.660000000149012,3334817.780000000260770,3146349.600000000093132,10560907.040000000968575
FS( 62 ),4073676.120000000111759,3357831.869999999646097,3128069.100000000093132,10559578.089999999850988
FS( 63 ),4071179.779999999795109,3374164.450000000186265,3073227.600000000093132,10518572.830000000074506
FS( 64 ),4081521.759999999776483,3383815.519999999552965,3081062.100000000093132,10546400.379999998956919
FS( 65 ),4055488.500000000000000,3334817.780000000260770,3047634.899999999906868,10437942.179999999701977
FS( 66 ),4043720.040000000037253,3308091.740000000223517,3083673.600000000093132,10435486.380000000819564
FS( 67 ),4143930.259999999776483,3393466.589999999850988,3116056.199999999720603,10653454.049999998882413
FS( 68 ),4151775.899999999906868,3419450.240000000223517,3159929.399999999906868,10731156.540000000968575
FS( 69 ),4155698.719999999739230,3392724.200000000186265,3113444.699999999720603,10661868.619999999180436
FS( 70 ),4157481.819999999832362,3367482.939999999944121,3088374.299999999813735,10613340.059999998658895
FS( 71 ),4179592.259999999776483,3364513.379999999888241,3110833.200000000186265,10654939.839999999850988
FS( 72 ),4139650.819999999832362,3327393.879999999888241,3100387.199999999720603,10567432.899999998509884
FS( 73 ),4146069.979999999981374,3374164.450000000186265,3154184.100000000093132,10674419.529999999329448
FS( 74 ),4169963.520000000018626,3381588.349999999627471,3115011.600000000093132,10666564.469999998807907
FS( 75 ),4202415.939999999478459,3452857.789999999571592,3149483.399999999906868,10804758.129999998956919
FS( 76 ),4190290.859999999869615,3422419.799999999813735,3080539.799999999813735,10693251.460000000894070
FS( 77 ),4160334.779999999795109,3382330.740000000223517,3073749.899999999906868,10616416.419999999925494
FS( 78 ),4197066.640000000596046,3407572.000000000000000,3110310.899999999906868,10714950.540000000968575
FS( 79 ),4198136.500000000000000,3440237.160000000149012,3162018.600000000093132,10800393.259999999776483
FS( 80 ),4236651.459999999031425,3485522.950000000186265,3190745.100000000093132,10912920.509999999776483
FS( 81 ),4228449.199999999254942,3467705.589999999850988,3177165.299999999813735,10873321.089999999850988
FS( 82 ),4234868.359999999403954,3470675.149999999906868,3172986.899999999906868,10878531.410000000149012
FS( 83 ),4281942.199999999254942,3504825.089999999850988,3217904.699999999720603,11004672.989999998360872
FS( 84 ),4259118.519999999552965,3472159.930000000167638,3221560.799999999813735,10952840.250000000000000
FS( 85 ),4213114.539999999105930,3431328.479999999981374,3201713.399999999906868,10846157.419999999925494
FS( 86 ),4193143.819999999832362,3405344.829999999608845,3210070.199999999720603,10808559.849999999627471
FS( 87 ),4250916.259999999776483,3452115.399999999906868,3286326.000000000000000,10989358.660000000149012
FS( 88 ),4222386.660000000149012,3379361.180000000167638,3319230.899999999906868,10920979.740000000223517
FS( 89 ),4124672.779999999795109,3360801.430000000167638,3396531.299999999813735,10882006.509999999776483
FS( 90 ),4118253.620000000111759,3328136.269999999552965,3318708.600000000093132,10765099.490000000223517
FS( 91 ),4161404.639999999664724,3347438.410000000149012,3354225.000000000000000,10863069.050000000745058
FS( 92 ),4188151.139999999664724,3335560.169999999925494,3322887.000000000000000,10846599.309999998658895
