代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10595954.009999999776483
真實報酬,595954.009999999776483

夏普值報酬,0.050895401000000
夏普值風險,0.046043038795843
夏普值,1.105387531558738

二次趨勢線,282.629839424319812 x^2 + -27820.105644270657649 x + 10000000.000000000000000
二次加權預期報酬,19473.287486065521080
風險,176693.451043417560868
二次加權趨勢值,0.110209446762577
一次趨勢線,-1217.994264192750961 x + 10000000.000000000000000
一次預期報酬,-1217.994264192750961
一次風險,529032.682433558744378
一次趨勢值,-644358772.774579644203186
找到最佳解世代,2272
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
PFE[20](1),XOM[29](3),
Stock#,PFE[20](1),XOM[29](3),
張數,148720,61057,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,33.600000000558794,42.269999999552965,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4892921.600000000558794,4857126.619999999180436,9750048.219999998807907
FS( 3 ),4817074.400000000372529,4787521.639999999664724,9604596.039999999105930
FS( 4 ),4878049.600000000558794,4814997.289999999105930,9693046.890000000596046
FS( 5 ),4857228.799999999813735,4689219.869999999180436,9546448.669999998062849
FS( 6 ),4837895.200000001117587,4556726.179999999701977,9394621.380000000819564
FS( 7 ),4802202.400000000372529,4617783.179999999701977,9419985.580000000074506
FS( 8 ),4812612.800000000745058,4621446.599999999627471,9434059.400000000372529
FS( 9 ),4767996.800000000745058,4539019.649999999441206,9307016.449999999254942
FS( 10 ),4785843.200000000186265,4642205.979999999515712,9428049.179999999701977
FS( 11 ),4797740.799999999813735,4849799.780000000260770,9647540.580000000074506
FS( 12 ),4845331.200000000186265,4832703.820000000298023,9678035.019999999552965
FS( 13 ),4808151.200000000186265,4760045.989999999292195,9568197.189999999478459
FS( 14 ),4757586.400000000372529,4718527.229999999515712,9476113.629999998956919
FS( 15 ),4827484.800000000745058,4717306.089999999850988,9544790.890000000596046
FS( 16 ),4836408.000000000931323,4741118.320000000298023,9577526.320000000298023
FS( 17 ),4842356.800000000745058,4896203.099999999627471,9738559.900000000372529
FS( 18 ),4851280.000000000000000,4843694.079999999143183,9694974.079999998211861
FS( 19 ),4821536.000000000931323,4807670.449999999254942,9629206.449999999254942
FS( 20 ),4882511.200000000186265,4833314.389999999664724,9715825.589999999850988
FS( 21 ),4870613.600000000558794,4769204.539999999105930,9639818.140000000596046
FS( 22 ),4800715.200000001117587,4759435.419999999925494,9560150.620000001043081
FS( 23 ),4751637.600000000558794,4729517.489999999292195,9481155.089999999850988
FS( 24 ),4785843.200000000186265,4769815.109999999403954,9555658.309999998658895
FS( 25 ),4701072.800000000745058,4730128.059999999590218,9431200.859999999403954
FS( 26 ),4669841.600000000558794,4654417.379999999888241,9324258.980000000447035
FS( 27 ),4610353.600000000558794,4560389.599999999627471,9170743.199999999254942
FS( 28 ),4620764.000000000931323,4499332.599999999627471,9120096.600000001490116
FS( 29 ),4610353.600000000558794,4591528.669999999925494,9201882.269999999552965
FS( 30 ),4516660.000000000931323,4619004.320000000298023,9135664.320000000298023
FS( 31 ),4626712.800000000745058,4830872.109999999403954,9457584.910000000149012
FS( 32 ),4582096.800000000745058,4736844.329999999143183,9318941.129999998956919
FS( 33 ),4564250.400000000372529,4664797.070000000298023,9229047.470000000670552
FS( 34 ),4559788.800000000745058,4468193.530000000260770,9027982.330000001937151
FS( 35 ),4547891.200000000186265,4524365.969999998807907,9072257.169999998062849
FS( 36 ),4567224.800000000745058,4675176.759999998845160,9242401.559999998658895
FS( 37 ),4535993.600000000558794,4517039.129999999888241,9053032.730000000447035
FS( 38 ),4561276.000000000931323,4683114.169999999925494,9244390.170000001788139
FS( 39 ),4538968.000000000931323,4597023.799999999813735,9135991.800000000745058
FS( 40 ),4491377.600000000558794,4700820.699999999254942,9192198.300000000745058
FS( 41 ),4534506.400000000372529,4753329.719999998807907,9287836.119999999180436
FS( 42 ),4486916.000000000931323,4658080.799999999813735,9144996.800000000745058
FS( 43 ),4482454.400000000372529,4554283.899999999441206,9036738.300000000745058
FS( 44 ),4412556.000000000931323,4791795.629999999888241,9204351.630000000819564
FS( 45 ),4312913.600000000558794,4874222.579999999143183,9187136.179999999701977
FS( 46 ),4317375.200000001117587,4889486.829999999143183,9206862.030000001192093
FS( 47 ),4247476.800000000745058,4955428.389999999664724,9202905.190000001341105
FS( 48 ),4327785.600000000558794,4889486.829999999143183,9217272.429999999701977
FS( 49 ),4385786.400000000372529,4844915.219999998807907,9230701.619999999180436
FS( 50 ),4332247.200000000186265,4860179.469999998807907,9192426.669999998062849
FS( 51 ),4366452.800000000745058,4947490.979999999515712,9313943.780000001192093
FS( 52 ),4433376.800000000745058,4959091.809999999590218,9392468.609999999403954
FS( 53 ),4406607.200000000186265,5006716.269999999552965,9413323.469999998807907
FS( 54 ),4394709.600000000558794,5034191.919999999925494,9428901.519999999552965
FS( 55 ),4385786.400000000372529,5037244.769999999552965,9423031.169999999925494
FS( 56 ),4469069.600000000558794,5030528.500000000000000,9499598.100000001490116
FS( 57 ),4455684.800000000745058,4959702.379999999888241,9415387.179999999701977
FS( 58 ),4464608.000000000931323,4977408.909999999217689,9442016.910000000149012
FS( 59 ),4549378.400000000372529,5007326.839999999850988,9556705.240000000223517
FS( 60 ),4495839.200000000186265,4991452.019999999552965,9487291.219999998807907
FS( 61 ),4412556.000000000931323,4893760.820000000298023,9306316.820000000298023
FS( 62 ),4467582.400000000372529,4962755.229999999515712,9430337.629999998956919
FS( 63 ),4458659.200000000186265,5049456.169999999925494,9508115.370000001043081
FS( 64 ),4445274.400000000372529,5031139.070000000298023,9476413.470000000670552
FS( 65 ),4418504.800000000745058,5024422.799999999813735,9442927.600000001490116
FS( 66 ),4430402.400000000372529,5156916.489999999292195,9587318.890000000596046
FS( 67 ),4366452.800000000745058,5045182.179999999701977,9411634.980000000447035
FS( 68 ),4422966.400000000372529,5031139.070000000298023,9454105.470000000670552
FS( 69 ),4400658.400000000372529,5017706.530000000260770,9418364.929999999701977
FS( 70 ),4535993.600000000558794,5018317.099999999627471,9554310.699999999254942
FS( 71 ),4476505.600000000558794,5031749.639999999664724,9508255.240000000223517
FS( 72 ),4393222.400000000372529,5056783.009999998845160,9450005.410000000149012
FS( 73 ),4318862.400000000372529,5059835.859999999403954,9378698.259999999776483
FS( 74 ),4363478.400000000372529,5134935.969999998807907,9498414.369999999180436
FS( 75 ),4379837.600000000558794,5141041.669999999925494,9520879.269999999552965
FS( 76 ),4472044.000000000931323,5105628.609999999403954,9577672.609999999403954
FS( 77 ),4518147.200000000186265,5136157.109999999403954,9654304.309999998658895
FS( 78 ),4489890.400000000372529,5113566.019999999552965,9603456.419999999925494
FS( 79 ),4473531.200000000186265,5127609.129999999888241,9601140.330000000074506
FS( 80 ),4428915.200000001117587,5142262.809999999590218,9571178.010000001639128
FS( 81 ),4469069.600000000558794,5161190.479999999515712,9630260.080000000074506
FS( 82 ),4472044.000000000931323,5160579.909999999217689,9632623.910000000149012
FS( 83 ),4408094.400000000372529,5103796.899999999441206,9511891.300000000745058
