代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11970935.199999999254942
真實報酬,1970935.199999999254942

夏普值報酬,0.188393520000000
夏普值風險,0.063634958756396
夏普值,2.960534958798332

二次趨勢線,106.946620677307365 x^2 + 3663.543578082065324 x + 10000000.000000000000000
二次加權預期報酬,21559.278104751494539
風險,184304.099635290855076
二次加權趨勢值,0.116976660570296
一次趨勢線,13729.734468525886768 x + 10000000.000000000000000
一次預期報酬,13729.734468525886768
一次風險,263764.508166605723090
一次趨勢值,0.052053001990145
找到最佳解世代,1822
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
V[25](1),
Stock#,V[25](1),
張數,315855,
分配資金,10000000.000000000000000,
剩餘資金,30.699999999254942,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9977890.149999998509884,9977890.149999998509884
FS( 3 ),10028426.949999999254942,10028426.949999999254942
FS( 4 ),9892609.299999998882413,9892609.299999998882413
FS( 5 ),9763108.750000000000000,9763108.750000000000000
FS( 6 ),9655718.049999998882413,9655718.049999998882413
FS( 7 ),9535693.150000000372529,9535693.150000000372529
FS( 8 ),9684145.000000000000000,9684145.000000000000000
FS( 9 ),9797852.799999998882413,9797852.799999998882413
FS( 10 ),10041061.149999998509884,10041061.149999998509884
FS( 11 ),10126342.000000000000000,10126342.000000000000000
FS( 12 ),10094756.500000000000000,10094756.500000000000000
FS( 13 ),9902084.949999999254942,9902084.949999999254942
FS( 14 ),9930511.900000000372529,9930511.900000000372529
FS( 15 ),9829438.299999998882413,9829438.299999998882413
FS( 16 ),9684145.000000000000000,9684145.000000000000000
FS( 17 ),9649400.949999999254942,9649400.949999999254942
FS( 18 ),10009475.650000000372529,10009475.650000000372529
FS( 19 ),10195830.099999999627471,10195830.099999999627471
FS( 20 ),10331647.750000000000000,10331647.750000000000000
FS( 21 ),10192671.550000000745058,10192671.550000000745058
FS( 22 ),10066329.549999998882413,10066329.549999998882413
FS( 23 ),10208464.299999998882413,10208464.299999998882413
FS( 24 ),10341123.400000000372529,10341123.400000000372529
FS( 25 ),10347440.499999998137355,10347440.499999998137355
FS( 26 ),10296903.699999999254942,10296903.699999999254942
FS( 27 ),10356916.149999998509884,10356916.149999998509884
FS( 28 ),10148451.849999999627471,10148451.849999999627471
FS( 29 ),10192671.550000000745058,10192671.550000000745058
FS( 30 ),10132659.099999999627471,10132659.099999999627471
FS( 31 ),10255842.549999998882413,10255842.549999998882413
FS( 32 ),10192671.550000000745058,10192671.550000000745058
FS( 33 ),10240049.799999998882413,10240049.799999998882413
FS( 34 ),10161086.049999998882413,10161086.049999998882413
FS( 35 ),10120024.899999998509884,10120024.899999998509884
FS( 36 ),10069488.099999999627471,10069488.099999999627471
FS( 37 ),10116866.349999999627471,10116866.349999999627471
FS( 38 ),10041061.149999998509884,10041061.149999998509884
FS( 39 ),10003158.549999998882413,10003158.549999998882413
FS( 40 ),10082122.299999998882413,10082122.299999998882413
FS( 41 ),10060012.449999999254942,10060012.449999999254942
FS( 42 ),10110549.249999998137355,10110549.249999998137355
FS( 43 ),10006317.099999999627471,10006317.099999999627471
FS( 44 ),10126342.000000000000000,10126342.000000000000000
FS( 45 ),10148451.849999999627471,10148451.849999999627471
FS( 46 ),10075805.199999999254942,10075805.199999999254942
FS( 47 ),10227415.599999999627471,10227415.599999999627471
FS( 48 ),10243208.349999999627471,10243208.349999999627471
FS( 49 ),10161086.049999998882413,10161086.049999998882413
FS( 50 ),10382184.549999998882413,10382184.549999998882413
FS( 51 ),10540112.049999998882413,10540112.049999998882413
FS( 52 ),10656978.400000000372529,10656978.400000000372529
FS( 53 ),10600124.500000000000000,10600124.500000000000000
FS( 54 ),10571697.549999998882413,10571697.549999998882413
FS( 55 ),10555904.799999998882413,10555904.799999998882413
FS( 56 ),10644344.199999999254942,10644344.199999999254942
FS( 57 ),10628551.449999999254942,10628551.449999999254942
FS( 58 ),10660136.949999999254942,10660136.949999999254942
FS( 59 ),10562221.899999998509884,10562221.899999998509884
FS( 60 ),10625392.899999998509884,10625392.899999998509884
FS( 61 ),10464306.849999999627471,10464306.849999999627471
FS( 62 ),10574856.099999997764826,10574856.099999997764826
FS( 63 ),10603283.049999998882413,10603283.049999998882413
FS( 64 ),10795954.599999999627471,10795954.599999999627471
FS( 65 ),10739100.699999999254942,10739100.699999999254942
FS( 66 ),10938089.349999999627471,10938089.349999999627471
FS( 67 ),11029687.299999998882413,11029687.299999998882413
FS( 68 ),11077065.549999998882413,11077065.549999998882413
FS( 69 ),10953882.099999999627471,10953882.099999999627471
FS( 70 ),10799113.149999998509884,10799113.149999998509884
FS( 71 ),10849649.949999999254942,10849649.949999999254942
FS( 72 ),10979150.499999998137355,10979150.499999998137355
FS( 73 ),10985467.599999999627471,10985467.599999999627471
FS( 74 ),11045480.049999998882413,11045480.049999998882413
FS( 75 ),11146553.649999998509884,11146553.649999998509884
FS( 76 ),11257102.899999998509884,11257102.899999998509884
FS( 77 ),11203407.549999998882413,11203407.549999998882413
FS( 78 ),11051797.150000000372529,11051797.150000000372529
FS( 79 ),10975991.949999999254942,10975991.949999999254942
FS( 80 ),10789637.499999998137355,10789637.499999998137355
FS( 81 ),10777003.299999998882413,10777003.299999998882413
FS( 82 ),10862284.149999998509884,10862284.149999998509884
FS( 83 ),10922296.599999999627471,10922296.599999999627471
FS( 84 ),10957040.649999998509884,10957040.649999998509884
FS( 85 ),11361335.049999998882413,11361335.049999998882413
FS( 86 ),11323432.449999999254942,11323432.449999999254942
FS( 87 ),11174980.599999999627471,11174980.599999999627471
FS( 88 ),11361335.049999998882413,11361335.049999998882413
FS( 89 ),11257102.899999998509884,11257102.899999998509884
FS( 90 ),11219200.300000000745058,11219200.300000000745058
