代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12796314.149999998509884
真實報酬,2796314.149999998509884

夏普值報酬,0.270931415000000
夏普值風險,0.073506419188685
夏普值,3.685819796289392

二次趨勢線,134.784715797520221 x^2 + 5663.794400746225620 x + 10000000.000000000000000
二次加權預期報酬,27858.344268737888342
風險,97214.677955799270421
二次加權趨勢值,0.286565206556609
一次趨勢線,18148.024068825896393 x + 10000000.000000000000000
一次預期報酬,18148.024068825896393
一次風險,249971.162030275299912
一次趨勢值,0.072600470876028
找到最佳解世代,2457
找到最佳解實驗#,1
找到最佳解次數,27

stock[index](rank)
投資組合檔數,3
AAPL[0](11),BA[2](1),DIS[6](4),
Stock#,AAPL[0](11),BA[2](1),DIS[6](4),
張數,31231,25660,35363,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,48.369999999646097,99.000000000000000,16.619999999646097,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3364564.000000000000000,3365664.600000000093132,3338991.079999999608845,10069220.679999999701977
FS( 3 ),3363627.069999999832362,3412622.400000000372529,3317066.019999999552965,10093316.490000000223517
FS( 4 ),3384239.529999999795109,3403641.399999999441206,3313883.349999999627471,10101765.279999999329448
FS( 5 ),3295543.489999999292195,3410313.000000000000000,3327321.289999999571592,10033178.779999999329448
FS( 6 ),3220901.399999999441206,3298178.799999999813735,3268265.079999999608845,9787346.279999999329448
FS( 7 ),3293045.009999999776483,3338978.200000000186265,3311407.939999999478459,9943432.149999998509884
FS( 8 ),3371434.819999999832362,3304080.599999999627471,3278166.719999999739230,9953683.140000000596046
FS( 9 ),3490737.239999999292195,3276111.200000000186265,3262607.000000000000000,10029456.439999999478459
FS( 10 ),3609415.039999999571592,3278677.199999999720603,3271094.119999999646097,10159187.359999999403954
FS( 11 ),3589114.889999999664724,3251221.000000000000000,3273215.899999999906868,10113552.789999999105930
FS( 12 ),3547265.349999999627471,3271235.800000000279397,3275691.309999999590218,10094193.460000000894070
FS( 13 ),3546953.039999999571592,3279190.400000000372529,3287007.469999999739230,10113151.910000000149012
FS( 14 ),3546328.419999999459833,3350268.600000000093132,3267204.189999999478459,10163802.209999999031425
FS( 15 ),3579745.589999999850988,3383883.200000000186265,3303274.449999999720603,10266904.240000000223517
FS( 16 ),3520094.379999999422580,3381573.799999999813735,3298323.629999999422580,10199992.809999998658895
FS( 17 ),3525403.649999999441206,3350525.199999999720603,3251998.099999999627471,10127927.949999999254942
FS( 18 ),3531962.159999999683350,3369770.199999999720603,3243510.979999999515712,10145244.339999999850988
FS( 19 ),3558820.819999999832362,3393120.799999999813735,3260485.219999999739230,10212427.839999999850988
FS( 20 ),3503541.949999999720603,3362328.799999999813735,3246340.019999999552965,10112211.769999999552965
FS( 21 ),3530712.919999999459833,3380547.400000000372529,3283824.799999999813735,10195086.120000001043081
FS( 22 ),3514160.489999999292195,3396969.799999999813735,3270740.489999999292195,10181871.779999997466803
FS( 23 ),3529151.369999999646097,3393634.000000000000000,3274276.789999999571592,10197063.159999998286366
FS( 24 ),3530712.919999999459833,3455474.600000000093132,3269325.969999999739230,10255514.489999998360872
FS( 25 ),3556946.959999999497086,3449316.199999999720603,3282763.909999999683350,10289028.069999998435378
FS( 26 ),3562256.229999999515712,3434690.000000000000000,3270740.489999999292195,10267687.719999998807907
FS( 27 ),3624405.919999999459833,3485753.399999999906868,3270740.489999999292195,10380900.809999998658895
FS( 28 ),3632213.669999999459833,3431867.400000000372529,3248461.799999999813735,10312543.870000001043081
FS( 29 ),3664693.909999999683350,3416984.600000000093132,3232548.449999999720603,10314227.959999999031425
FS( 30 ),3653450.750000000000000,3422629.799999999813735,3222293.179999999701977,10298374.730000000447035
FS( 31 ),3673750.899999999441206,3425709.000000000000000,3228658.519999999552965,10328119.419999998062849
FS( 32 ),3671252.419999999459833,3438539.000000000000000,3212037.909999999683350,10321830.330000000074506
FS( 33 ),3668753.939999999478459,3466765.000000000000000,3224061.329999999608845,10359581.269999999552965
FS( 34 ),3657823.089999999850988,3494477.800000000279397,3250937.209999999962747,10403239.100000001490116
FS( 35 ),3655949.229999999515712,3485753.399999999906868,3254473.509999999776483,10396177.139999998733401
FS( 36 ),3641582.969999999273568,3480364.799999999813735,3289836.509999999776483,10411785.279999999329448
FS( 37 ),3674375.520000000018626,3527065.999999999534339,3301859.929999999701977,10503302.449999999254942
FS( 38 ),3693114.119999999646097,3567352.200000000186265,3279934.869999999646097,10540402.189999999478459
FS( 39 ),3610039.659999999683350,3734655.399999999906868,3306103.489999999292195,10650799.549999998882413
FS( 40 ),3575373.250000000000000,3677433.600000000093132,3324845.879999999422580,10577653.729999998584390
FS( 41 ),3551637.689999999478459,3669735.599999999627471,3318834.169999999459833,10540208.459999999031425
FS( 42 ),3546016.109999999869615,3654852.800000000279397,3277813.089999999385327,10478683.000000000000000
FS( 43 ),3481992.559999999590218,3654339.600000000093132,3267204.189999999478459,10403537.349999999627471
FS( 44 ),3485115.659999999683350,3611744.000000000000000,3250229.949999999720603,10347090.609999999403954
FS( 45 ),3430149.099999999627471,3593012.200000000186265,3301859.929999999701977,10325022.230000000447035
FS( 46 ),3399230.409999999683350,3580695.399999999906868,3269325.969999999739230,10249252.779999999329448
FS( 47 ),3448263.079999999608845,3670248.799999999813735,3339344.709999999962747,10457857.589999999850988
FS( 48 ),3468563.229999999515712,3648950.999999999534339,3337576.559999999590218,10455091.789999999105930
FS( 49 ),3462941.649999999441206,3723108.399999999906868,3346770.939999999478459,10532821.989999998360872
FS( 50 ),3366437.859999999869615,3789824.399999999906868,3358087.099999999627471,10514350.359999999403954
FS( 51 ),3386425.699999999720603,3811122.200000000186265,3454274.459999999962747,10651823.359999999403954
FS( 52 ),3301477.379999999422580,3848842.400000000372529,3462761.579999999608845,10613082.359999999403954
FS( 53 ),3345200.779999999795109,3800601.600000000558794,3454981.719999999739230,10600785.100000001490116
FS( 54 ),3435146.059999999590218,3757749.399999999906868,3505197.179999999701977,10698093.639999998733401
FS( 55 ),3433896.819999999832362,3729266.800000000279397,3514037.929999999701977,10677202.550000000745058
FS( 56 ),3437332.229999999515712,3755440.000000000000000,3474077.739999999292195,10666850.969999998807907
FS( 57 ),3489488.000000000000000,3772632.200000000186265,3452506.309999999590218,10714627.509999999776483
FS( 58 ),3491674.169999999459833,3836782.200000000186265,3455335.349999999627471,10783792.719999998807907
FS( 59 ),3473872.500000000000000,3842427.400000000372529,3474785.000000000000000,10791085.900000000372529
FS( 60 ),3491361.859999999869615,3850125.399999999906868,3494588.279999999329448,10836076.539999999105930
FS( 61 ),3484491.039999999571592,3843197.200000000186265,3499892.729999999515712,10827581.969999998807907
FS( 62 ),3481055.629999999422580,3891181.399999999441206,3524646.829999999608845,10896884.859999999403954
FS( 63 ),3451698.489999999292195,3863468.600000000093132,3505197.179999999701977,10820365.269999999552965
FS( 64 ),3419530.559999999590218,3910426.399999999441206,3498831.839999999385327,10828789.799999998882413
FS( 65 ),3432335.270000000018626,3906834.000000000000000,3483272.119999999646097,10822442.389999998733401
FS( 66 ),3407662.779999999795109,3904524.600000000093132,3534902.099999999627471,10847090.480000000447035
FS( 67 ),3433896.819999999832362,3906577.400000000372529,3559656.199999999720603,10900131.419999999925494
FS( 68 ),3467626.299999999813735,3955331.399999999441206,3606688.989999999292195,11029647.689999997615814
FS( 69 ),3501668.089999999850988,3987406.399999999441206,3655843.559999999590218,11144919.049999998882413
FS( 70 ),3558820.819999999832362,4015632.400000000372529,3708180.799999999813735,11282635.019999999552965
FS( 71 ),3538520.669999999459833,4032824.600000000093132,3679890.399999999906868,11251236.669999999925494
FS( 72 ),3597547.259999999776483,4019994.600000000093132,3672464.169999999459833,11290007.029999999329448
FS( 73 ),3597547.259999999776483,3963799.200000000186265,3679536.769999999552965,11240884.230000000447035
FS( 74 ),3617222.789999999571592,3945837.200000000186265,3691560.189999999478459,11254621.179999999701977
FS( 75 ),3621907.439999999478459,3964569.000000000000000,3674585.949999999720603,11261063.389999998733401
FS( 76 ),3642832.209999999497086,4007677.800000000279397,3723740.519999999552965,11374251.529999999329448
FS( 77 ),3652513.819999999832362,4013066.399999999441206,3729398.599999999627471,11394979.819999998435378
FS( 78 ),3655949.229999999515712,4041035.799999999813735,3732934.899999999906868,11429920.929999999701977
FS( 79 ),3631901.359999999869615,4040522.600000000093132,3727984.079999999608845,11400409.039999999105930
FS( 80 ),3639084.489999999292195,4049503.600000000093132,3718436.069999999832362,11407025.160000000149012
FS( 81 ),3662195.429999999701977,4041035.799999999813735,3719143.329999999608845,11422375.559999998658895
FS( 82 ),3646579.929999999701977,4005625.000000000000000,3688377.519999999552965,11340583.449999999254942
FS( 83 ),3645643.000000000000000,3995104.399999999906868,3697571.899999999906868,11338320.300000000745058
FS( 84 ),3617222.789999999571592,3994847.800000000279397,3685548.479999999515712,11297620.070000000298023
FS( 85 ),3627529.020000000018626,4027949.200000000186265,3751323.659999999683350,11406802.880000000819564
FS( 86 ),3623468.989999999292195,4070288.200000000186265,3799417.339999999385327,11493175.529999999329448
FS( 87 ),3641895.279999999795109,4072597.600000000093132,3797295.559999999590218,11511789.439999999478459
FS( 88 ),3682495.579999999608845,4082605.000000000000000,3853876.359999999869615,11618977.939999999478459
FS( 89 ),3716225.059999999590218,4062590.199999999720603,3831951.299999999813735,11610767.559999998658895
FS( 90 ),3719972.779999999795109,4081835.199999999720603,3832658.559999999590218,11634467.539999999105930
FS( 91 ),3739960.619999999646097,4090303.000000000000000,3870143.339999999385327,11700407.959999999031425
FS( 92 ),3724345.119999999646097,4061820.399999999906868,3802600.009999999776483,11588766.529999999329448
FS( 93 ),3717786.609999999869615,4075676.800000000279397,3821342.399999999906868,11614806.810000000521541
FS( 94 ),3747768.369999999646097,4045911.199999999720603,3818159.729999999515712,11611840.299999998882413
FS( 95 ),3747456.059999999590218,4062590.199999999720603,3824878.699999999720603,11634925.959999999031425
FS( 96 ),3740897.549999999813735,4080039.000000000000000,3793759.259999999776483,11614696.809999998658895
FS( 97 ),3747768.369999999646097,4093638.799999999813735,3807197.199999999720603,11648605.369999999180436
FS( 98 ),3750266.849999999627471,4050273.399999999906868,3788101.179999999701977,11588642.429999999701977
FS( 99 ),3746831.439999999478459,4119812.000000000465661,3815684.319999999832362,11682328.759999999776483
