代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11551410.600000001490116
真實報酬,1551410.600000001490116

夏普值報酬,0.146441060000000
夏普值風險,0.051532353694004
夏普值,2.841730476150167

二次趨勢線,128.836260692170271 x^2 + -2098.306130934296561 x + 10000000.000000000000000
二次加權預期報酬,19288.513143965974450
風險,96675.632654789937078
二次加權趨勢值,0.199517837269724
一次趨勢線,9931.585680684029285 x + 10000000.000000000000000
一次預期報酬,9931.585680684029285
一次風險,243701.217636182234855
一次趨勢值,0.040753122930681
找到最佳解世代,2269
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),CAT[3](4),CSCO[4](5),DD[7](14),INTC[11](2),MCD[15](11),
Stock#,AAPL[0](1),CAT[3](4),CSCO[4](5),DD[7](14),INTC[11](2),MCD[15](11),
張數,21091,18545,75757,26679,64624,17287,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,55.180000000167638,26.849999999860302,12.000000000000000,28.870000000111759,13.040000000037253,26.330000000074506,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1629967.660000000149012,1665738.749999999767169,1665150.860000000102445,1659195.880000000121072,1666019.760000000009313,1668913.310000000288710,9954990.220000000670552
FS( 3 ),1638825.880000000121072,1643855.649999999906868,1667423.570000000065193,1656261.190000000176951,1645340.080000000074506,1656985.280000000027940,9908695.650000000372529
FS( 4 ),1627225.830000000307336,1649233.699999999953434,1690150.669999999925494,1637852.680000000167638,1653741.199999999953434,1666147.389999999897555,9924355.470000000670552
FS( 5 ),1637560.420000000158325,1653128.149999999906868,1688635.530000000027940,1639720.210000000195578,1643401.360000000102445,1649379.000000000000000,9911828.670000001788139
FS( 6 ),1616680.330000000307336,1663698.799999999813735,1673484.129999999888241,1618643.800000000046566,1635646.479999999981374,1650243.349999999860302,9858400.889999998733401
FS( 7 ),1605713.010000000009313,1678534.800000000046566,1683332.539999999804422,1622645.650000000139698,1649863.760000000009313,1656120.929999999934807,9896214.689999999478459
FS( 8 ),1614149.410000000149012,1667036.899999999906868,1681059.830000000074506,1591698.010000000009313,1647925.040000000037253,1639352.540000000037253,9841225.730000000447035
FS( 9 ),1646418.640000000130385,1679462.049999999813735,1697726.370000000111759,1620511.330000000074506,1713195.280000000027940,1646094.469999999972060,10003412.140000000596046
FS( 10 ),1679320.600000000325963,1713770.299999999813735,1725756.460000000195578,1635718.360000000102445,1723535.120000000111759,1650243.349999999860302,10128348.189999999478459
FS( 11 ),1670040.560000000288710,1706352.300000000046566,1725756.460000000195578,1637052.310000000055879,1715134.000000000000000,1660615.550000000046566,10114955.180000001564622
FS( 12 ),1629124.020000000018626,1695781.649999999906868,1722726.179999999934807,1636518.730000000214204,1670543.440000000176951,1641081.240000000223517,9995779.260000001639128
FS( 13 ),1654433.220000000204891,1680203.849999999860302,1729544.309999999823049,1745102.260000000009313,1653741.199999999953434,1643674.290000000037253,10106703.129999998956919
FS( 14 ),1661815.070000000298023,1662400.649999999906868,1730301.879999999888241,1735497.820000000065193,1635646.479999999981374,1640216.889999999897555,10065882.790000000968575
FS( 15 ),1675735.130000000121072,1640888.449999999953434,1709089.919999999925494,1699214.380000000121072,1624014.159999999916181,1647823.169999999925494,9996769.210000000894070
FS( 16 ),1645364.090000000316650,1598049.500000000000000,1681817.399999999906868,1649324.650000000139698,1603334.479999999981374,1632437.740000000223517,9810331.860000001266599
FS( 17 ),1658651.420000000158325,1692999.899999999906868,1666666.000000000000000,1637585.890000000130385,1597518.320000000065193,1626214.419999999925494,9879639.950000001117587
FS( 18 ),1526199.940000000176951,1714882.999999999767169,1647726.750000000000000,1635985.150000000139698,1609150.639999999897555,1628115.990000000223517,9762065.469999998807907
FS( 19 ),1508905.320000000298023,1680574.750000000000000,1640151.049999999813735,1699481.170000000158325,1594933.360000000102445,1610310.380000000121072,9734360.030000001192093
FS( 20 ),1505952.580000000307336,1728420.849999999860302,1665150.860000000102445,1721624.740000000223517,1598810.800000000046566,1621546.929999999934807,9841510.759999999776483
FS( 21 ),1508272.590000000316650,1741587.799999999813735,1659847.870000000111759,1729094.860000000102445,1585886.000000000000000,1627943.120000000111759,9852636.240000000223517
FS( 22 ),1511225.330000000307336,1713955.750000000000000,1632575.350000000093132,1697880.430000000167638,1547757.840000000083819,1608063.070000000065193,9711461.769999999552965
FS( 23 ),1532949.060000000288710,1715439.349999999860302,1651514.600000000093132,1708285.240000000223517,1539356.719999999972060,1609273.160000000149012,9756822.129999998956919
FS( 24 ),1544549.110000000335276,1705425.049999999813735,1665150.860000000102445,1704016.600000000093132,1519969.520000000018626,1617743.790000000037253,9756858.929999999701977
FS( 25 ),1544338.200000000186265,1740104.199999999720603,1703786.929999999934807,1732029.550000000046566,1550342.800000000046566,1641254.110000000102445,9911859.789999999105930
FS( 26 ),1565851.020000000018626,1759391.000000000000000,1717423.190000000176951,1732563.130000000121072,1564560.080000000074506,1658195.370000000111759,9997987.789999999105930
FS( 27 ),1593902.050000000046566,1752529.349999999860302,1729544.309999999823049,1741633.990000000223517,1569730.000000000000000,1639871.150000000139698,10027214.849999999627471
FS( 28 ),1614993.050000000046566,1761060.049999999813735,1720453.469999999972060,1779518.170000000158325,1581362.320000000065193,1648168.910000000149012,10105559.969999998807907
FS( 29 ),1614782.140000000130385,1783499.500000000000000,1731059.450000000186265,1761910.030000000260770,1586532.239999999990687,1640389.760000000009313,10118177.119999999180436
FS( 30 ),1640513.160000000149012,1782386.799999999813735,1687120.389999999897555,1759242.130000000121072,1596225.840000000083819,1650243.349999999860302,10115735.669999999925494
FS( 31 ),1639036.790000000037253,1790546.599999999860302,1709089.919999999925494,1774715.949999999953434,1600103.280000000027940,1655775.190000000176951,10169271.729999998584390
FS( 32 ),1645153.180000000167638,1790732.049999999813735,1697726.370000000111759,1777383.850000000325963,1600103.280000000027940,1659924.070000000065193,10171026.800000000745058
FS( 33 ),1619211.250000000000000,1784241.299999999813735,1687877.960000000195578,1764311.139999999897555,1583301.040000000037253,1651799.179999999934807,10090745.869999999180436
FS( 34 ),1600440.260000000009313,1797408.250000000000000,1689393.100000000093132,1790990.139999999897555,1598810.800000000046566,1655256.580000000074506,10132303.129999998956919
FS( 35 ),1582723.820000000298023,1808164.349999999860302,1676514.409999999916181,1784320.389999999897555,1578131.120000000111759,1667357.480000000214204,10097215.570000000298023
FS( 36 ),1589472.940000000176951,1804826.249999999767169,1675756.840000000083819,1783786.810000000055879,1591702.159999999916181,1668221.830000000074506,10113770.830000000074506
FS( 37 ),1573021.960000000195578,1787950.299999999813735,1654544.879999999888241,1794191.620000000111759,1591055.920000000158325,1670296.270000000251457,10071064.949999999254942
FS( 38 ),1558890.989999999990687,1802600.849999999860302,1661363.010000000009313,1817135.560000000055879,1602688.239999999990687,1657676.760000000009313,10100359.410000000149012
FS( 39 ),1589894.760000000009313,1793328.349999999860302,1660605.440000000176951,1843014.190000000176951,1600103.280000000027940,1643674.290000000037253,10130624.309999998658895
FS( 40 ),1585676.560000000288710,1798335.499999999767169,1651514.600000000093132,1850751.100000000325963,1600103.280000000027940,1644884.380000000121072,10131269.420000001788139
FS( 41 ),1590105.670000000158325,1786095.799999999813735,1634090.489999999990687,1840346.290000000270084,1583301.040000000037253,1630536.169999999925494,10064479.459999999031425
FS( 42 ),1600651.170000000158325,1799262.749999999767169,1653029.739999999990687,1879297.630000000121072,1590409.679999999934807,1641945.590000000083819,10164600.560000000521541
FS( 43 ),1604025.730000000214204,1787208.500000000000000,1656817.590000000083819,1896372.190000000176951,1583301.040000000037253,1642637.070000000065193,10170366.120000001043081
FS( 44 ),1599174.800000000046566,1810018.849999999860302,1653029.739999999990687,1891303.180000000167638,1591702.159999999916181,1652317.790000000037253,10197550.519999999552965
FS( 45 ),1598331.160000000149012,1799819.099999999860302,1646211.610000000102445,1881165.160000000149012,1592348.400000000139698,1650934.830000000074506,10168814.259999999776483
FS( 46 ),1599807.530000000027940,1794255.599999999860302,1643181.330000000074506,1893170.709999999962747,1605273.199999999953434,1645748.730000000214204,10181441.099999999627471
FS( 47 ),1615203.960000000195578,1795924.649999999906868,1637120.770000000018626,1871560.720000000204891,1598164.560000000055879,1707636.190000000176951,10225614.850000001490116
FS( 48 ),1616891.239999999990687,1795553.749999999767169,1653029.739999999990687,1862756.649999999906868,1600103.280000000027940,1706426.099999999860302,10234764.759999997913837
FS( 49 ),1598963.890000000130385,1773114.299999999813735,1630302.639999999897555,1851818.260000000009313,1587824.719999999972060,1683261.520000000251457,10125289.330000000074506
FS( 50 ),1581036.540000000037253,1769034.399999999906868,1617423.950000000186265,1848349.990000000223517,1583301.040000000037253,1686891.790000000037253,10086041.710000000894070
FS( 51 ),1587152.930000000167638,1774227.000000000000000,1629545.070000000065193,1861689.490000000223517,1596225.840000000083819,1687237.530000000027940,10136081.859999999403954
FS( 52 ),1601072.989999999990687,1787950.299999999813735,1638635.909999999916181,1887034.540000000270084,1603980.719999999972060,1682224.300000000046566,10200902.760000001639128
FS( 53 ),1600651.170000000158325,1781088.649999999906868,1638635.909999999916181,1884900.220000000204891,1616905.520000000018626,1661307.030000000027940,10183492.500000000000000
FS( 54 ),1593058.410000000149012,1784241.299999999813735,1653787.309999999823049,1908911.320000000065193,1643401.360000000102445,1669950.530000000027940,10253354.229999998584390
FS( 55 ),1605502.100000000325963,1806124.399999999906868,1639393.479999999981374,1907577.370000000111759,1626599.120000000111759,1650416.219999999972060,10235616.690000001341105
FS( 56 ),1624694.910000000149012,1796110.099999999860302,1634090.489999999990687,1905709.840000000316650,1623367.920000000158325,1662689.990000000223517,10246667.250000000000000
FS( 57 ),1642200.440000000176951,1828378.399999999906868,1692423.379999999888241,1924118.350000000325963,1645340.080000000074506,1658022.500000000000000,10390487.150000000372529
