代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10841461.609999999403954
真實報酬,841461.609999999403954

夏普值報酬,0.075446161000000
夏普值風險,0.050242417047164
夏普值,1.501642744002060

二次趨勢線,210.082071083295517 x^2 + -14966.665647523755979 x + 10000000.000000000000000
二次加權預期報酬,19626.848724192233931
風險,192689.540724935999606
二次加權趨勢值,0.101857364184647
一次趨勢線,4491.867236053732086 x + 10000000.000000000000000
一次預期報酬,4491.867236053732086
一次風險,407396.026042896322906
一次趨勢值,0.011025800324279
找到最佳解世代,2457
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](2),KO[14](10),MCD[15](1),PG[21](5),TRV[22](4),
Stock#,DIS[6](2),KO[14](10),MCD[15](1),PG[21](5),TRV[22](4),
張數,17280,40249,10789,21431,15371,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,12.800000000046566,27.190000000176951,43.070000000065193,59.080000000074506,79.189999999711290,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1950406.400000000139698,1995572.610000000102445,1996439.629999999888241,1999785.690000000176951,1947431.179999999701977,9889635.510000001639128
FS( 3 ),1975635.199999999953434,1987522.810000000288710,2000863.119999999878928,2004929.130000000121072,1927756.299999999580905,9896706.559999998658895
FS( 4 ),1935027.200000000186265,1975850.600000000325963,1973998.510000000242144,1981355.030000000027940,1899319.949999999720603,9765551.290000000968575
FS( 5 ),1932953.600000000093132,1981887.950000000186265,1992231.920000000158325,1993785.010000000009313,1890712.189999999711290,9791570.669999999925494
FS( 6 ),1934854.400000000139698,1993962.650000000139698,1980795.580000000074506,2012644.290000000037253,1859509.059999999590218,9781765.980000000447035
FS( 7 ),1939001.599999999860302,1981082.970000000204891,1979608.790000000037253,2015216.010000000009313,1875494.899999999674037,9790404.269999999552965
FS( 8 ),1959392.000000000000000,1991145.220000000204891,2011436.340000000083819,2067936.270000000018626,1867655.689999999711290,9897565.519999999552965
FS( 9 ),1938828.800000000046566,1985912.850000000325963,1977558.879999999888241,2071150.920000000158325,1853053.239999999757856,9826504.689999999478459
FS( 10 ),1911526.400000000139698,1945261.360000000102445,1950586.379999999888241,1988212.949999999953434,1843523.219999999739230,9639110.310000000521541
FS( 11 ),1891308.800000000046566,1944858.870000000111759,1938934.260000000242144,1982212.270000000018626,1833839.489999999757856,9591153.689999999478459
FS( 12 ),1887334.400000000139698,1927954.290000000037253,1933000.310000000055879,1966567.640000000130385,1831687.549999999580905,9546544.189999999478459
FS( 13 ),1848972.800000000046566,1913464.650000000139698,1873876.590000000083819,1949851.460000000195578,1803404.909999999683350,9389570.410000000149012
FS( 14 ),1800934.400000000139698,1914672.120000000111759,1878947.420000000158325,1949637.150000000139698,1784037.449999999720603,9328228.540000000968575
FS( 15 ),1734060.800000000046566,1849871.230000000214204,1837193.989999999990687,1872271.239999999990687,1731314.919999999692664,9024712.179999999701977
FS( 16 ),1828755.199999999953434,1889315.250000000000000,1877652.739999999990687,1930777.870000000111759,1801099.259999999776483,9327600.320000000298023
