代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11340785.679999999701977
真實報酬,1340785.679999999701977

夏普值報酬,0.125378568000000
夏普值風險,0.049404768479608
夏普值,2.537782725401314

二次趨勢線,163.881590037045356 x^2 + -10359.272891504877407 x + 10000000.000000000000000
二次加權預期報酬,17719.106201508890081
風險,228300.840100240398897
二次加權趨勢值,0.077612969771504
一次趨勢線,5434.576221481655921 x + 10000000.000000000000000
一次預期報酬,5434.576221481655921
一次風險,379475.062668593542185
一次趨勢值,0.014321300017092
找到最佳解世代,1548
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CSCO[4](1),MCD[15](3),WMT[28](2),
Stock#,CSCO[4](1),MCD[15](3),WMT[28](2),
張數,203500,41162,61387,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,3.000000000000000,34.239999999757856,18.900000000372529,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3306878.000000000000000,3323865.739999999757856,3287292.750000000000000,9918037.490000000223517
FS( 3 ),3258038.000000000465661,3315221.720000000204891,3294045.320000000298023,9867306.040000000968575
FS( 4 ),3253968.000000000000000,3321807.639999999664724,3300184.020000000018626,9875960.660000000149012
FS( 5 ),3156288.000000000000000,3339918.919999999925494,3304481.110000000335276,9800689.030000001192093
FS( 6 ),3113553.000000000000000,3340330.540000000037253,3295886.930000000167638,9749771.470000000670552
FS( 7 ),3115588.000000000000000,3344858.359999999869615,3291589.840000000316650,9752037.199999999254942
FS( 8 ),3076923.000000000000000,3307812.559999999590218,3236341.540000000502914,9621078.099999999627471
FS( 9 ),3064713.000000000000000,3323042.500000000000000,3230202.840000000316650,9617959.339999999850988
FS( 10 ),3068783.000000000000000,3353502.379999999888241,3248005.070000000298023,9670291.449999999254942
FS( 11 ),3019943.000000000000000,3344035.119999999646097,3211786.740000000223517,9575765.859999999403954
FS( 12 ),3062678.000000000000000,3367497.459999999962747,3243094.110000000335276,9673270.570000000298023
FS( 13 ),3046398.000000000000000,3396722.479999999515712,3242480.240000000223517,9685601.719999998807907
FS( 14 ),3080993.000000000000000,3403720.019999999552965,3255985.380000000353903,9740699.400000000372529
FS( 15 ),3156288.000000000000000,3408247.839999999850988,3271332.130000000353903,9835868.970000000670552
FS( 16 ),3125763.000000000000000,3402073.540000000037253,3254143.770000000018626,9781981.310000000521541
FS( 17 ),3148148.000000000000000,3387255.220000000204891,3271332.130000000353903,9806736.350000001490116
FS( 18 ),3038258.000000000000000,3368732.319999999832362,3217311.570000000298023,9624302.890000000596046
FS( 19 ),3062678.000000000000000,3388490.079999999608845,3209945.130000000353903,9661114.210000000894070
FS( 20 ),3078958.000000000000000,3472048.939999999478459,3224678.010000000242144,9775685.949999999254942
FS( 21 ),3121693.000000000000000,3481104.579999999608845,3231430.580000000540167,9834229.160000000149012
FS( 22 ),3176638.000000000000000,3470814.079999999608845,3262124.080000000540167,9909577.160000000149012
FS( 23 ),3227513.000000000000000,3525559.540000000037253,3284837.270000000018626,10037910.810000000521541
