代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11763030.149999998509884
真實報酬,1763030.149999998509884

夏普值報酬,0.167603015000000
夏普值風險,0.051793535282546
夏普值,3.235983295708337

二次趨勢線,34.138215170808117 x^2 + 10353.743493610927544 x + 10000000.000000000000000
二次加權預期報酬,16248.275313103793451
風險,119421.594422575333738
二次加權趨勢值,0.136058100644754
一次趨勢線,13669.368214157932016 x + 10000000.000000000000000
一次預期報酬,13669.368214157932016
一次風險,135550.474192432739073
一次趨勢值,0.100843381740977
找到最佳解世代,1706
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](1),HD[9](11),TRV[22](15),WMT[28](2),
Stock#,DIS[6](1),HD[9](11),TRV[22](15),WMT[28](2),
張數,58976,52675,42793,42502,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,7.359999999869615,44.500000000000000,32.939999999944121,32.359999999869615,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2498230.719999999739230,2497366.250000000000000,2482454.869999999646097,2508075.379999999888241,9986127.219999998807907
FS( 3 ),2518282.560000000055879,2496312.750000000000000,2503423.439999999944121,2524651.159999999683350,10042669.910000000149012
FS( 4 ),2476999.359999999869615,2443637.750000000000000,2438806.010000000242144,2506375.299999999813735,9865818.419999998062849
FS( 5 ),2462255.359999999869615,2496312.750000000000000,2433670.849999999627471,2544202.080000000074506,9936441.039999999105930
FS( 6 ),2478178.879999999888241,2518963.000000000000000,2443513.240000000223517,2540376.899999999906868,9981032.019999999552965
FS( 7 ),2491153.600000000093132,2533712.000000000000000,2465337.669999999925494,2553552.520000000018626,10043755.789999999105930
FS( 8 ),2497051.200000000186265,2559522.750000000000000,2465337.669999999925494,2579053.719999999739230,10100965.339999999850988
FS( 9 ),2595541.119999999646097,2588494.000000000000000,2499572.069999999832362,2592654.359999999869615,10276261.549999998882413
FS( 10 ),2564283.839999999850988,2605876.750000000000000,2522680.290000000037253,2596054.520000000018626,10288895.400000000372529
FS( 11 ),2563694.079999999608845,2591654.500000000000000,2528243.379999999888241,2602429.819999999832362,10286021.779999999329448
FS( 12 ),2547180.799999999813735,2583753.250000000000000,2533378.540000000037253,2585854.040000000037253,10250166.629999998956919
FS( 13 ),2561924.799999999813735,2572164.750000000000000,2529955.099999999627471,2581603.839999999850988,10245648.489999998360872
FS( 14 ),2550129.600000000093132,2601136.000000000000000,2531666.819999999832362,2575653.560000000055879,10258585.980000000447035
FS( 15 ),2551898.879999999888241,2622732.750000000000000,2503851.369999999646097,2573953.479999999981374,10252436.480000000447035
FS( 16 ),2553078.399999999906868,2616938.500000000000000,2480743.149999999906868,2577778.659999999683350,10228538.710000000894070
FS( 17 ),2574309.759999999776483,2609564.000000000000000,2490585.540000000037253,2582028.859999999869615,10256488.160000000149012
FS( 18 ),2617362.240000000223517,2640642.250000000000000,2518400.990000000223517,2601154.759999999776483,10377560.240000000223517
FS( 19 ),2603797.759999999776483,2635901.500000000000000,2502567.579999999608845,2596479.540000000037253,10338746.379999998956919
FS( 20 ),2566053.119999999646097,2629053.750000000000000,2514977.550000000279397,2600729.739999999757856,10310814.160000000149012
FS( 21 ),2536565.119999999646097,2629053.750000000000000,2509842.389999999664724,2585004.000000000000000,10260465.259999997913837
FS( 22 ),2581976.640000000130385,2650123.750000000000000,2533378.540000000037253,2601154.759999999776483,10366633.690000001341105
FS( 23 ),2585515.200000000186265,2633267.750000000000000,2538941.629999999888241,2607955.080000000074506,10365679.660000000149012
FS( 24 ),2553078.399999999906868,2633794.500000000000000,2536801.979999999981374,2577778.659999999683350,10301453.540000000968575
FS( 25 ),2531847.040000000037253,2625893.250000000000000,2534234.399999999906868,2561202.879999999888241,10253177.570000000298023
FS( 26 ),2540693.439999999944121,2666453.000000000000000,2519684.780000000260770,2578628.699999999720603,10305459.919999999925494
FS( 27 ),2483486.719999999739230,2664346.000000000000000,2484166.589999999850988,2555677.620000000111759,10187676.929999999701977
FS( 28 ),2417433.600000000093132,2600082.500000000000000,2471328.689999999944121,2547177.219999999739230,10036022.009999997913837
FS( 29 ),2439844.479999999515712,2620625.750000000000000,2489301.750000000000000,2541651.959999999962747,10091423.939999999478459
FS( 30 ),2485845.759999999776483,2666979.750000000000000,2529099.240000000223517,2556102.639999999664724,10238027.390000000596046
FS( 31 ),2468152.959999999962747,2684362.500000000000000,2487162.099999999627471,2540376.899999999906868,10180054.459999999031425
FS( 32 ),2456947.519999999552965,2722815.250000000000000,2531666.819999999832362,2574803.520000000018626,10286233.109999999403954
FS( 33 ),2517103.040000000037253,2740724.750000000000000,2567185.010000000242144,2629631.099999999627471,10454643.900000000372529
FS( 34 ),2505897.600000000093132,2729136.250000000000000,2544932.649999999906868,2637706.479999999981374,10417672.980000000447035
FS( 35 ),2481717.439999999944121,2715967.500000000000000,2640361.040000000037253,2624530.859999999869615,10462576.839999999850988
FS( 36 ),2497640.959999999962747,2710700.000000000000000,2685293.689999999944121,2654282.259999999776483,10547916.910000000149012
FS( 37 ),2477589.119999999646097,2691737.000000000000000,2692140.569999999832362,2530601.439999999944121,10392068.129999998956919
FS( 38 ),2487615.040000000037253,2698584.750000000000000,2711825.349999999627471,2455372.899999999906868,10353398.039999999105930
FS( 39 ),2518282.560000000055879,2734403.750000000000000,2729370.479999999981374,2437947.080000000074506,10420003.870000001043081
FS( 40 ),2557206.719999999739230,2732296.750000000000000,2771735.549999999813735,2505525.259999999776483,10566764.279999999329448
FS( 41 ),2556616.959999999962747,2736510.750000000000000,2739212.870000000111759,2508925.419999999925494,10541266.000000000000000
FS( 42 ),2542462.719999999739230,2728082.750000000000000,2752478.699999999720603,2503825.179999999701977,10526849.349999999627471
FS( 43 ),2582566.399999999906868,2756000.500000000000000,2764460.739999999757856,2510625.500000000000000,10613653.140000000596046
FS( 44 ),2567822.399999999906868,2776543.750000000000000,2770451.759999999776483,2508075.379999999888241,10622893.289999999105930
FS( 45 ),2583745.919999999925494,2763901.750000000000000,2770879.689999999944121,2507225.339999999850988,10625752.699999999254942
FS( 46 ),2531847.040000000037253,2737037.500000000000000,2760181.439999999944121,2494899.759999999776483,10523965.740000000223517
FS( 47 ),2584335.679999999701977,2707012.750000000000000,2764032.810000000055879,2515725.739999999757856,10571106.980000000447035
FS( 48 ),2612644.159999999683350,2666453.000000000000000,2755474.209999999962747,2509775.459999999962747,10544346.830000000074506
FS( 49 ),2655106.879999999888241,2639588.750000000000000,2735361.500000000000000,2508925.419999999925494,10538982.550000000745058
FS( 50 ),2670440.640000000130385,2666453.000000000000000,2766172.459999999962747,2515725.739999999757856,10618791.839999999850988
FS( 51 ),2686953.919999999925494,2651704.000000000000000,2765316.600000000093132,2525501.199999999720603,10629475.719999998807907
FS( 52 ),2663953.279999999795109,2627473.500000000000000,2759325.580000000074506,2510625.500000000000000,10561377.859999999403954
FS( 53 ),2654517.119999999646097,2563736.750000000000000,2745203.890000000130385,2522526.060000000055879,10485983.820000000298023
FS( 54 ),2658645.439999999944121,2569004.250000000000000,2722095.669999999925494,2515725.739999999757856,10465471.099999999627471
FS( 55 ),2614413.439999999944121,2476823.000000000000000,2683154.040000000037253,2621555.719999999739230,10395946.199999999254942
FS( 56 ),2583745.919999999925494,2478403.250000000000000,2660901.679999999701977,2653432.219999999739230,10376483.070000000298023
FS( 57 ),2617952.000000000000000,2507901.250000000000000,2683154.040000000037253,2679358.439999999944121,10488365.730000000447035
FS( 58 ),2617952.000000000000000,2542140.000000000000000,2688289.200000000186265,2708684.819999999832362,10557066.019999999552965
FS( 59 ),2617952.000000000000000,2542140.000000000000000,2688289.200000000186265,2708684.819999999832362,10557066.019999999552965
FS( 60 ),2620900.799999999813735,2618518.750000000000000,2704122.609999999869615,2765637.499999999534339,10709179.660000000149012
FS( 61 ),2624439.359999999869615,2604296.500000000000000,2678874.740000000223517,2775837.979999999981374,10683448.580000000074506
FS( 62 ),2682235.839999999850988,2622206.000000000000000,2690856.780000000260770,2791563.720000000204891,10786862.339999999850988
FS( 63 ),2665722.560000000055879,2618518.750000000000000,2648491.709999999962747,2781363.239999999757856,10714096.259999999776483
FS( 64 ),2695800.319999999832362,2599029.000000000000000,2674167.510000000242144,2797513.999999999534339,10766510.830000000074506
FS( 65 ),2618541.759999999776483,2526337.500000000000000,2592432.879999999888241,2786038.459999999962747,10523350.599999999627471
FS( 66 ),2619131.519999999552965,2568477.500000000000000,2583874.280000000260770,2804739.339999999850988,10576222.640000000596046
FS( 67 ),2644491.200000000186265,2576905.500000000000000,2601847.339999999850988,2783913.359999999869615,10607157.400000000372529
FS( 68 ),2685184.640000000130385,2665399.500000000000000,2637793.459999999962747,2802189.220000000204891,10790566.820000000298023
FS( 69 ),2691082.240000000223517,2699111.500000000000000,2649347.569999999832362,2799639.100000000093132,10839180.410000000149012
FS( 70 ),2727057.600000000093132,2757580.750000000000000,2659189.959999999962747,2899518.799999999813735,11043347.109999999403954
FS( 71 ),2701108.159999999683350,2704905.750000000000000,2634370.020000000018626,2870192.419999999925494,10910576.349999999627471
