代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12496364.480000000447035
真實報酬,2496364.480000000447035

夏普值報酬,0.240936448000000
夏普值風險,0.071435670591133
夏普值,3.372775057702140

二次趨勢線,100.078667487675403 x^2 + 9712.480958398144139 x + 10000000.000000000000000
二次加權預期報酬,26458.977984669159923
風險,105288.383669286879012
二次加權趨勢值,0.251300068085169
一次趨勢線,19132.236015754122491 x + 10000000.000000000000000
一次預期報酬,19132.236015754122491
一次風險,205580.527605320588918
一次趨勢值,0.093064436785982
找到最佳解世代,2132
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),CVX[5](4),INTC[11](1),VZ[26](5),
Stock#,AAPL[0](2),CVX[5](4),INTC[11](1),VZ[26](5),
張數,34891,22494,104384,53867,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,59.849999999627471,16.839999999850988,3.200000000186265,32.530000000260770,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2535937.729999999981374,2493026.859999999869615,2486430.080000000074506,2522085.470000000204891,10037480.140000000596046
FS( 3 ),2555127.779999999795109,2463559.719999999739230,2455114.880000000353903,2515082.760000000242144,9988885.140000000596046
FS( 4 ),2554778.869999999646097,2502924.219999999739230,2504175.359999999869615,2514544.090000000316650,10076422.539999999105930
FS( 5 ),2590367.689999999478459,2520469.539999999571592,2527139.840000000316650,2521546.800000000279397,10159523.869999999180436
FS( 6 ),2636772.719999999273568,2512371.699999999720603,2535490.560000000055879,2526933.500000000000000,10211568.479999998584390
FS( 7 ),2671663.719999999273568,2554885.359999999869615,2554279.680000000167638,2543093.600000000093132,10323922.359999999403954
FS( 8 ),2671314.809999999590218,2520019.659999999683350,2562630.400000000372529,2551712.320000000298023,10305677.189999999478459
FS( 9 ),2713881.829999999608845,2530816.779999999795109,2578288.000000000000000,2548480.300000000279397,10371466.910000000149012
FS( 10 ),2711439.459999999497086,2552635.959999999962747,2584551.040000000502914,2505386.700000000186265,10354013.160000000149012
FS( 11 ),2721557.849999999627471,2535315.579999999608845,2584551.040000000502914,2476837.189999999944121,10318261.660000000149012
FS( 12 ),2678641.919999999459833,2555335.239999999757856,2557411.200000000186265,2506464.040000000502914,10297852.400000000372529
FS( 13 ),2647588.929999999236315,2577829.239999999757856,2582463.359999999869615,2592112.570000000298023,10399994.099999999627471
FS( 14 ),2618280.489999999757856,2534640.759999999776483,2549060.480000000447035,2546325.620000000577420,10248307.350000001490116
FS( 15 ),2629445.609999999403954,2567706.939999999944121,2570981.120000000111759,2490303.939999999944121,10258437.609999999403954
FS( 16 ),2602230.629999999422580,2586152.020000000018626,2569937.280000000260770,2493535.960000000428408,10251855.890000000596046
FS( 17 ),2578853.659999999683350,2598298.779999999795109,2588726.400000000372529,2496767.980000000447035,10262646.820000000298023
FS( 18 ),2630143.429999999236315,2602347.699999999720603,2584551.040000000502914,2558715.030000000260770,10375757.199999999254942
FS( 19 ),2623165.229999999981374,2594249.859999999869615,2584551.040000000502914,2563024.390000000130385,10364990.520000001415610
FS( 20 ),2630492.339999999850988,2583227.799999999813735,2557411.200000000186265,2548480.300000000279397,10319611.640000000596046
FS( 21 ),2647937.839999999850988,2594024.919999999925494,2568893.439999999944121,2580261.830000000074506,10391118.029999999329448
FS( 22 ),2653520.399999999441206,2574005.259999999776483,2557411.200000000186265,2552250.990000000223517,10337187.849999999627471
FS( 23 ),2645495.469999999273568,2583452.739999999757856,2570981.120000000111759,2556560.350000000093132,10356489.679999999701977
FS( 24 ),2644099.829999999608845,2588626.359999999869615,2572024.960000000428408,2539861.580000000074506,10344612.730000000447035
FS( 25 ),2646542.199999999254942,2605721.799999999813735,2592901.760000000242144,2533397.540000000502914,10378563.300000000745058
FS( 26 ),2672012.629999999422580,2575804.779999999795109,2581419.520000000018626,2515621.430000000633299,10344858.359999999403954
FS( 27 ),2674803.909999999683350,2601447.939999999944121,2584551.040000000502914,2497306.650000000372529,10358109.540000000968575
FS( 28 ),2645146.559999999590218,2574455.140000000130385,2564718.080000000074506,2479530.540000000502914,10263850.320000000298023
FS( 29 ),2615489.209999999497086,2566582.239999999757856,2557411.200000000186265,2482223.890000000130385,10221706.539999999105930
FS( 30 ),2625607.599999999627471,2588401.419999999925494,2578288.000000000000000,2494613.300000000279397,10286910.320000000298023
FS( 31 ),2648635.659999999683350,2614719.399999999906868,2590814.080000000074506,2515621.430000000633299,10369790.570000000298023
FS( 32 ),2647937.839999999850988,2591325.640000000130385,2611690.880000000353903,2497306.650000000372529,10348261.010000001639128
FS( 33 ),2635377.079999999608845,2598298.779999999795109,2654488.320000000298023,2543093.600000000093132,10431257.779999999329448
FS( 34 ),2655962.770000000018626,2600998.059999999590218,2627348.480000000447035,2526933.500000000000000,10411242.810000000521541
FS( 35 ),2687713.579999999608845,2605946.739999999757856,2622129.280000000260770,2532320.200000000186265,10448109.800000000745058
FS( 36 ),2716673.109999999403954,2633839.299999999813735,2657619.840000000316650,2543632.270000000018626,10551764.519999999552965
FS( 37 ),2690504.859999999403954,2647785.579999999608845,2649269.120000000111759,2532320.200000000186265,10519879.759999999776483
FS( 38 ),2678990.829999999608845,2646885.819999999832362,2641962.240000000223517,2568949.760000000242144,10536788.650000000372529
FS( 39 ),2675850.639999999664724,2665555.839999999850988,2674321.280000000260770,2554405.670000000391155,10570133.429999999701977
FS( 40 ),2675501.729999999981374,2674778.379999999888241,2694154.240000000223517,2562485.720000000204891,10606920.070000000298023
FS( 41 ),2699925.429999999236315,2676802.839999999850988,2712943.359999999869615,2572181.780000000260770,10661853.410000000149012
FS( 42 ),2704461.259999999776483,2684675.739999999757856,2702504.960000000428408,2575952.470000000204891,10667594.430000001564622
FS( 43 ),2685620.119999999646097,2677702.600000000093132,2756784.640000000130385,2592112.570000000298023,10712219.929999999701977
FS( 44 ),2650729.119999999646097,2672304.039999999571592,2730688.640000000130385,2587803.210000000428408,10641525.009999999776483
FS( 45 ),2609208.829999999608845,2639462.799999999813735,2765135.359999999869615,2592112.570000000298023,10605919.559999998658895
FS( 46 ),2609208.829999999608845,2649810.039999999571592,2808976.640000000130385,2596960.600000000093132,10664956.109999999403954
FS( 47 ),2643402.009999999776483,2679052.239999999757856,2816283.520000000018626,2584571.189999999944121,10723308.959999999031425
FS( 48 ),2609208.829999999608845,2624841.699999999720603,2758872.320000000298023,2557099.020000000018626,10550021.869999999180436
FS( 49 ),2590018.779999999795109,2632489.659999999683350,2732776.320000000298023,2535552.220000000204891,10490836.980000000447035
FS( 50 ),2600486.079999999608845,2670054.640000000130385,2772442.240000000223517,2546325.620000000577420,10589308.580000000074506
FS( 51 ),2581644.939999999478459,2706045.039999999571592,2794362.880000000353903,2527472.170000000391155,10609525.029999999329448
FS( 52 ),2586878.589999999850988,2740460.859999999869615,2811064.320000000298023,2537168.230000000447035,10675572.000000000000000
FS( 53 ),2616535.939999999478459,2782074.759999999776483,2822546.560000000055879,2564101.730000000447035,10785258.990000000223517
FS( 54 ),2647588.929999999236315,2794671.399999999906868,2813152.000000000000000,2584571.189999999944121,10839983.519999999552965
FS( 55 ),2650380.209999999497086,2789272.839999999850988,2801669.760000000242144,2581339.170000000391155,10822661.979999998584390
FS( 56 ),2615489.209999999497086,2804793.699999999720603,2792275.200000000186265,2554944.340000000316650,10767502.449999999254942
FS( 57 ),2830068.859999999403954,2796021.039999999571592,2792275.200000000186265,2492997.290000000502914,10911362.389999998733401
FS( 58 ),2851003.459999999497086,2789047.899999999906868,2741127.040000000502914,2474682.510000000242144,10855860.910000000149012
FS( 59 ),2961259.020000000018626,2828187.459999999962747,2748433.919999999925494,2510234.730000000447035,11048115.130000000819564
FS( 60 ),2952536.270000000018626,2833586.020000000018626,2764091.520000000018626,2519392.120000000577420,11069605.930000001564622
FS( 61 ),2941371.149999999441206,2823463.719999999739230,2786012.160000000149012,2517237.439999999944121,11068084.469999998807907
FS( 62 ),2948349.349999999627471,2810417.199999999720603,2760960.000000000000000,2543632.270000000018626,11063358.819999998435378
FS( 63 ),2953583.000000000000000,2805468.520000000018626,2756784.640000000130385,2538245.570000000298023,11054081.730000000447035
FS( 64 ),2995452.199999999254942,2819864.679999999701977,2731732.480000000447035,2552789.660000000149012,11099839.019999999552965
FS( 65 ),2963003.569999999832362,2811092.020000000018626,2734864.000000000000000,2557099.020000000018626,11066058.609999999403954
