代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12507356.739500001000
真實報酬,2507356.739500001100

夏普值報酬,0.242035673950
夏普值風險,0.073643528943
夏普值,3.286584407691

預期報酬,11092.115238898787
風險,299575.590487282430
起點值,0.037026098224
找到最佳解世代,3170
找到最佳解實驗#,7
找到最佳解次數,5

投資組合檔數,2
2347(18),4904(45),
Stock#,2347(18),4904(45),
張數,107,149,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,8837.714500000933,4371.359000000933,
FS( 1 ),4992897.714499999800,4992891.359000000200,9985789.073499999900
FS( 2 ),4984691.697250000200,4970817.158000000800,9955508.855250001000
FS( 3 ),4999605.410750000700,4944115.836500001100,9943721.247250001900
FS( 4 ),4949537.944000000100,4944115.836500001100,9893653.780500002200
FS( 5 ),4871773.580750000700,5028670.021250000200,9900443.602000001800
FS( 6 ),4928232.639000000400,5065755.190000000400,9993987.828999999900
FS( 7 ),4978300.105750000100,5059821.563000001000,10038121.668750001000
FS( 8 ),4914384.190750000100,4997518.479500000400,9911902.670250000400
FS( 9 ),4928232.639000000400,5092456.511500001900,10020689.150500003000
FS( 10 ),5049672.877500001300,5086522.884500001600,10136195.762000002000
FS( 11 ),5092283.487500000700,5133991.900500001400,10226275.388000002000
FS( 12 ),5127437.240749999900,5128058.273500001100,10255495.514250001000
FS( 13 ),5092283.487500000700,5156243.001750000800,10248526.489250001000
FS( 14 ),5170047.850750001100,5245247.406750001000,10415295.257500002000
FS( 15 ),5363926.126250000700,5222996.305500000700,10586922.431750001000
FS( 16 ),5342620.821250001000,5206678.831250000700,10549299.652500002000
FS( 17 ),5312793.394250000800,5089489.698000000800,10402283.092250001000
FS( 18 ),5291488.089250001100,5117674.426250001400,10409162.515500002000
FS( 19 ),5320250.251000000200,5117674.426250001400,10437924.677250002000
FS( 20 ),5569522.319500001100,5334251.811750001300,10903774.131250001000
FS( 21 ),5437429.428500000400,5283815.982250001300,10721245.410750002000
FS( 22 ),5591892.889750000100,5267498.508000000400,10859391.397750001000
FS( 23 ),5665396.192000000700,5271948.728250001600,10937344.920250002000
FS( 24 ),5672853.048750001000,5239313.779750001600,10912166.828500003000
FS( 25 ),5474713.712250000800,5322384.557750001500,10797098.270000003000
FS( 26 ),5107197.201000000400,5044987.495500000200,10152184.696500000000
FS( 27 ),4997474.880250000400,4852144.618000000700,9849619.498250000200
FS( 28 ),5114654.057750000600,4807642.415500002000,9922296.473250001700
FS( 29 ),5165786.789750000500,4907030.667750001900,10072817.457500003000
FS( 30 ),5210527.930250000200,4935215.396000000600,10145743.326250002000
FS( 31 ),5284031.232500000900,4979717.598500001200,10263748.831000002000
FS( 32 ),5393753.553249999900,5079105.850750001100,10472859.404000001000
FS( 33 ),5496019.017250000500,5067238.596750001400,10563257.614000002000
FS( 34 ),5393753.553249999900,5012352.547000001200,10406106.100250002000
FS( 35 ),5444886.285250000700,5012352.547000001200,10457238.832250003000
FS( 36 ),5151938.341500001000,4973783.971500000900,10125722.313000001000
FS( 37 ),4938885.291500001200,4957466.497250000900,9896351.788750002200
FS( 38 ),5188157.360000001300,4939665.616250001800,10127822.976250004000
FS( 39 ),5254203.805500000700,4984167.818750001500,10238371.624250002000
FS( 40 ),5217984.787000000500,5172560.476000001700,10390545.263000002000
FS( 41 ),5276574.375750001500,5133991.900500001400,10410566.276250003000
FS( 42 ),5312793.394250000800,5133991.900500001400,10446785.294750001000
FS( 43 ),5378839.839750000300,5067238.596750001400,10446078.436500002000
FS( 44 ),5401210.410000001100,5145859.154500000200,10547069.564500000000
FS( 45 ),5386296.696500000500,5156243.001750000800,10542539.698250001000
FS( 46 ),5371382.983000000900,5101356.952000001400,10472739.935000002000
FS( 47 ),5305336.537500000600,5056854.749500001800,10362191.287000002000
FS( 48 ),5356469.269500001300,4990101.445750000900,10346570.715250002000
FS( 49 ),5437429.428500000400,5267498.508000000400,10704927.936500002000
FS( 50 ),5363926.126250000700,5222996.305500000700,10586922.431750001000
FS( 51 ),5356469.269500001300,5245247.406750001000,10601716.676250003000
FS( 52 ),5254203.805500000700,5044987.495500000200,10299191.301000001000
FS( 53 ),5099740.344250001000,5123608.053250001700,10223348.397500003000
FS( 54 ),5165786.789750000500,5249697.627000001300,10415484.416750003000
FS( 55 ),5291488.089250001100,5249697.627000001300,10541185.716250002000
FS( 56 ),5386296.696500000500,5095423.325000001100,10481720.021500003000
FS( 57 ),5408667.266750000400,5083556.071000000500,10492223.337750001000
FS( 58 ),5437429.428500000400,5083556.071000000500,10520985.499500001000
FS( 59 ),5217984.787000000500,5022736.394250001800,10240721.181250002000
FS( 60 ),4857925.132500001200,4979717.598500001200,9837642.731000002500
FS( 61 ),4520236.048250000900,5200745.204250001300,9720981.252500001300
FS( 62 ),4836619.827500000600,5200745.204250001300,10037365.031750001000
FS( 63 ),4923971.578000001600,5206678.831250000700,10130650.409250002000
FS( 64 ),4880295.702750000200,5117674.426250001400,9997970.129000000700
FS( 65 ),4902666.273000000000,5044987.495500000200,9947653.768500000200
FS( 66 ),4806792.400500000500,5156243.001750000800,9963035.402250001200
FS( 67 ),4938885.291500001200,5271948.728250001600,10210834.019750003000
FS( 68 ),4931428.434750000900,5222996.305500000700,10154424.740250003000
FS( 69 ),4982561.166750000800,5133991.900500001400,10116553.067250002000
FS( 70 ),5070978.182500001000,5166626.849000001300,10237605.031500002000
FS( 71 ),5335163.964500000700,5133991.900500001400,10469155.865000002000
FS( 72 ),5261660.662250001000,5101356.952000001400,10363017.614250002000
FS( 73 ),5371382.983000000900,5050921.122500001500,10422304.105500001000
FS( 74 ),5297879.680750000300,5105807.172250000800,10403686.853000000000
FS( 75 ),5363926.126250000700,5133991.900500001400,10497918.026750002000
FS( 76 ),5291488.089250001100,5184427.730000000400,10475915.819250003000
FS( 77 ),5305336.537500000600,5267498.508000000400,10572835.045500001000
FS( 78 ),5217984.787000000500,5206678.831250000700,10424663.618250001000
FS( 79 ),5173243.646500000700,5334251.811750001300,10507495.458250001000
FS( 80 ),5350077.678000001200,5366886.760250000300,10716964.438250002000
FS( 81 ),5408667.266750000400,5377270.607500000900,10785937.874250002000
FS( 82 ),5371382.983000000900,5427706.437000001800,10799089.420000002000
FS( 83 ),5408667.266750000400,5427706.437000001800,10836373.703750003000
FS( 84 ),5467256.855500000500,5395071.488500001800,10862328.344000002000
FS( 85 ),5444886.285250000700,5482592.486750001100,10927478.772000002000
FS( 86 ),5503475.873999999800,5632416.568500000100,11135892.442499999000
FS( 87 ),5488562.160500000200,5765923.176000001800,11254485.336500002000
FS( 88 ),5422515.715000000800,5964699.680500000700,11387215.395500001000
FS( 89 ),5342620.821250001000,5954315.833250001100,11296936.654500002000
FS( 90 ),5386296.696500000500,6108590.135250000300,11494886.831750002000
FS( 91 ),5327707.107750000400,6296982.792500000400,11624689.900250001000
FS( 92 ),5401210.410000001100,6120457.389250000900,11521667.799250003000
FS( 93 ),5210527.930250000200,6075955.186750001300,11286483.117000002000
FS( 94 ),5159395.198250001300,5932064.732000000800,11091459.930250002000
FS( 95 ),5231833.235250000800,6021069.137000002000,11252902.372250002000
FS( 96 ),5210527.930250000200,6130841.236500001500,11341369.166750003000
FS( 97 ),5144481.484750000800,6252480.590000000800,11396962.074750002000
FS( 98 ),5305336.537500000600,6507626.551000001800,11812963.088500002000
FS( 99 ),5225441.643750000700,6308850.046500001100,11534291.690250002000
FS( 100 ),5137024.628000001400,6098206.288000001600,11235230.916000003000
FS( 101 ),5048607.612250001200,6209461.794250001200,11258069.406500002000
FS( 102 ),5056064.469000000500,6209461.794250001200,11265526.263250001000
FS( 103 ),5041150.755500000900,6408238.298750001000,11449389.054250002000
FS( 104 ),4997474.880250000400,6385987.197500001600,11383462.077750001000
FS( 105 ),5144481.484750000800,6541744.906250000900,11686226.391000003000
FS( 106 ),5239290.092000001100,6452740.501250001600,11692030.593250003000
FS( 107 ),5217984.787000000500,6319233.893750000700,11537218.680750001000
FS( 108 ),5320250.251000000200,6452740.501250001600,11772990.752250001000
FS( 109 ),5327707.107750000400,6563996.007500001200,11891703.115250003000
FS( 110 ),5327707.107750000400,6563996.007500001200,11891703.115250003000
FS( 111 ),5217984.787000000500,6430489.400000001300,11648474.187000003000
FS( 112 ),5284031.232500000900,6529877.652250001200,11813908.884750001000
FS( 113 ),5320250.251000000200,6596630.956000000200,11916881.207000000000
FS( 114 ),5305336.537500000600,6596630.956000000200,11901967.493500002000
FS( 115 ),5305336.537500000600,6519493.805000000600,11824830.342500001000
FS( 116 ),5137024.628000001400,6541744.906250000900,11678769.534250002000
FS( 117 ),5144481.484750000800,6519493.805000000600,11663975.289750002000
FS( 118 ),5144481.484750000800,6497242.703750001300,11641724.188500002000
FS( 119 ),5099740.344250001000,6440873.247250000900,11540613.591500003000
FS( 120 ),5107197.201000000400,6075955.186750001300,11183152.387750002000
FS( 121 ),5093348.752750000900,6021069.137000002000,11114417.889750004000
FS( 122 ),5203071.073500000900,6197594.540250001500,11400665.613750003000
FS( 123 ),5231833.235250000800,6363736.096250000400,11595569.331500001000
FS( 124 ),5320250.251000000200,6319233.893750000700,11639484.144750001000
FS( 125 ),5335163.964500000700,6264347.844000000500,11599511.808500001000
FS( 126 ),5356469.269500001300,6286598.945250001700,11643068.214750003000
FS( 127 ),5327707.107750000400,6319233.893750000700,11646941.001500001000
FS( 128 ),5342620.821250001000,6341484.995000001000,11684105.816250002000
FS( 129 ),5371382.983000000900,6308850.046500001100,11680233.029500002000
FS( 130 ),5371382.983000000900,6296982.792500000400,11668365.775500001000
FS( 131 ),5401210.410000001100,6296982.792500000400,11698193.202500001000
FS( 132 ),5422515.715000000800,6319233.893750000700,11741749.608750001000
FS( 133 ),5444886.285250000700,6308850.046500001100,11753736.331750002000
FS( 134 ),5459799.998750001200,6252480.590000000800,11712280.588750001000
FS( 135 ),5459799.998750001200,6252480.590000000800,11712280.588750001000
FS( 136 ),5482170.569000000100,6230229.488750001400,11712400.057750002000
FS( 137 ),5482170.569000000100,6043320.238250001300,11525490.807250001000
FS( 138 ),5548217.014500000500,5986950.781750001000,11535167.796250001000
FS( 139 ),5606806.603249999700,6064087.932750001500,11670894.536000002000
FS( 140 ),5510932.730750000100,6230229.488750001400,11741162.219500002000
FS( 141 ),5510932.730750000100,6086339.034000000900,11597271.764750000000
FS( 142 ),5554608.606000000600,6130841.236500001500,11685449.842500001000
FS( 143 ),5474713.712250000800,6286598.945250001700,11761312.657500003000
FS( 144 ),5363926.126250000700,6319233.893750000700,11683160.020000001000
FS( 145 ),5284031.232500000900,6274731.691250002000,11558762.923750002000
FS( 146 ),5217984.787000000500,6264347.844000000500,11482332.631000001000
FS( 147 ),5350077.678000001200,6319233.893750000700,11669311.571750002000
FS( 148 ),5356469.269500001300,6286598.945250001700,11643068.214750003000
FS( 149 ),5291488.089250001100,6452740.501250001600,11744228.590500003000
FS( 150 ),5269117.519000000300,6341484.995000001000,11610602.514000002000
FS( 151 ),5335163.964500000700,6363736.096250000400,11698900.060750000000
FS( 152 ),5401210.410000001100,6353352.249000001700,11754562.659000002000
FS( 153 ),5342620.821250001000,6296982.792500000400,11639603.613750001000
FS( 154 ),5305336.537500000600,6242096.742750001100,11547433.280250002000
FS( 155 ),5378839.839750000300,6187210.693000000900,11566050.532750001000
FS( 156 ),5386296.696500000500,6440873.247250000900,11827169.943750001000
FS( 157 ),5356469.269500001300,6629265.904500000200,11985735.174000002000
FS( 158 ),5291488.089250001100,6408238.298750001000,11699726.388000002000
FS( 159 ),5320250.251000000200,6375603.350250001100,11695853.601250000000
FS( 160 ),5297879.680750000300,6363736.096250000400,11661615.777000001000
FS( 161 ),5416124.123500000700,6363736.096250000400,11779860.219750002000
FS( 162 ),5467256.855500000500,6430489.400000001300,11897746.255500002000
FS( 163 ),5437429.428500000400,6874028.018250001600,12311457.446750002000
FS( 164 ),5474713.712250000800,6839909.663000001600,12314623.375250002000
FS( 165 ),5437429.428500000400,6651517.005750001400,12088946.434250001000
FS( 166 ),5444886.285250000700,6707886.462250000800,12152772.747500002000
FS( 167 ),5378839.839750000300,6574379.854750000900,11953219.694500001000
FS( 168 ),5467256.855500000500,6541744.906250000900,12009001.761750001000
FS( 169 ),5416124.123500000700,6485375.449750000600,11901499.573250001000
FS( 170 ),5356469.269500001300,6497242.703750001300,11853711.973250002000
FS( 171 ),5437429.428500000400,6629265.904500000200,12066695.333000001000
FS( 172 ),5452343.142000000900,6596630.956000000200,12048974.098000001000
FS( 173 ),5408667.266750000400,6507626.551000001800,11916293.817750003000
FS( 174 ),5496019.017250000500,6485375.449750000600,11981394.467000000000
FS( 175 ),5518389.587500000400,6596630.956000000200,12115020.543500001000
FS( 176 ),5533303.301000000000,6541744.906250000900,12075048.207250001000
FS( 177 ),5422515.715000000800,6463124.348500001200,11885640.063500002000
FS( 178 ),5437429.428500000400,6440873.247250000900,11878302.675750002000
FS( 179 ),5371382.983000000900,6353352.249000001700,11724735.232000003000
FS( 180 ),5401210.410000001100,6563996.007500001200,11965206.417500002000
FS( 181 ),5386296.696500000500,6718270.309500001400,12104567.006000001000
FS( 182 ),5335163.964500000700,6541744.906250000900,11876908.870750003000
FS( 183 ),5305336.537500000600,6607014.803250001700,11912351.340750001000
FS( 184 ),5342620.821250001000,6541744.906250000900,11884365.727500003000
FS( 185 ),5335163.964500000700,6596630.956000000200,11931794.920500001000
FS( 186 ),5335163.964500000700,6485375.449750000600,11820539.414250001000
FS( 187 ),5386296.696500000500,6707886.462250000800,12094183.158750001000
FS( 188 ),5386296.696500000500,6718270.309500001400,12104567.006000001000
FS( 189 ),5386296.696500000500,6718270.309500001400,12104567.006000001000
FS( 190 ),5327707.107750000400,6629265.904500000200,11956973.012250001000
FS( 191 ),5363926.126250000700,6519493.805000000600,11883419.931250002000
FS( 192 ),5335163.964500000700,6485375.449750000600,11820539.414250001000
FS( 193 ),5291488.089250001100,6651517.005750001400,11943005.095000003000
FS( 194 ),5327707.107750000400,6928914.068000000900,12256621.175750002000
FS( 195 ),5312793.394250000800,6874028.018250001600,12186821.412500001000
FS( 196 ),5335163.964500000700,6884411.865500001200,12219575.830000002000
FS( 197 ),5312793.394250000800,6918530.220750001300,12231323.615000002000
FS( 198 ),5291488.089250001100,7206311.130250001300,12497799.219500002000
FS( 199 ),5231833.235250000800,7194443.876250001600,12426277.111500002000
FS( 200 ),5114654.057750000600,7095055.624000001700,12209709.681750003000
FS( 201 ),4967647.453250000300,7028302.320250001700,11995949.773500003000
FS( 202 ),5033693.898750001600,7084671.776750000200,12118365.675500002000
FS( 203 ),5033693.898750001600,7305699.382500001200,12339393.281250004000
FS( 204 ),5033693.898750001600,7172192.775000001300,12205886.673750002000
FS( 205 ),5078435.039250001300,7050553.421500001100,12128988.460750002000
FS( 206 ),5107197.201000000400,7050553.421500001100,12157750.622500002000
FS( 207 ),5033693.898750001600,7040169.574250001500,12073863.473000003000
FS( 208 ),5165786.789750000500,7161808.927750000700,12327595.717500001000
FS( 209 ),5063521.325750001700,7184060.029000000100,12247581.354750002000
FS( 210 ),5070978.182500001000,7194443.876250001600,12265422.058750004000
FS( 211 ),5056064.469000000500,7040169.574250001500,12096234.043250002000
FS( 212 ),5144481.484750000800,7172192.775000001300,12316674.259750001000
FS( 213 ),5188157.360000001300,7149941.673750001000,12338099.033750001000
FS( 214 ),5203071.073500000900,7161808.927750000700,12364880.001250003000
FS( 215 ),5195614.216750000600,7184060.029000000100,12379674.245750001000
FS( 216 ),5165786.789750000500,7427338.736000001400,12593125.525750002000
FS( 217 ),5203071.073500000900,7571229.190750001000,12774300.264250003000
FS( 218 ),5070978.182500001000,7593480.292000000400,12664458.474500000000
FS( 219 ),5048607.612250001200,7670617.443000000900,12719225.055250002000
FS( 220 ),4938885.291500001200,7548978.089500001600,12487863.381000003000
FS( 221 ),4953799.005000001800,7504475.887000002000,12458274.892000005000
FS( 222 ),4990018.023500001100,7504475.887000002000,12494493.910500003000
FS( 223 ),4975104.310000001500,7516343.141000000800,12491447.451000001000
FS( 224 ),4982561.166750000800,7660233.595750001300,12642794.762500003000
FS( 225 ),4975104.310000001500,7660233.595750001300,12635337.905750003000
FS( 226 ),4967647.453250000300,7704735.798250000900,12672383.251500001000
FS( 227 ),4997474.880250000400,7526726.988250001300,12524201.868500002000
FS( 228 ),4953799.005000001800,7238946.078750001300,12192745.083750002000
FS( 229 ),4902666.273000000000,7360585.432250001500,12263251.705250002000
FS( 230 ),4895209.416250000700,7427338.736000001400,12322548.152250003000
FS( 231 ),4850468.275750001900,7526726.988250001300,12377195.264000002000
FS( 232 ),4880295.702750000200,7405087.634750001100,12285383.337500002000
FS( 233 ),4887752.559499999500,7316083.229750000900,12203835.789250001000
FS( 234 ),4916514.721250001300,7350201.585000001800,12266716.306250002000
FS( 235 ),4938885.291500001200,7360585.432250001500,12299470.723750003000
FS( 236 ),5129567.771250001200,7382836.533500000800,12512404.304750003000
FS( 237 ),5085891.896000000600,7394703.787500001500,12480595.683500003000
FS( 238 ),5129567.771250001200,7305699.382500001200,12435267.153750002000
FS( 239 ),5129567.771250001200,7127690.572500001600,12257258.343750004000
FS( 240 ),5210527.930250000200,7028302.320250001700,12238830.250500001000
FS( 241 ),5350077.678000001200,7316083.229750000900,12666160.907750003000
FS( 242 ),5305336.537500000600,7305699.382500001200,12611035.920000002000
FS( 243 ),5401210.410000001100,7184060.029000000100,12585270.439000001000
FS( 244 ),5386296.696500000500,7095055.624000001700,12481352.320500001000
FS( 245 ),5342620.821250001000,7184060.029000000100,12526680.850250002000
FS( 246 ),5327707.107750000400,7149941.673750001000,12477648.781500001000
FS( 247 ),5254203.805500000700,7250813.332750001900,12505017.138250003000
FS( 248 ),5291488.089250001100,7228562.231500000700,12520050.320750002000
FS( 249 ),5297879.680750000300,7161808.927750000700,12459688.608500000000
FS( 250 ),5335163.964500000700,7172192.775000001300,12507356.739500001000
