代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,18984812.602499999000
真實報酬,8984812.602499999100

夏普值報酬,0.889781260250
夏普值風險,0.189154402335
夏普值,4.703994457791

預期報酬,36146.423225129314
風險,436381.549374624740
起點值,0.082832152911
找到最佳解世代,3846
找到最佳解實驗#,2
找到最佳解次數,10

投資組合檔數,5
2324(15),2412(25),2454(26),3045(41),9904(48),
Stock#,2324(15),2412(25),2454(26),3045(41),9904(48),
張數,198,45,12,65,209,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,1315.928000000000,14925.293750000234,84714.601999999999,25089.757500000000,7484.706000000233,
FS( 1 ),1997155.928000000100,1997175.293750000000,1997274.602000000000,1997189.757500000100,1997164.706000000000,9985960.287250001000
FS( 2 ),2010007.959499999900,1965107.382500000300,2041377.884000000100,1928280.706250000000,2027894.655250000300,9972668.587500000400
FS( 3 ),2114483.599999999600,1961075.303750000200,2166700.865000000200,1925692.211250000200,2067428.938500000200,10235380.918500001000
FS( 4 ),1970583.189500000100,1941810.927499999800,2049501.775999999800,1898513.013750000200,1973795.109750000300,9834204.016499999900
FS( 5 ),1856251.356500000000,1953459.155000000300,2089882.298000000000,1906925.622499999800,2000844.882500000300,9807363.314500000300
FS( 6 ),1856251.356500000000,1972723.531250000500,2073753.983000000000,1947047.295000000200,1988360.372000000000,9838136.537750000100
FS( 7 ),1844423.925500000100,2003636.135000000200,2114134.504999999900,1950930.037500000100,2021652.400000000100,9934777.003000000500
FS( 8 ),1868078.787500000300,2018868.432500000100,2219267.224999999600,1988463.215000000100,2027894.655250000300,10122572.315250000000
FS( 9 ),1919330.988500000200,1999604.056249999900,2089882.298000000000,1961284.017500000300,2007087.137750000000,9977188.497999999700
FS( 10 ),1883848.695500000100,1976755.610000000300,1984749.578000000000,1909514.117500000200,1973795.109750000300,9728663.110750000900
FS( 11 ),1970583.189500000100,1988403.837499999900,2029192.045999999900,1917279.602500000000,1973795.109750000300,9879253.785250000700
FS( 12 ),1937072.135000000200,1988403.837499999900,2004939.838999999700,1923750.840000000100,1988360.372000000000,9842527.023499999200
FS( 13 ),1964669.474000000400,1984371.758750000000,2106010.612999999900,1976167.863750000000,1980037.365000000500,10011257.074500000000
FS( 14 ),1901589.842000000200,1984371.758750000000,2057506.199000000000,1967755.255000000100,1961310.599250000400,9872533.654000001000
FS( 15 ),1942985.850500000200,1984371.758750000000,2025249.568999999900,1991051.710000000000,1946745.337000000300,9890404.225250000100
FS( 16 ),1919330.988500000200,1976755.610000000300,2122258.397000000300,1904984.251250000000,1838546.246000000000,9761875.492750000200
FS( 17 ),2010007.959499999900,1980339.679999999900,2106010.612999999900,1906925.622499999800,1859353.763500000400,9862637.638499999400
FS( 18 ),2090828.737999999700,1991987.907500000400,2073753.983000000000,1909514.117500000200,1892645.791500000300,9958730.537499999600
FS( 19 ),2120397.315500000000,1972723.531250000500,2073753.983000000000,1877805.053750000000,1925937.819500000400,9970617.703000001600
FS( 20 ),2142080.938999999300,1984371.758750000000,2150572.549999999800,1915338.231250000200,2007087.137750000000,10199450.616750000000
FS( 21 ),2126311.031000000000,1972723.531250000500,2292023.845999999900,1906925.622499999800,1994602.627250000100,10292586.658000000000
FS( 22 ),2159822.085500000000,1976755.610000000300,2308152.160999999800,1904984.251250000000,1994602.627250000100,10344316.734999999000
FS( 23 ),2189390.662999999200,1984371.758750000000,2372904.358999999700,1923750.840000000100,1980037.365000000500,10450454.985749999000
FS( 24 ),2075058.830000000100,1972723.531250000500,2287961.899999999900,1913396.859999999900,1946745.337000000300,10195886.458250001000
FS( 25 ),2189390.662999999200,1991987.907500000400,2437537.087999999500,1930222.077500000400,1967552.854500000100,10516690.590499999000
FS( 26 ),2240642.863999999600,1976755.610000000300,2429532.665000000000,1923750.840000000100,2027894.655250000300,10598576.634250000000
FS( 27 ),2183476.947499999800,1988403.837499999900,2316276.052999999800,1923750.840000000100,1988360.372000000000,10400268.049999999000
FS( 28 ),2189390.662999999200,1999604.056249999900,2368842.412999999700,1925692.211250000200,2007087.137750000000,10490616.481249999000
FS( 29 ),2147994.654500000200,2011252.283750000200,2413284.881000000100,1940576.057500000100,2067428.938500000200,10580536.815250000000
FS( 30 ),2069145.114499999900,2007668.213750000100,2356656.574999999700,1915338.231250000200,1973795.109750000300,10322603.244250000000
FS( 31 ),2142080.938999999300,2026932.589999999900,2441599.034000000000,1911455.488750000000,2034136.910500000200,10556204.962249998000
FS( 32 ),2069145.114499999900,2034548.738750000300,2445660.980000000000,1911455.488750000000,2000844.882500000300,10461655.204500001000
FS( 33 ),2183476.947499999800,2057397.185000000500,2437537.087999999500,1936693.314999999900,2040379.165749999900,10655483.701250000000
FS( 34 ),2240642.863999999600,2076661.561250000300,2445660.980000000000,1948988.666250000000,2015410.144750000400,10727364.216250001000
FS( 35 ),2321463.642500000100,2092341.867500000200,2542669.807999999700,1932163.448750000200,2040379.165749999900,10929017.932500001000
FS( 36 ),2228815.432999999700,2130870.620000000600,2437537.087999999500,1952871.408749999900,1961310.599250000400,10711405.149000000000
FS( 37 ),2333291.073499999900,2130870.620000000600,2465851.241000000400,2007229.803750000000,1994602.627250000100,10931845.365500003000
FS( 38 ),2396370.705500000200,2130870.620000000600,2514355.655000000300,2011759.670000000200,2015410.144750000400,11068766.795250002000
FS( 39 ),2459450.337499999400,2130870.620000000600,2494165.393999999900,2003347.061250000300,2148578.256749999700,11236411.669499997000
FS( 40 ),2504788.822999999900,2130870.620000000600,2494165.393999999900,2032467.630000000100,2088236.456000000200,11250528.923000000000
FS( 41 ),2453536.622000000000,2130870.620000000600,2445660.980000000000,2032467.630000000100,2169385.774250000200,11231921.626250003000
FS( 42 ),2619120.656000000000,2130870.620000000600,2453784.872000000400,2074530.673750000300,2296311.631000000100,11574618.452750001000
FS( 43 ),2745279.919999999900,2130870.620000000600,2502289.285999999800,2074530.673750000300,2283827.120500000200,11736797.620250002000
FS( 44 ),2625034.371499999900,2130870.620000000600,2534545.916000000200,2051234.218749999800,2256777.347750000200,11598462.474000001000
FS( 45 ),2666430.379999999900,2130870.620000000600,2558798.122999999700,2045410.105000000200,2412833.729000000300,11814342.957000000000
FS( 46 ),2654602.949000000000,2130870.620000000600,2554855.646000000200,2053822.713750000100,2464852.522750000000,11859004.451500000000
FS( 47 ),2642775.518000000200,2130870.620000000600,2595236.168000000100,2055764.085000000000,2479417.785000000600,11904064.175999999000
FS( 48 ),2705855.149999999400,2130870.620000000600,2562860.069000000100,2074530.673750000300,2392026.211500000700,11866142.724250000000
FS( 49 ),2642775.518000000200,2130870.620000000600,2575045.906999999200,2114005.222500000100,2358734.183500000700,11821431.451000001000
FS( 50 ),2492961.392000000000,2189111.757500000300,2518417.600999999800,2115946.593750000000,2323361.403750000500,11639798.748000002000
FS( 51 ),2666430.379999999900,2165815.302500000200,2575045.906999999200,2115946.593750000000,2485660.040250000500,12008898.223499998000
FS( 52 ),2780762.212999999500,2125942.523750000200,2680178.626999999900,2120476.460000000400,2539759.585750000600,12247119.409500001000
FS( 53 ),2808359.551999999700,2122358.453750000300,2829753.815000000400,2128889.068749999600,2573051.613750000000,12462412.503249999000
FS( 54 ),2717682.581000000200,2116086.331250000300,2781249.401000000100,2115946.593750000000,2566809.358500000600,12297774.265500002000
FS( 55 ),2676286.572499999800,2089205.806250000100,2704430.833999999800,2115946.593750000000,2533517.330500000600,12119387.137000000000
FS( 56 ),2705855.149999999400,2056053.158750000400,2619488.375000000000,2074530.673750000300,2419075.984250000200,11875003.341750000000
FS( 57 ),2792589.643999999900,2069493.421249999900,2663930.842999999900,2081001.911250000400,2518952.068250000000,12125967.887750002000
FS( 58 ),2802445.836500000200,2043060.905000000300,2635616.690000000400,2055764.085000000000,2579293.868999999900,12116181.385499999000
FS( 59 ),2832014.413999999400,2036340.773749999900,2663930.842999999900,2055764.085000000000,2633393.414500000000,12221443.530250000000
FS( 60 ),2786675.928499999900,2036340.773749999900,2676116.681000000300,2088767.396250000000,2566809.358500000600,12154710.138000000000
FS( 61 ),2975914.824500000100,2082485.675000000300,2538607.862000000200,2114005.222500000100,2647958.676750000600,12358972.260750001000
FS( 62 ),2934518.816000000100,2099061.998750000300,2546731.754000000200,2108181.108750000100,2654200.932000000500,12342694.609500002000
FS( 63 ),2877352.899499999800,2079349.613750000300,2457727.348999999900,2084884.653749999800,2533517.330500000600,12032831.846500002000
FS( 64 ),2975914.824500000100,2092789.876250000200,2623550.321000000000,2120476.460000000400,2633393.414500000000,12446124.896250002000
FS( 65 ),2987742.255500000400,2079349.613750000300,2583050.330000000100,2128889.068749999600,2620908.904000000100,12399940.171999998000
FS( 66 ),2975914.824500000100,2112502.261250000000,2607302.537000000000,2128889.068749999600,2600101.386500001000,12424710.078000002000
FS( 67 ),3044908.171999999800,2092789.876250000200,2700368.887999999800,2120476.460000000400,2593859.131250000600,12552402.527500000000
FS( 68 ),3096160.373000000100,2062773.289999999800,2647802.527999999900,2120476.460000000400,2560567.103250000200,12487779.754250001000
FS( 69 ),3251888.214499999300,2079349.613750000300,2696306.941999999800,2132771.811249999800,2687492.960000000400,12847809.541500000000
FS( 70 ),3198664.774999999400,2036340.773749999900,2599298.113999999600,2105592.613750000000,2620908.904000000100,12560805.180499997000
FS( 71 ),3176981.151499999700,2046196.966250000500,2667992.788999999900,2114005.222500000100,2587616.876000000600,12592793.005250001000
FS( 72 ),3216405.921499999200,2043060.905000000300,2655926.419999999900,2128889.068749999600,2614666.648750000200,12658948.963999998000
FS( 73 ),3182894.867000000100,2016180.380000000100,2615426.429000000000,2097180.005000000400,2620908.904000000100,12532590.585000001000
