代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11375050.568249999000
真實報酬,1375050.568249998600

夏普值報酬,0.128805056825
夏普值風險,0.047678776315
夏普值,2.701517672634

預期報酬,7029.877174299013
風險,210828.255067219260
起點值,0.033344094092
找到最佳解世代,3139
找到最佳解實驗#,1
找到最佳解次數,47

投資組合檔數,4
1216(2),2412(24),2884(33),6505(47),
Stock#,1216(2),2412(24),2884(33),6505(47),
張數,57,30,180,41,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,19249.961499999532,77052.212499999994,3447.475000000000,17607.624499999998,
FS( 1 ),2496469.961500000200,2496552.212499999900,2496447.475000000100,2496467.624499999900,9985937.273499999200
FS( 2 ),2417978.410750000300,2472704.334999999500,2426278.795000000400,2401412.404499999700,9718373.945250000800
FS( 3 ),2408331.289000000300,2472704.334999999500,2426278.795000000400,2383044.045750000500,9690358.464749999300
FS( 4 ),2462809.152999999900,2480469.820000000300,2478247.810000000100,2441822.793750000200,9863349.576749999100
FS( 5 ),2500262.684499999500,2485845.924999999800,2490792.054999999700,2423454.434999999600,9900355.099499998600
FS( 6 ),2470186.363749999600,2503766.274999999900,2478247.810000000100,2405086.076249999900,9857286.525000000400
FS( 7 ),2532608.916249999300,2514219.812500000000,2503336.300000000300,2441822.793750000200,9991987.822500001600
FS( 8 ),2477563.574500000100,2509142.379999999900,2497960.195000000300,2416107.091500000100,9900773.241000000400
FS( 9 ),2527501.616499999500,2498688.842499999800,2465703.564999999900,2416107.091500000100,9908001.115499999400
FS( 10 ),2532608.916249999300,2506454.327500000100,2433446.935000000100,2390391.389249999500,9862901.567999998100
FS( 11 ),2507639.895250000100,2509142.379999999900,2433446.935000000100,2412433.419750000400,9862662.629999999000
FS( 12 ),2502532.595499999400,2521985.297499999900,2420902.689999999900,2419780.763250000300,9865201.346249999500
FS( 13 ),2557577.937249999000,2537516.267499999100,2445991.179999999700,2449170.137250000100,9990255.521999998000
FS( 14 ),2567225.058999999400,2545281.752499999900,2445991.179999999700,2478559.511250000000,10037057.502750000000
