代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11058699.189999999478459
真實報酬,1058699.189999999478459

夏普值報酬,0.097169919000000
夏普值風險,0.035804082989872
夏普值,2.713934023320413

二次趨勢線,35.221746811572004 x^2 + 5305.787575545976324 x + 10000000.000000000000000
二次加權預期報酬,11152.597546266928475
風險,108734.340919788402971
二次加權趨勢值,0.102567389951754
一次趨勢線,8594.565139277108756 x + 10000000.000000000000000
一次預期報酬,8594.565139277108756
一次風險,124753.310380935101421
一次趨勢值,0.068892481594545
找到最佳解世代,2727
找到最佳解實驗#,1
找到最佳解次數,36

stock[index](rank)
投資組合檔數,4
DIS[6](5),GS[8](2),MRK[17](17),NKE[19](1),
Stock#,DIS[6](5),GS[8](2),MRK[17](17),NKE[19](1),
張數,26666,12859,43713,52609,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,62.500000000000000,81.810000000055879,53.530000000260770,20.319999999832362,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2463467.580000000074506,2421945.870000000111759,2537156.050000000279397,2459491.069999999832362,9882060.570000000298023
FS( 3 ),2450401.240000000223517,2372953.080000000074506,2636821.690000000409782,2445286.639999999664724,9905462.650000000372529
FS( 4 ),2475467.279999999795109,2408315.330000000074506,2693211.460000000428408,2495791.279999999795109,10072785.349999999627471
FS( 5 ),2501066.640000000130385,2446763.740000000223517,2747415.580000000540167,2553135.089999999850988,10248381.050000000745058
FS( 6 ),2513333.000000000000000,2409215.459999999962747,2734738.810000000521541,2525252.319999999832362,10182539.589999999850988
FS( 7 ),2518932.859999999869615,2379896.939999999944121,2723373.430000000167638,2521569.689999999944121,10143772.919999999925494
FS( 8 ),2538399.040000000037253,2378096.680000000167638,2718565.000000000000000,2499473.909999999683350,10134534.630000000819564
FS( 9 ),2512799.680000000167638,2317659.379999999888241,2738235.850000000093132,2465278.059999999590218,10033972.969999998807907
