代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10826016.679999999701977
真實報酬,826016.679999999701977

夏普值報酬,0.073901668000000
夏普值風險,0.023877498190094
夏普值,3.095033969289914

二次趨勢線,-583.279371657042248 x^2 + 53095.818964358644735 x + 10000000.000000000000000
二次平均預期報酬,40263.672787903713470
風險,63505.894406323481235
二次平均趨勢值,0.634014734605400
一次趨勢線,43695.525835095177172 x + 10000000.000000000000000
一次預期報酬,43695.525835095177172
一次風險,70421.104432673717383
一次趨勢值,0.620489073369623
找到最佳解世代,2061
找到最佳解實驗#,1
找到最佳解次數,39

stock[index](rank)
投資組合檔數,5
AXP[1](9),CVX[5](1),MCD[15](21),MRK[17](2),VZ[26](6),
Stock#,AXP[1](9),CVX[5](1),MCD[15](21),MRK[17](2),VZ[26](6),
張數,21978,17818,12680,37544,42408,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,2.000000000000000,107.680000000167638,110.399999999906868,31.119999999878928,38.720000000204891,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2038241.719999999972060,2046148.620000000111759,2033982.399999999906868,2030786.080000000074506,2014418.720000000204891,10163577.540000000968575
FS( 3 ),2056703.239999999990687,2039912.320000000298023,2050846.799999999813735,2047680.879999999888241,2032654.160000000149012,10227797.400000000372529
FS( 4 ),2070329.600000000093132,2089980.900000000372529,2078996.399999999674037,2047305.439999999944121,2045800.640000000363216,10332412.980000000447035
FS( 5 ),2019999.979999999981374,2044901.360000000335276,2044760.399999999906868,2003378.959999999962747,2013570.560000000055879,10126611.259999999776483
FS( 6 ),2025054.919999999925494,2066639.320000000298023,2044506.799999999813735,2108502.160000000149012,1989822.080000000307336,10234525.280000001192093
FS( 7 ),2043956.000000000000000,2117776.979999999981374,2064034.000000000000000,2120891.679999999701977,2047072.880000000353903,10393731.540000000968575
FS( 8 ),2013186.799999999813735,2124904.180000000167638,2071261.599999999860302,2110003.919999999925494,2017811.360000000102445,10337167.859999999403954
FS( 9 ),2051648.299999999813735,2124547.820000000298023,2049452.000000000000000,2130277.679999999701977,2024596.640000000363216,10380522.439999999478459
FS( 10 ),2044615.340000000083819,2136842.240000000223517,2050846.799999999813735,2146421.599999999627471,2021204.000000000000000,10399929.980000000447035
FS( 11 ),2057142.799999999813735,2150740.280000000260770,2049578.799999999813735,2201986.719999999739230,2052161.840000000316650,10511610.439999999478459
FS( 12 ),2062857.080000000074506,2150740.280000000260770,2061244.400000000139698,2225264.000000000000000,2071669.520000000251457,10571775.280000001192093
FS( 13 ),2091208.700000000186265,2206332.439999999944121,2051861.199999999953434,2212123.599999999627471,2061915.680000000167638,10623441.620000001043081
FS( 14 ),2249889.859999999869615,2204372.459999999962747,2022950.799999999813735,2201611.280000000260770,2053858.160000000149012,10732682.560000000521541
FS( 15 ),2215164.620000000111759,2179427.260000000242144,2013314.000000000000000,2208744.639999999664724,2031381.920000000158325,10648032.439999999478459
FS( 16 ),2211208.580000000074506,2202056.120000000111759,2016103.600000000093132,2262057.120000000111759,2063612.000000000000000,10755037.420000001788139
FS( 17 ),2207472.319999999832362,2183525.400000000372529,1994927.999999999767169,2256050.080000000074506,2106444.080000000074506,10748419.880000000819564
FS( 18 ),2170988.839999999850988,2186732.640000000130385,1977429.599999999860302,2238779.839999999850988,2124679.520000000484288,10698610.440000001341105
FS( 19 ),2202856.939999999944121,2213459.640000000130385,2014962.399999999906868,2230520.160000000149012,2110260.800000000279397,10772059.940000001341105
FS( 20 ),2189230.580000000074506,2256222.840000000316650,2007354.400000000139698,2232772.799999999813735,2187019.280000000260770,10872599.900000002235174
FS( 21 ),2170329.500000000000000,2229317.660000000149012,2123249.600000000093132,2210246.399999999441206,2092873.520000000251457,10826016.679999999701977
