代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10576314.659999998286366
真實報酬,576314.659999998286366

夏普值報酬,0.048931466000000
夏普值風險,0.017355403109902
夏普值,2.819379399610843

二次趨勢線,225.983056173708746 x^2 + 27558.365207339673361 x + 10000000.000000000000000
二次平均預期報酬,32078.026330813845561
風險,17227.125985316841252
二次平均趨勢值,1.862064882915168
一次趨勢線,30861.194489878500463 x + 10000000.000000000000000
一次預期報酬,30861.194489878500463
一次風險,19773.294493008270365
一次趨勢值,1.560751269890349
找到最佳解世代,2285
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,6
BA[2](2),CVX[5](29),KO[14](25),MRK[17](19),NKE[19](17),PFE[20](3),
Stock#,BA[2](2),CVX[5](29),KO[14](25),MRK[17](19),NKE[19](17),PFE[20](3),
張數,10164,15015,40394,26838,31434,52626,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,74.919999999925494,1.000000000000000,9.560000000055879,26.199999999953434,35.319999999832362,0.579999999841675,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1649285.559999999823049,1684834.149999999906868,1672321.159999999916181,1722489.040000000037253,1659750.519999999785796,1669823.559999999823049,10058507.990000000223517
FS( 3 ),1650708.520000000018626,1705254.549999999813735,1677976.320000000065193,1725441.220000000204891,1645919.559999999823049,1688768.919999999925494,10094073.089999999850988
FS( 4 ),1666767.639999999897555,1696395.699999999953434,1678784.200000000186265,1742885.919999999925494,1659750.519999999785796,1696136.559999999590218,10140724.539999999105930
FS( 5 ),1692380.919999999925494,1672521.850000000093132,1692518.159999999916181,1723025.800000000046566,1660064.859999999869615,1688242.659999999683350,10128758.250000000000000
FS( 6 ),1665039.760000000009313,1675374.699999999953434,1697365.440000000176951,1726246.359999999869615,1693699.239999999990687,1691400.219999999972060,10149129.720000000670552
FS( 7 ),1669816.839999999850988,1685584.900000000139698,1666262.060000000055879,1728125.020000000018626,1738649.859999999869615,1704030.459999999962747,10192473.140000000596046
FS( 8 ),1689636.639999999897555,1697446.750000000000000,1639198.080000000074506,1721683.900000000139698,1767254.799999999813735,1702451.679999999934807,10217675.849999999627471
FS( 9 ),1707931.839999999850988,1710359.649999999906868,1640813.839999999850988,1738323.459999999962747,1763168.379999999888241,1716134.439999999711290,10276735.609999999403954
FS( 10 ),1712708.919999999925494,1689488.800000000046566,1637178.380000000121072,1762209.279999999795109,1774484.619999999878928,1723502.079999999841675,10299576.079999998211861
FS( 11 ),1720840.120000000111759,1690239.549999999813735,1633542.919999999925494,1748790.279999999795109,1780457.079999999841675,1763497.839999999850988,10337371.789999999105930
FS( 12 ),1736187.760000000009313,1661861.200000000186265,1664242.360000000102445,1751474.080000000074506,1769455.179999999701977,1769286.699999999720603,10352511.279999999329448
FS( 13 ),1755499.360000000102445,1656605.949999999953434,1665454.179999999934807,1754963.020000000018626,1783914.819999999832362,1769286.699999999720603,10385728.029999999329448
FS( 14 ),1784466.760000000009313,1677476.800000000046566,1674744.800000000046566,1757378.439999999944121,1803089.559999999823049,1769286.699999999720603,10466447.060000000521541
FS( 15 ),1782433.959999999962747,1657356.699999999953434,1680399.960000000195578,1752279.220000000204891,1830751.479999999981374,1767707.919999999925494,10470933.240000000223517
FS( 16 ),1797679.959999999962747,1666966.300000000046566,1682823.599999999860302,1767308.499999999767169,1804032.579999999841675,1792442.139999999897555,10511257.080000000074506
FS( 17 ),1803575.079999999841675,1653452.800000000046566,1687670.880000000121072,1775628.279999999795109,1818806.559999999823049,1802967.339999999850988,10542104.939999999478459
FS( 18 ),1823801.439999999944121,1677927.250000000000000,1683227.540000000037253,1767308.499999999767169,1813462.779999999795109,1804019.859999999869615,10569751.369999999180436
FS( 19 ),1831932.639999999897555,1689188.500000000000000,1694941.800000000046566,1767845.260000000009313,1796802.759999999776483,1795599.699999999720603,10576314.659999998286366
