代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10639731.729999998584390
真實報酬,639731.729999998584390

夏普值報酬,0.055273173000000
夏普值風險,0.020126433838808
夏普值,2.746297403836198

二次趨勢線,499.879187323222936 x^2 + 23894.166769702373131 x + 10000000.000000000000000
二次平均預期報酬,34391.629703490056272
風險,31504.559915515474131
二次平均趨勢值,1.091639743444020
一次趨勢線,31575.237209059236193 x + 10000000.000000000000000
一次預期報酬,31575.237209059236193
一次風險,39435.561085479312169
一次趨勢值,0.800679294016325
找到最佳解世代,1768
找到最佳解實驗#,4
找到最佳解次數,25

stock[index](rank)
投資組合檔數,6
CVX[5](12),HD[9](15),MMM[16](3),MRK[17](1),UNH[23](2),WMT[28](5),
Stock#,CVX[5](12),HD[9](15),MMM[16](3),MRK[17](1),UNH[23](2),WMT[28](5),
張數,14123,21647,13238,36848,24284,21625,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,10.770000000018626,63.470000000204891,1.799999999813735,30.960000000195578,55.080000000074506,27.250000000232831,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1667937.069999999832362,1666882.470000000204891,1672225.959999999729916,1684721.520000000251457,1674436.880000000121072,1672288.500000000232831,10038496.400000000372529
FS( 3 ),1672880.120000000111759,1659306.020000000251457,1669578.359999999869615,1671456.240000000223517,1668851.560000000055879,1674234.750000000232831,10016311.050000000745058
FS( 4 ),1710870.989999999990687,1654327.210000000195578,1682948.739999999757856,1693565.040000000270084,1706977.440000000176951,1690237.250000000232831,10138930.669999999925494
FS( 5 ),1693499.699999999953434,1638524.900000000139698,1673417.379999999655411,1688406.320000000298023,1694106.920000000158325,1676181.000000000232831,10064140.220000000670552
FS( 6 ),1711577.139999999897555,1633979.030000000260770,1694333.419999999692664,1724517.360000000102445,1712077.080000000074506,1685912.250000000000000,10162400.280000001192093
FS( 7 ),1710023.610000000102445,1631597.860000000335276,1693803.899999999906868,1731886.960000000195578,1712077.080000000074506,1708618.500000000232831,10188011.910000000149012
FS( 8 ),1694770.770000000018626,1649131.930000000400469,1699231.479999999981374,1753627.280000000260770,1698720.880000000121072,1702131.000000000000000,10197617.339999999850988
FS( 9 ),1696041.840000000083819,1679870.670000000158325,1702276.219999999972060,1744415.280000000260770,1724461.920000000158325,1706239.750000000465661,10253309.680000001564622
FS( 10 ),1688556.650000000139698,1708877.650000000139698,1718161.819999999599531,1762102.320000000298023,1734904.040000000037253,1710132.250000000232831,10322738.730000000447035
FS( 11 ),1695618.150000000139698,1732472.880000000121072,1718956.099999999627471,1771314.320000000298023,1745346.160000000149012,1713159.750000000232831,10376871.359999999403954
FS( 12 ),1702679.650000000139698,1724679.960000000195578,1722662.739999999757856,1769103.440000000176951,1740732.200000000186265,1713159.750000000232831,10373021.740000000223517
FS( 13 ),1723864.150000000139698,1740049.330000000074506,1721603.699999999953434,1771314.320000000298023,1739032.320000000065193,1713808.500000000232831,10409676.320000000298023
FS( 14 ),1723016.770000000018626,1726411.720000000204891,1710086.639999999897555,1773525.200000000186265,1748017.400000000139698,1706239.750000000465661,10387301.480000000447035
FS( 15 ),1743636.349999999860302,1728143.480000000214204,1725575.099999999627471,1791580.720000000204891,1770601.520000000018626,1705374.750000000232831,10464915.919999999925494
FS( 16 ),1751686.459999999962747,1714072.930000000400469,1734444.560000000055879,1803372.080000000074506,1790757.239999999990687,1725918.500000000232831,10520255.770000001415610
FS( 17 ),1747590.790000000037253,1726411.720000000204891,1737224.539999999571592,1829902.640000000130385,1798770.959999999962747,1739326.000000000465661,10579230.649999998509884
FS( 18 ),1734032.709999999962747,1739399.920000000158325,1749403.500000000000000,1826954.800000000046566,1809698.760000000009313,1744732.250000000465661,10604225.939999999478459
FS( 19 ),1728948.429999999934807,1746110.490000000223517,1767274.799999999813735,1836166.800000000046566,1805813.320000000065193,1750138.500000000465661,10634456.339999999850988
FS( 20 ),1729230.889999999897555,1746326.960000000195578,1767407.179999999701977,1836166.800000000046566,1808727.400000000139698,1751868.500000000232831,10639731.729999998584390
