代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11200391.650000000372529
真實報酬,1200391.650000000372529

夏普值報酬,0.111339165000000
夏普值風險,0.040270740157022
夏普值,2.764765796850810

二次趨勢線,1779.834736614643816 x^2 + 32180.245447837653046 x + 10000000.000000000000000
二次平均預期報酬,69556.774916745169321
風險,133363.125311818759656
二次平均趨勢值,0.521559274755396
一次趨勢線,59528.925547038306831 x + 10000000.000000000000000
一次預期報酬,59528.925547038306831
一次風險,157855.455446635140106
一次趨勢值,0.377110346795476
找到最佳解世代,2226
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CSCO[4](3),DD[7](6),UTX[24](1),
Stock#,CSCO[4](3),DD[7](6),UTX[24](1),
張數,141964,54969,38069,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,18.279999999795109,12.839999999850988,11.359999999869615,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3241056.399999999441206,3525174.809999999590218,3251865.339999999850988,10018097.549999998882413
FS( 3 ),3279386.680000000167638,3658749.479999999981374,3272422.599999999627471,10210559.759999999776483
FS( 4 ),3341850.839999999850988,3709870.649999999441206,3354651.640000000130385,10406374.129999998956919
FS( 5 ),3249574.239999999757856,3654901.649999999441206,3343992.319999999832362,10248469.209999999031425
FS( 6 ),3255252.799999999813735,3619171.799999999813735,3303639.179999999701977,10178064.779999999329448
FS( 7 ),3215502.879999999422580,3647755.679999999701977,3321150.919999999459833,10184410.479999998584390
FS( 8 ),3195627.919999999925494,3613674.899999999441206,3310491.599999999627471,10119795.419999998062849
FS( 9 ),3503689.799999999813735,3507035.039999999571592,3222932.899999999906868,10233658.740000000223517
FS( 10 ),3564734.319999999832362,3601581.719999999739230,3272041.910000000149012,10438358.949999999254942
FS( 11 ),3668368.039999999571592,3665895.449999999720603,3292218.479999999981374,10626482.969999998807907
FS( 12 ),3756385.719999999739230,3756594.299999999813735,3354651.640000000130385,10867632.660000000149012
FS( 13 ),3752126.799999999813735,3723612.899999999441206,3363788.199999999720603,10839528.899999998509884
FS( 14 ),3769162.479999999981374,3685684.289999999571592,3358839.229999999981374,10813687.000000000000000
FS( 15 ),3780519.599999999627471,3748898.640000000130385,3516444.890000000130385,11045864.130000000819564
FS( 16 ),3708117.959999999962747,3677438.939999999944121,3487131.759999999776483,10872689.660000000149012
FS( 17 ),3736510.759999999776483,3693929.640000000130385,3563650.449999999720603,10994091.849999999627471
FS( 18 ),3776260.680000000167638,3765389.339999999850988,3733438.189999999478459,11275089.209999999031425
FS( 19 ),3749287.520000000018626,3815411.129999999888241,3718971.969999999739230,11283671.620000001043081
FS( 20 ),3716635.799999999813735,3805516.709999999962747,3678238.140000000130385,11200391.650000000372529
