代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10432954.839999999850988
真實報酬,432954.839999999850988

夏普值報酬,0.034595484000000
夏普值風險,0.013928204492661
夏普值,2.483843773131565

二次趨勢線,-388.151797800569966 x^2 + 31823.672213590587489 x + 10000000.000000000000000
二次平均預期報酬,23672.484459778614109
風險,20169.745399120223738
二次平均趨勢值,1.173663028032628
一次趨勢線,25859.388491289151716 x + 10000000.000000000000000
一次預期報酬,25859.388491289151716
一次風險,27313.873338953435450
一次趨勢值,0.946749227778325
找到最佳解世代,1448
找到最佳解實驗#,34
找到最佳解次數,2

stock[index](rank)
投資組合檔數,3
BA[2](3),CVX[5](5),MCD[15](27),
Stock#,BA[2](3),CVX[5](5),MCD[15](27),
張數,12282,27891,19282,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,243.839999999850988,79.589999999850988,53.659999999683350,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3414271.380000000353903,3370428.029999999795109,3290526.959999999962747,10075227.370000001043081
FS( 3 ),3384426.120000000111759,3357877.080000000074506,3335646.839999999850988,10077951.039999999105930
FS( 4 ),3417955.979999999515712,3336122.099999999627471,3345095.019999999552965,10099174.099999997764826
FS( 5 ),3463399.380000000353903,3336679.919999999925494,3334104.279999999795109,10134184.580000000074506
FS( 6 ),3511667.639999999664724,3344768.310000000055879,3338731.959999999962747,10195168.910000000149012
FS( 7 ),3478014.959999999962747,3358713.810000000055879,3340660.159999999683350,10177389.929999999701977
FS( 8 ),3561286.919999999925494,3338074.470000000204891,3320992.519999999552965,10220354.910000000149012
FS( 9 ),3584622.719999999739230,3345047.220000000204891,3346444.759999999776483,10276115.699999999254942
FS( 10 ),3609678.000000000000000,3333890.819999999832362,3338539.139999999199063,10282108.959999999031425
FS( 11 ),3610414.919999999925494,3339469.020000000018626,3356278.579999999608845,10306163.519999999552965
FS( 12 ),3637435.319999999832362,3338632.290000000037253,3358978.059999999590218,10335046.669999998062849
FS( 13 ),3651068.339999999850988,3342537.029999999795109,3343359.639999999199063,10336966.009999997913837
FS( 14 ),3659051.639999999664724,3371822.580000000074506,3319835.599999999627471,10350710.820000000298023
FS( 15 ),3623802.299999999348074,3481434.209999999497086,3313665.359999999403954,10418902.869999997317791
FS( 16 ),3624662.040000000037253,3485896.770000000018626,3305374.099999999627471,10415933.910000000149012
FS( 17 ),3627855.359999999869615,3513787.770000000018626,3302867.439999999478459,10444511.570000000298023
FS( 18 ),3631048.679999999701977,3501794.639999999664724,3329476.599999999627471,10462320.919999998062849
FS( 19 ),3640014.540000000037253,3502631.369999999646097,3337767.859999999403954,10480414.769999999552965
FS( 20 ),3622328.459999999962747,3491753.879999999888241,3318871.500000000000000,10432954.839999999850988
