代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10465873.509999997913837
真實報酬,465873.509999997913837

夏普值報酬,0.037887351000000
夏普值風險,0.031492239859943
夏普值,1.203069428167016

二次趨勢線,856.422726532325214 x^2 + 19474.509888102787954 x + 10000000.000000000000000
二次平均預期報酬,38315.809871813929931
風險,174375.673620657704305
二次平均趨勢值,0.219731394157463
一次趨勢線,33276.857550588894810 x + 10000000.000000000000000
一次預期報酬,33276.857550588894810
一次風險,180009.725267533562146
一次趨勢值,0.184861442908889
找到最佳解世代,2454
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
INTC[11](1),VZ[26](2),
Stock#,INTC[11](1),VZ[26](2),
張數,250125,139353,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,1.250000000000000,14.359999999403954,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4912456.250000000000000,4955407.040000000037253,9867863.289999999105930
FS( 3 ),4887443.750000000000000,4908027.019999999552965,9795470.769999999552965
FS( 4 ),5022511.250000000000000,4963768.219999998807907,9986279.469999998807907
FS( 5 ),4977488.750000000000000,4930323.500000000000000,9907812.250000000000000
FS( 6 ),4927463.750000000000000,4910814.080000000074506,9838277.830000000074506
FS( 7 ),5072536.250000000000000,4912207.609999999403954,9984743.859999999403954
FS( 8 ),5192596.250000000000000,4947045.859999999403954,10139642.109999999403954
FS( 9 ),5282641.250000000000000,4960981.159999999217689,10243622.410000000149012
FS( 10 ),5387693.750000000000000,5043199.429999998770654,10430893.179999999701977
FS( 11 ),5495247.500000000000000,5117056.519999999552965,10612304.019999999552965
FS( 12 ),5485242.500000000000000,5055741.199999999254942,10540983.699999999254942
FS( 13 ),5552776.250000000000000,5073857.089999998919666,10626633.339999999850988
FS( 14 ),5487743.750000000000000,4994425.879999999888241,10482169.629999998956919
FS( 15 ),5407703.750000000000000,4959587.629999999888241,10367291.379999998956919
FS( 16 ),5542771.250000000000000,5000000.000000000000000,10542771.250000000000000
FS( 17 ),5562781.250000000000000,5066889.439999999478459,10629670.689999999478459
FS( 18 ),5637818.750000000000000,5140746.529999999329448,10778565.279999999329448
FS( 19 ),5580290.000000000000000,5133778.879999999888241,10714068.879999998956919
FS( 20 ),5555277.500000000000000,5176978.309999999590218,10732255.809999998658895
FS( 21 ),5337668.750000000000000,5128204.759999998845160,10465873.509999997913837
