代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10419637.370000001043081
真實報酬,419637.370000001043081

夏普值報酬,0.033263737000000
夏普值風險,0.013756442078394
夏普值,2.418047981479422

二次趨勢線,1263.400794020532430 x^2 + -6667.086565910509307 x + 10000000.000000000000000
二次平均預期報酬,21127.730902541206888
風險,36920.071860833828396
二次平均趨勢值,0.572255952864336
一次趨勢線,13694.233207490175118 x + 10000000.000000000000000
一次預期報酬,13694.233207490175118
一次風險,75552.760642993263900
一次趨勢值,0.181253909068909
找到最佳解世代,2343
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](2),KO[14](10),PG[21](1),
Stock#,HD[9](2),KO[14](10),PG[21](1),
張數,18001,73453,33861,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,87.830000000074506,35.859999999869615,56.160000000149012,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3308851.640000000130385,3353165.309999999590218,3347893.230000000447035,10009911.179999999701977
FS( 3 ),3312271.830000000074506,3349492.660000000149012,3355342.650000000372529,10017108.140000000596046
FS( 4 ),3320372.279999999795109,3338474.709999999962747,3349924.890000000596046,10008772.880000000819564
FS( 5 ),3285450.339999999850988,3325987.699999999720603,3337057.709999999962747,9948496.750000000000000
FS( 6 ),3262409.060000000055879,3293668.379999999888241,3332317.169999999925494,9888395.609999999403954
FS( 7 ),3284190.270000000018626,3392095.399999999906868,3371934.540000000037253,10048221.210000000894070
FS( 8 ),3312271.830000000074506,3382546.509999999776483,3387849.209999999962747,10082668.550000000745058
FS( 9 ),3260788.969999999739230,3395033.520000000018626,3426112.140000000596046,10081935.630000000819564
FS( 10 ),3269249.440000000409782,3356837.959999999962747,3430852.679999999701977,10056941.080000000074506
FS( 11 ),3280410.060000000055879,3327456.759999999776483,3468777.000000000000000,10076644.820000000298023
FS( 12 ),3301831.250000000000000,3335536.589999999850988,3437286.270000000484288,10074655.109999999403954
FS( 13 ),3314611.959999999962747,3346554.540000000037253,3450492.060000000521541,10111659.560000000521541
FS( 14 ),3350073.930000000167638,3344350.949999999720603,3444397.080000000074506,10138822.960000000894070
FS( 15 ),3419737.800000000279397,3342881.889999999664724,3470470.049999999813735,10233090.739999998360872
FS( 16 ),3397776.580000000074506,3373732.149999999906868,3442365.419999999925494,10213875.150000000372529
FS( 17 ),3414517.510000000242144,3381077.449999999720603,3452523.719999999739230,10248119.679999999701977
FS( 18 ),3408397.169999999925494,3425883.779999999795109,3488416.379999999888241,10322698.329999998211861
FS( 19 ),3406777.080000000074506,3423680.189999999944121,3484353.060000000521541,10314811.330000000074506
FS( 20 ),3421357.890000000130385,3421476.599999999627471,3506362.709999999962747,10349198.199999999254942
FS( 21 ),3454299.719999999739230,3442043.439999999944121,3523293.209999999962747,10419637.370000001043081
