代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10756543.900000000372529
真實報酬,756543.900000000372529

夏普值報酬,0.066954390000000
夏普值風險,0.027216396362181
夏普值,2.460075504082413

二次趨勢線,-820.796466566210711 x^2 + 60316.160165703782695 x + 10000000.000000000000000
二次平均預期報酬,43079.434367813359131
風險,111264.561850032187067
二次平均趨勢值,0.387180191531945
一次趨勢線,47703.921777003481111 x + 10000000.000000000000000
一次預期報酬,47703.921777003481111
一次風險,117884.333624098362634
一次趨勢值,0.404667187831070
找到最佳解世代,2040
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](1),MRK[17](4),UNH[23](2),
Stock#,BA[2](1),MRK[17](4),UNH[23](2),
張數,25650,58285,33075,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,115.500000000465661,13.850000000093132,34.500000000000000,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3310248.000000000931323,3382875.250000000000000,3278428.500000000000000,9971552.750000000000000
FS( 3 ),3271260.000000000465661,3515765.050000000279397,3271813.500000000000000,10058839.550000000745058
FS( 4 ),3322047.000000000000000,3590952.700000000186265,3305219.250000000000000,10218219.949999999254942
FS( 5 ),3380785.500000000931323,3663226.100000000093132,3462987.000000000000000,10506999.600000001490116
FS( 6 ),3374116.500000000465661,3646323.450000000186265,3430573.500000000000000,10451014.450000001117587
FS( 7 ),3356931.000000000465661,3631169.350000000093132,3391875.750000000000000,10379977.100000001490116
FS( 8 ),3364626.000000000000000,3624758.000000000000000,3409074.750000000000000,10398459.750000000000000
FS( 9 ),3344362.500000000465661,3650986.250000000000000,3417674.250000000000000,10413024.000000000000000
FS( 10 ),3338206.500000000000000,3606689.650000000372529,3455049.000000000000000,10399946.150000000372529
FS( 11 ),3354622.500000000465661,3673717.400000000372529,3498377.250000000000000,10526718.150000000372529
FS( 12 ),3365908.500000000465661,3649237.700000000186265,3493416.000000000000000,10508563.200000001117587
FS( 13 ),3396432.000000000465661,3623009.449999999720603,3615793.500000000000000,10635235.949999999254942
FS( 14 ),3479281.500000000000000,3648072.000000000465661,3765623.250000000000000,10892977.750000000000000
FS( 15 ),3453118.500000000465661,3642243.500000000000000,3704434.500000000000000,10799797.500000000000000
FS( 16 ),3439011.000000000465661,3661477.550000000279397,3691535.250000000000000,10792024.800000000745058
FS( 17 ),3398227.500000000000000,3646323.450000000186265,3638615.250000000000000,10683167.199999999254942
FS( 18 ),3581881.500000000000000,3581627.100000000093132,3587349.000000000000000,10750858.599999999627471
FS( 19 ),3790672.500000000465661,3618929.500000000465661,3618108.750000000000000,11027711.750000000000000
FS( 20 ),3728856.000000000465661,3513433.650000000372529,3514253.250000000000000,10756543.900000000372529
