代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11021115.660000000149012
真實報酬,1021115.660000000149012

夏普值報酬,0.093411566000000
夏普值風險,0.029274056732743
夏普值,3.190933421110682

二次趨勢線,-1790.306412746282604 x^2 + 88555.579829638299998 x + 10000000.000000000000000
二次平均預期報酬,47378.532336473806936
風險,41452.033751451148419
二次平均趨勢值,1.142972444260716
一次趨勢線,58359.078334650854231 x + 10000000.000000000000000
一次預期報酬,58359.078334650854231
一次風險,110347.702293429625570
一次趨勢值,0.528865369389080
找到最佳解世代,2727
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,6
CVX[5](22),DIS[6](1),INTC[11](7),NKE[19](23),TRV[22](2),UNH[23](27),
Stock#,CVX[5](22),DIS[6](1),INTC[11](7),NKE[19](23),TRV[22](2),UNH[23](27),
張數,21274,16233,55555,26916,16947,14292,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,60.839999999850988,23.889999999897555,16.000000000000000,27.280000000027940,98.020000000018626,75.880000000121072,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1734955.539999999804422,1672022.889999999897555,1694999.050000000046566,1685238.040000000037253,1695306.429999999934807,1698394.239999999990687,10180920.189999999478459
FS( 3 ),1787715.059999999823049,1685820.939999999711290,1733887.550000000046566,1672587.520000000018626,1726319.439999999944121,1710113.680000000167638,10316448.189999999478459
FS( 4 ),1850686.099999999627471,1684522.299999999813735,1763331.699999999953434,1658052.880000000121072,1712931.309999999823049,1658662.479999999981374,10328190.769999999552965
FS( 5 ),1874725.719999999972060,1678353.760000000009313,1795553.600000000093132,1643249.079999999841675,1731573.010000000009313,1664093.440000000176951,10387552.609999999403954
FS( 6 ),1912806.179999999701977,1698158.019999999785796,1806664.600000000093132,1681200.640000000130385,1747164.250000000000000,1659091.239999999990687,10505088.929999999701977
FS( 7 ),1905573.019999999785796,1713579.369999999878928,1785553.699999999953434,1681469.800000000046566,1744622.199999999953434,1704682.719999999972060,10535484.810000000521541
FS( 8 ),1887915.599999999627471,1726403.439999999711290,1789442.550000000046566,1701656.800000000046566,1757840.860000000102445,1750988.800000000279397,10614252.049999998882413
FS( 9 ),1880256.959999999729916,1730299.359999999869615,1779998.199999999953434,1693312.839999999850988,1750892.590000000083819,1772140.959999999962747,10606904.910000000149012
FS( 10 ),1909615.080000000074506,1716338.979999999981374,1822219.999999999767169,1693582.000000000000000,1741741.209999999962747,1744700.320000000065193,10628201.589999999850988
FS( 11 ),1930038.119999999878928,1751402.260000000009313,1819442.250000000000000,1733417.680000000167638,1778855.139999999897555,1717545.520000000251457,10730704.970000000670552
FS( 12 ),1942164.300000000046566,1757083.809999999823049,1835553.199999999953434,1756027.119999999878928,1794785.320000000065193,1714830.040000000270084,10800447.790000000968575
FS( 13 ),1915359.059999999823049,1777050.399999999906868,1866108.450000000186265,1792902.040000000037253,1801903.059999999823049,1725549.040000000270084,10878876.050000000745058
FS( 14 ),1914508.099999999627471,1783056.609999999869615,1857775.199999999953434,1781597.320000000065193,1846473.670000000158325,1721118.520000000251457,10904533.419999999925494
FS( 15 ),1900467.259999999776483,1787114.859999999869615,1853886.349999999860302,1782943.119999999878928,1876130.920000000158325,1688104.000000000000000,10888650.509999999776483
FS( 16 ),1949184.719999999972060,1838411.139999999897555,1911108.000000000000000,1782135.639999999897555,1903585.059999999823049,1626648.400000000139698,11011076.959999999031425
FS( 17 ),1941100.599999999627471,1835813.859999999869615,1938885.500000000000000,1756834.599999999860302,1902907.179999999934807,1656804.520000000251457,11032350.259999997913837
FS( 18 ),1888553.819999999832362,1842794.049999999813735,1921663.450000000186265,1768139.320000000065193,1911211.209999999962747,1665522.640000000130385,10997888.490000002086163
FS( 19 ),1865790.639999999897555,1846852.299999999813735,1914996.849999999860302,1760602.839999999850988,1922057.290000000037253,1706111.920000000158325,11016415.839999997988343
FS( 20 ),1910253.300000000046566,1856105.109999999869615,1928330.050000000046566,1767062.680000000167638,1936462.239999999990687,1711971.640000000130385,11110189.020000001415610
FS( 21 ),1912380.699999999953434,1867468.209999999962747,1890552.650000000139698,1764640.239999999990687,1936970.650000000139698,1710971.199999999953434,11082987.650000000372529
FS( 22 ),1933441.959999999729916,1846365.309999999823049,1881108.300000000046566,1763563.599999999860302,1913244.850000000093132,1683387.640000000130385,11021115.660000000149012
