代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10586166.879999998956919
真實報酬,586166.879999998956919

夏普值報酬,0.049916688000000
夏普值風險,0.018930054607159
夏普值,2.636901426640434

二次趨勢線,2080.718107030158080 x^2 + -16424.094391191876639 x + 10000000.000000000000000
二次平均預期報酬,29351.703963471598399
風險,23790.654948678497021
二次平均趨勢值,1.233749303110379
一次趨勢線,17109.339287224411237 x + 10000000.000000000000000
一次預期報酬,17109.339287224411237
一次風險,111137.129509796868660
一次趨勢值,0.153948004260054
找到最佳解世代,1668
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
CSCO[4](3),CVX[5](18),DIS[6](12),HD[9](1),KO[14](24),NKE[19](2),VZ[26](4),
Stock#,CSCO[4](3),CVX[5](18),DIS[6](12),HD[9](1),KO[14](24),NKE[19](2),VZ[26](4),
張數,41264,12325,14425,8638,31191,25941,29867,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,11.320000000065193,103.500000000000000,63.250000000000000,18.560000000055879,23.200000000186265,0.129999999888241,32.390000000130385,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1411652.760000000009313,1421545.750000000000000,1418762.000000000000000,1405507.540000000037253,1431066.280000000260770,1429868.049999999813735,1417520.210000000195578,9935925.589999999850988
FS( 3 ),1422381.399999999906868,1417355.250000000000000,1422945.250000000000000,1420019.379999999888241,1433873.470000000204891,1445173.239999999990687,1416325.530000000260770,9978076.519999999552965
FS( 4 ),1419905.559999999823049,1442621.500000000000000,1451795.250000000000000,1418550.920000000158325,1418277.970000000204891,1453733.769999999785796,1359876.900000000139698,9964764.869999999180436
FS( 5 ),1419492.919999999925494,1445086.500000000000000,1465787.500000000000000,1413713.640000000130385,1432937.740000000223517,1430646.279999999795109,1361071.580000000074506,9968739.160000000149012
FS( 6 ),1423619.320000000065193,1438061.250000000000000,1459584.750000000000000,1417082.460000000195578,1440423.580000000074506,1446470.289999999804422,1357786.210000000195578,9983030.860000001266599
FS( 7 ),1405050.520000000018626,1445086.500000000000000,1481222.250000000000000,1410344.820000000065193,1441983.130000000121072,1456068.459999999962747,1346138.080000000074506,9985896.759999999776483
FS( 8 ),1402574.680000000167638,1444347.000000000000000,1511514.750000000000000,1417600.740000000223517,1451652.340000000083819,1455030.820000000065193,1340463.350000000093132,10023186.679999999701977
FS( 9 ),1400924.120000000111759,1444963.250000000000000,1510937.750000000000000,1428311.860000000102445,1457266.720000000204891,1450361.439999999711290,1336580.640000000130385,10029348.780000001192093
FS( 10 ),1404637.880000000121072,1441142.500000000000000,1488290.500000000000000,1451720.840000000083819,1479412.330000000074506,1452177.309999999823049,1320751.130000000121072,10038135.490000000223517
FS( 11 ),1407526.360000000102445,1435349.750000000000000,1495791.500000000000000,1429348.420000000158325,1460073.910000000149012,1469038.959999999962747,1317465.760000000009313,10014597.660000000149012
FS( 12 ),1480563.640000000130385,1412178.750000000000000,1494493.250000000000000,1446883.560000000055879,1451964.250000000000000,1484603.559999999823049,1337177.980000000214204,10107867.990000002086163
FS( 13 ),1481388.919999999925494,1413904.250000000000000,1492185.250000000000000,1448956.680000000167638,1425763.810000000288710,1535447.919999999925494,1356591.530000000260770,10154241.359999999403954
FS( 14 ),1506147.320000000065193,1414027.500000000000000,1482232.000000000000000,1472365.659999999916181,1417966.060000000288710,1537004.379999999888241,1379887.790000000270084,10209633.710000002756715
FS( 15 ),1512336.919999999925494,1419573.750000000000000,1485838.250000000000000,1493183.240000000223517,1427947.180000000167638,1540636.119999999878928,1379290.450000000186265,10258808.910000000149012
FS( 16 ),1504084.120000000111759,1428694.250000000000000,1482087.750000000000000,1486272.840000000083819,1429818.640000000363216,1532335.000000000000000,1406768.090000000083819,10270063.690000001341105
FS( 17 ),1505734.680000000167638,1436089.250000000000000,1480645.250000000000000,1488605.100000000093132,1431066.280000000260770,1538820.250000000000000,1404080.060000000055879,10285043.869999999180436
FS( 18 ),1521415.000000000000000,1424750.250000000000000,1482809.000000000000000,1504412.640000000130385,1431690.100000000093132,1546861.959999999962747,1423493.610000000102445,10335435.559999998658895
FS( 19 ),1556902.040000000037253,1435349.750000000000000,1491752.500000000000000,1525230.219999999972060,1429506.730000000214204,1545564.909999999916181,1458139.330000000074506,10442448.480000000447035
FS( 20 ),1546586.040000000037253,1444347.000000000000000,1518150.250000000000000,1531104.060000000055879,1419213.700000000186265,1565798.889999999897555,1490395.690000000176951,10515598.629999998956919
FS( 21 ),1539158.520000000018626,1466655.250000000000000,1512091.750000000000000,1553303.719999999972060,1427635.270000000251457,1567355.349999999860302,1519964.020000000251457,10586166.879999998956919
