代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10408905.539999999105930
真實報酬,408905.539999999105930

夏普值報酬,0.032190554000000
夏普值風險,0.012421966365866
夏普值,2.591421764629346

二次趨勢線,-2008.434565846617716 x^2 + 60402.170642451499589 x + 10000000.000000000000000
二次平均預期報酬,18225.044759672528016
風險,22681.537197123063379
二次平均趨勢值,0.803518941475633
一次趨勢線,29540.859020905929356 x + 10000000.000000000000000
一次預期報酬,29540.859020905929356
一次風險,97964.013142027237336
一次趨勢值,0.301548069269864
找到最佳解世代,2594
找到最佳解實驗#,2
找到最佳解次數,25

stock[index](rank)
投資組合檔數,6
BA[2](4),CVX[5](13),JPM[13](2),PG[21](10),TRV[22](23),WMT[28](1),
Stock#,BA[2](4),CVX[5](13),JPM[13](2),PG[21](10),TRV[22](23),WMT[28](1),
張數,4702,14334,15352,13733,11294,14538,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,183.159999999916181,51.820000000065193,52.879999999888241,29.120000000111759,10.420000000158325,29.679999999934807,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1676587.219999999739230,1680713.320000000065193,1686777.119999999878928,1692072.050000000046566,1695917.460000000195578,1685129.259999999776483,10117200.429999999701977
FS( 3 ),1694313.760000000009313,1686303.580000000074506,1725157.119999999878928,1685892.200000000186265,1713761.980000000214204,1678296.399999999906868,10183729.040000000968575
FS( 4 ),1707009.159999999916181,1695190.660000000149012,1728841.599999999860302,1687402.830000000074506,1726185.380000000121072,1667974.419999999925494,10212608.050000000745058
FS( 5 ),1687166.719999999739230,1711388.080000000074506,1771673.679999999934807,1677789.730000000214204,1685414.040000000037253,1691235.219999999972060,10224671.470000000670552
FS( 6 ),1737525.139999999897555,1746649.719999999972060,1794241.119999999878928,1646341.160000000149012,1655372.000000000000000,1687164.579999999841675,10267297.720000000670552
FS( 7 ),1800767.039999999804422,1738479.340000000083819,1799153.759999999776483,1665430.030000000027940,1651532.040000000037253,1686728.439999999944121,10342094.650000000372529
FS( 8 ),1766395.419999999925494,1740486.100000000093132,1810207.199999999720603,1686029.530000000027940,1674910.620000000344589,1699812.639999999897555,10377845.510000001639128
FS( 9 ),1785814.679999999934807,1741632.820000000065193,1845823.839999999850988,1677103.080000000074506,1652435.560000000288710,1707227.020000000018626,10410041.000000000000000
FS( 10 ),1781535.860000000102445,1779187.900000000139698,1829397.199999999720603,1644555.870000000111759,1652774.380000000121072,1680186.339999999850988,10367641.550000000745058
FS( 11 ),1806691.559999999823049,1775891.080000000074506,1820339.519999999785796,1663919.400000000139698,1663051.920000000158325,1693852.060000000055879,10423749.540000000968575
FS( 12 ),1817082.979999999981374,1780047.940000000176951,1838608.399999999906868,1667352.650000000139698,1654242.600000000093132,1703301.759999999776483,10460640.330000000074506
FS( 13 ),1807820.039999999804422,1772594.260000000009313,1832774.639999999897555,1674081.820000000298023,1659550.780000000027940,1702574.859999999869615,10449400.399999998509884
FS( 14 ),1784074.939999999944121,1782054.699999999953434,1825405.679999999934807,1678751.040000000037253,1652096.740000000223517,1700684.919999999925494,10423072.019999999552965
FS( 15 ),1772978.219999999739230,1790368.420000000158325,1825098.639999999897555,1692209.380000000121072,1655033.180000000167638,1709989.239999999990687,10445681.080000000074506
FS( 16 ),1794701.459999999729916,1773740.979999999981374,1801303.039999999804422,1697565.250000000000000,1657404.920000000158325,1721328.880000000121072,10446048.530000001192093
FS( 17 ),1816095.559999999823049,1770444.160000000149012,1811588.879999999888241,1689462.780000000027940,1658534.320000000065193,1722346.539999999804422,10468476.239999998360872
FS( 18 ),1819339.939999999944121,1722425.260000000009313,1796697.439999999944121,1707178.350000000093132,1672651.820000000065193,1719875.079999999841675,10438171.890000000596046
FS( 19 ),1800390.879999999888241,1700064.219999999972060,1807290.319999999832362,1710748.929999999934807,1671522.420000000158325,1722055.780000000027940,10412076.549999998882413
FS( 20 ),1789153.100000000093132,1700064.219999999972060,1806829.759999999776483,1708139.660000000149012,1679315.280000000027940,1725399.520000000018626,10408905.539999999105930
