代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10785032.639999998733401
真實報酬,785032.639999998733401

夏普值報酬,0.069803264000000
夏普值風險,0.023443428085689
夏普值,2.977519488398122

二次趨勢線,-461.443725346713336 x^2 + 50230.453128149769327 x + 10000000.000000000000000
二次平均預期報酬,40540.134895868788590
風險,54447.975885594714782
二次平均趨勢值,0.744566427612500
一次趨勢線,43139.976372822260601 x + 10000000.000000000000000
一次預期報酬,43139.976372822260601
一次風險,58685.725775093364064
一次趨勢值,0.735101693010520
找到最佳解世代,1940
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](17),IBM[10](2),UNH[23](3),XOM[29](1),
Stock#,DIS[6](17),IBM[10](2),UNH[23](3),XOM[29](1),
張數,66102,16951,67330,33534,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,22.359999999869615,66.520000000018626,37.099999999627471,40.300000000279397,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2577339.339999999850988,2502712.159999999683350,2522892.199999999720603,2511736.900000000372529,10114680.599999999627471
FS( 3 ),2641458.279999999795109,2492711.070000000298023,2530971.799999999813735,2505030.100000000558794,10170171.250000000000000
FS( 4 ),2620966.659999999683350,2520002.180000000167638,2583489.199999999254942,2521126.420000000391155,10245584.459999999031425
FS( 5 ),2607746.260000000242144,2507627.950000000186265,2588875.599999999627471,2534875.360000000335276,10239125.170000001788139
FS( 6 ),2611051.359999999869615,2502712.159999999683350,2588875.599999999627471,2519449.720000000204891,10222088.839999999850988
FS( 7 ),2604441.159999999683350,2496609.799999999813735,2631293.499999999534339,2538228.760000000242144,10270573.219999998807907
FS( 8 ),2589237.700000000186265,2527460.620000000111759,2616480.899999999441206,2568074.020000000018626,10301253.240000000223517
FS( 9 ),2595186.879999999888241,2522714.339999999850988,2666305.099999999627471,2572433.439999999944121,10356639.759999999776483
FS( 10 ),2597169.939999999944121,2542716.520000000018626,2745081.199999999720603,2610326.860000000335276,10495294.519999999552965
FS( 11 ),2603780.140000000130385,2553734.669999999925494,2752487.500000000000000,2639501.439999999944121,10549503.750000000000000
FS( 12 ),2583949.540000000037253,2639167.709999999962747,2730941.899999999906868,2623740.459999999962747,10577799.609999999403954
FS( 13 ),2589237.700000000186265,2641032.320000000298023,2714109.399999999906868,2607308.800000000279397,10551688.220000000670552
FS( 14 ),2626915.839999999850988,2635947.020000000018626,2720842.399999999441206,2648555.620000000577420,10632260.879999998956919
FS( 15 ),2640136.239999999757856,2705954.649999999906868,2680444.399999999906868,2635477.360000000335276,10662012.649999998509884
FS( 16 ),2634848.079999999608845,2736635.959999999962747,2734981.699999999254942,2638495.420000000391155,10744961.159999998286366
FS( 17 ),2607085.239999999757856,2729855.560000000055879,2710069.599999999627471,2671358.740000000223517,10718369.140000000596046
FS( 18 ),2608407.279999999795109,2730364.089999999850988,2847422.799999999348074,2678736.220000000204891,10864930.389999998733401
FS( 19 ),2568085.060000000055879,2698835.229999999981374,2755853.999999999534339,2648890.959999999962747,10671665.250000000000000
FS( 20 ),2569407.099999999627471,2746128.520000000018626,2763933.599999999627471,2705563.420000000391155,10785032.639999998733401
