代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10737532.080000000074506
真實報酬,737532.080000000074506

夏普值報酬,0.065053208000000
夏普值風險,0.022633485775881
夏普值,2.874201907923711

二次趨勢線,1380.142693248007390 x^2 + 13816.746321354985412 x + 10000000.000000000000000
二次平均預期報酬,41419.600186315132305
風險,38455.274615296169941
二次平均趨勢值,1.077085018912850
一次趨勢線,33988.062607287421997 x + 10000000.000000000000000
一次預期報酬,33988.062607287421997
一次風險,70659.134144494397333
一次趨勢值,0.481014422534297
找到最佳解世代,1898
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AXP[1](9),BA[2](6),CSCO[4](1),TRV[22](2),VZ[26](8),
Stock#,AXP[1](9),BA[2](6),CSCO[4](1),TRV[22](2),VZ[26](8),
張數,19406,5162,42247,15811,36663,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,17.639999999897555,86.339999999850988,27.019999999785796,66.610000000102445,33.350000000093132,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2006986.159999999916181,2049400.339999999850988,2000422.469999999739230,1992885.050000000279397,1981301.870000000111759,10030995.890000000596046
FS( 3 ),2016301.040000000037253,2117435.500000000000000,1996620.239999999757856,1995098.590000000316650,1984968.170000000158325,10110423.539999999105930
FS( 4 ),2036871.399999999674037,2122236.160000000149012,2005914.579999999608845,1985137.660000000149012,1972136.120000000111759,10122295.919999998062849
FS( 5 ),2025809.979999999981374,2091573.879999999888241,1972961.919999999925494,2004268.970000000204891,1964070.260000000009313,10058685.009999999776483
FS( 6 ),2028332.759999999776483,2090231.760000000009313,1993662.949999999720603,1988932.300000000279397,1978002.200000000186265,10079161.969999998807907
FS( 7 ),2045604.099999999860302,2085276.239999999757856,2010139.279999999795109,1983082.230000000214204,1981668.500000000000000,10105770.349999999627471
FS( 8 ),2076459.639999999897555,2120222.979999999981374,2023235.849999999860302,2012174.470000000204891,1995233.810000000055879,10227326.750000000000000
FS( 9 ),2087327.000000000000000,2119500.299999999813735,2006759.519999999785796,2024507.050000000046566,1997433.590000000083819,10235527.459999999031425
FS( 10 ),2069085.359999999869615,2115577.179999999701977,2044781.819999999832362,2006956.840000000316650,1980935.240000000223517,10217336.439999999478459
FS( 11 ),2083833.919999999925494,2157647.479999999981374,2088296.229999999748543,2035574.750000000232831,2022364.429999999934807,10387716.810000000521541
FS( 12 ),2066756.639999999897555,2148820.459999999962747,2097590.569999999366701,2041266.709999999962747,2032630.070000000065193,10387064.449999999254942
FS( 13 ),2072190.319999999832362,2176127.439999999944121,2096745.629999999888241,2051385.750000000232831,2044362.229999999981374,10440811.370000001043081
FS( 14 ),2068891.299999999813735,2155634.299999999813735,2087451.289999999571592,2052650.629999999888241,2058660.800000000046566,10423288.319999998435378
FS( 15 ),2084998.279999999795109,2189032.439999999944121,2117024.189999999478459,2071623.830000000307336,2086891.310000000055879,10549570.050000000745058
FS( 16 ),2075101.219999999972060,2203589.279999999795109,2145752.149999999441206,2094866.000000000232831,2081758.490000000223517,10601067.140000000596046
FS( 17 ),2075295.279999999795109,2203073.079999999608845,2162228.479999999515712,2107198.580000000074506,2076625.670000000158325,10624421.089999997988343
FS( 18 ),2084610.159999999916181,2247827.619999999646097,2179549.750000000000000,2096921.430000000167638,2079558.709999999962747,10688467.669999998062849
FS( 19 ),2090820.079999999841675,2271159.859999999869615,2187154.209999999962747,2101506.620000000111759,2086891.310000000055879,10737532.080000000074506
