代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10510114.460000000894070
真實報酬,510114.460000000894070

夏普值報酬,0.042311446000000
夏普值風險,0.018926552724776
夏普值,2.235560094607861

二次趨勢線,1152.911944895086435 x^2 + 4830.589818318701873 x + 10000000.000000000000000
二次平均預期報酬,30194.652606010597083
風險,46182.501219404257427
二次平均趨勢值,0.653811547853624
一次趨勢線,23411.240465116279665 x + 10000000.000000000000000
一次預期報酬,23411.240465116279665
一次風險,75836.600161498718080
一次趨勢值,0.308706355707674
找到最佳解世代,2018
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](2),MMM[16](1),
Stock#,MCD[15](2),MMM[16](1),
張數,73986,59630,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,26.120000000111759,24.500000000000000,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5033293.700000000186265,5020274.200000000186265,10053567.900000000372529
FS( 3 ),5017016.780000000260770,5029815.000000000000000,10046831.780000001192093
FS( 4 ),5008878.320000000298023,4988670.299999999813735,9997548.620000001043081
FS( 5 ),5087303.480000000447035,4946333.000000000000000,10033636.480000000447035
FS( 6 ),5081384.600000000558794,4978533.199999999254942,10059917.800000000745058
FS( 7 ),5070286.700000000186265,4966010.900000000372529,10036297.600000001490116
FS( 8 ),5099141.240000000223517,5005366.700000000186265,10104507.940000001341105
FS( 9 ),5136134.240000000223517,5032200.200000000186265,10168334.440000001341105
FS( 10 ),5116897.879999999888241,5068574.500000000000000,10185472.379999998956919
FS( 11 ),5107279.700000000186265,4994633.300000000745058,10101913.000000000000000
FS( 12 ),5173127.240000000223517,5002981.500000000000000,10176108.740000000223517
FS( 13 ),5204201.360000000335276,5084674.599999999627471,10288875.960000000894070
FS( 14 ),5205681.080000000074506,5110315.500000000000000,10315996.580000000074506
FS( 15 ),5255251.700000000186265,5131186.000000000000000,10386437.699999999254942
FS( 16 ),5264130.020000000484288,5162789.899999999441206,10426919.919999999925494
FS( 17 ),5254511.839999999850988,5214071.700000000186265,10468583.539999999105930
FS( 18 ),5218258.700000000186265,5245675.599999999627471,10463934.300000000745058
FS( 19 ),5204201.360000000335276,5261775.699999999254942,10465977.059999998658895
FS( 20 ),5291504.839999999850988,5326772.399999999441206,10618277.239999998360872
FS( 21 ),5222697.860000000335276,5287416.600000000558794,10510114.460000000894070
