代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10464980.439999999478459
真實報酬,464980.439999999478459

夏普值報酬,0.037798044000000
夏普值風險,0.018782754577575
夏普值,2.012380231232277

二次趨勢線,-2535.983327407468096 x^2 + 68979.319197761986288 x + 10000000.000000000000000
二次平均預期報酬,13187.685994797691819
風險,118574.724288074212382
二次平均趨勢值,0.111218356812355
一次趨勢線,28108.704176985767845 x + 10000000.000000000000000
一次預期報酬,28108.704176985767845
一次風險,177671.097774403257063
一次趨勢值,0.158206396702049
找到最佳解世代,2392
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
INTC[11](1),MCD[15](2),
Stock#,INTC[11](1),MCD[15](2),
張數,104515,32113,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,2.399999999441206,5.900000000372529,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5119147.099999998696148,4761400.410000001080334,9880547.509999999776483
FS( 3 ),5199623.649999999441206,4850032.290000000037253,10049655.939999999478459
FS( 4 ),5299958.049999999813735,4855491.500000000000000,10155449.550000000745058
FS( 5 ),5363712.199999999254942,4893384.839999999850988,10257097.039999999105930
FS( 6 ),5303093.500000000000000,4959537.620000000111759,10262631.120000001043081
FS( 7 ),5454640.249999999068677,5049454.020000000484288,10504094.269999999552965
FS( 8 ),5384615.200000000186265,5065510.520000000484288,10450125.720000000670552
FS( 9 ),5411789.099999999627471,5080924.760000000707805,10492713.859999999403954
FS( 10 ),5420150.299999999813735,5081567.020000000484288,10501717.320000000298023
FS( 11 ),5317725.599999999627471,5189787.830000001005828,10507513.429999999701977
FS( 12 ),5348034.949999999254942,5213872.580000001005828,10561907.530000001192093
FS( 13 ),5312499.849999999627471,5106294.030000000260770,10418793.879999998956919
FS( 14 ),5387750.649999999441206,5118175.839999999850988,10505926.489999998360872
FS( 15 ),5388795.799999999813735,5095054.480000000447035,10483850.280000001192093
FS( 16 ),5312499.849999999627471,5043031.419999999925494,10355531.269999999552965
FS( 17 ),5158862.799999999813735,4976878.639999999664724,10135741.439999999478459
FS( 18 ),5484949.599999998696148,5074181.030000000260770,10559130.629999998956919
FS( 19 ),5350125.249999999068677,5057161.139999999664724,10407286.389999998733401
FS( 20 ),5183946.399999999441206,5087026.230000000447035,10270972.629999998956919
FS( 21 ),5443143.599999999627471,5021836.839999999850988,10464980.439999999478459
