代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10351137.550000000745058
真實報酬,351137.550000000745058

夏普值報酬,0.026413755000000
夏普值風險,0.010670421443268
夏普值,2.475418158545524

二次趨勢線,674.108587076280742 x^2 + 5638.691804269697968 x + 10000000.000000000000000
二次平均預期報酬,19120.863545795309619
風險,25475.771038343005785
二次平均趨勢值,0.750550926094324
一次趨勢線,15491.048076923038025 x + 10000000.000000000000000
一次預期報酬,15491.048076923038025
一次風險,38565.779489360524167
一次趨勢值,0.401678593873532
找到最佳解世代,1963
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
JNJ[12](2),VZ[26](1),
Stock#,JNJ[12](2),VZ[26](1),
張數,67403,112208,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,45.459999999962747,11.519999999552965,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4995281.790000000037253,4995511.679999999701977,9990793.469999998807907
FS( 3 ),5032353.439999999478459,5000000.000000000000000,10032353.439999999478459
FS( 4 ),5081557.629999999888241,5021319.519999999552965,10102877.149999998509884
FS( 5 ),5059314.639999999664724,4988779.199999999254942,10048093.839999999850988
FS( 6 ),5087623.900000000372529,4976436.319999999366701,10064060.219999998807907
FS( 7 ),5082905.689999999478459,4973070.079999999143183,10055975.769999999552965
FS( 8 ),5109192.859999999403954,4986535.039999999105930,10095727.899999998509884
FS( 9 ),5099756.439999999478459,4995511.679999999701977,10095268.119999999180436
FS( 10 ),5109866.889999999664724,4974192.159999999217689,10084059.049999998882413
FS( 11 ),5133457.939999999478459,4982046.719999999739230,10115504.660000000149012
FS( 12 ),5187380.339999999850988,4993267.519999999552965,10180647.859999999403954
FS( 13 ),5166485.410000000149012,5040394.879999999888241,10206880.289999999105930
FS( 14 ),5181314.070000000298023,5062836.479999999515712,10244150.550000000745058
FS( 15 ),5139524.209999999962747,5094254.719999999739230,10233778.929999999701977
FS( 16 ),5093690.169999999925494,5130161.279999999329448,10223851.449999999254942
FS( 17 ),5105822.709999999962747,5175044.479999999515712,10280867.189999999478459
FS( 18 ),5144242.419999999925494,5200852.319999999366701,10345094.739999998360872
FS( 19 ),5130087.790000000037253,5221049.759999999776483,10351137.550000000745058
