代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10581729.230000000447035
真實報酬,581729.230000000447035

夏普值報酬,0.049472923000000
夏普值風險,0.018944846755962
夏普值,2.611418484260430

二次趨勢線,-689.071566387144912 x^2 + 46409.460218701453414 x + 10000000.000000000000000
二次平均預期報酬,31938.957324571405479
風險,41540.812495501835656
二次平均趨勢值,0.768857309375686
一次趨勢線,35821.287369338017015 x + 10000000.000000000000000
一次預期報酬,35821.287369338017015
一次風險,52865.295733605620626
一次趨勢值,0.677595516534054
找到最佳解世代,1731
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](29),BA[2](3),NKE[19](2),UNH[23](30),V[25](6),
Stock#,AAPL[0](29),BA[2](3),NKE[19](2),UNH[23](30),V[25](6),
張數,28653,19045,62208,27563,45187,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,20.600000000093132,84.549999999813735,12.800000000046566,28.719999999972060,23.380000000121072,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2041260.319999999832362,2025901.199999999953434,2026127.360000000102445,2021774.769999999785796,1990510.729999999981374,10105574.379999998956919
FS( 3 ),2027220.350000000093132,2031233.799999999813735,2033592.319999999832362,2040793.240000000223517,1990510.729999999981374,10123350.439999999478459
FS( 4 ),2039254.610000000102445,2020187.699999999720603,2021150.720000000204891,2041344.500000000000000,1995933.170000000158325,10117870.699999999254942
FS( 5 ),2071919.030000000260770,2041518.099999999860302,2034214.400000000139698,2046581.469999999972060,2017171.060000000055879,10211404.060000000521541
FS( 6 ),2024641.580000000074506,2060182.199999999953434,2078382.079999999841675,2057055.409999999916181,2085403.430000000167638,10305664.700000001117587
FS( 7 ),1914614.059999999823049,2080369.899999999906868,2102643.200000000186265,2072215.060000000055879,2104833.839999999850988,10274676.060000000521541
FS( 8 ),1934957.690000000176951,2091225.549999999813735,2117573.120000000111759,2060087.339999999850988,2090825.870000000344589,10294669.570000000298023
FS( 9 ),1902866.330000000074506,2120364.399999999906868,2112596.480000000447035,2052920.960000000195578,2135109.129999999888241,10323857.300000000745058
FS( 10 ),1842408.500000000000000,2203019.699999999720603,2121305.600000000558794,2070561.280000000027940,2139627.830000000074506,10376922.910000000149012
FS( 11 ),1863898.250000000000000,2230444.500000000000000,2125038.080000000074506,2048235.250000000000000,2164480.679999999701977,10432096.759999999776483
FS( 12 ),1902006.739999999990687,2255012.549999999813735,2161118.719999999739230,2013230.240000000223517,2187526.049999999813735,10518894.300000000745058
FS( 13 ),1933238.510000000009313,2267201.350000000093132,2161740.799999999813735,1952591.640000000130385,2199726.540000000037253,10514498.839999999850988
FS( 14 ),1913181.409999999916181,2221302.899999999906868,2158008.320000000298023,1945149.629999999888241,2246269.150000000372529,10483911.410000000149012
FS( 15 ),2008309.370000000111759,2238062.500000000000000,2145566.719999999739230,1979603.379999999888241,2216897.600000000558794,10588439.570000000298023
FS( 16 ),2002005.710000000195578,2266439.549999999813735,2159874.559999999590218,1993384.879999999888241,2184362.959999999962747,10606067.660000000149012
FS( 17 ),1971060.470000000204891,2257107.500000000000000,2143700.480000000447035,1984013.460000000195578,2164028.810000000521541,10519910.720000002533197
FS( 18 ),1990257.979999999981374,2273676.649999999906868,2187868.160000000149012,1988974.799999999813735,2186622.310000000521541,10627399.900000000372529
FS( 19 ),1975931.479999999981374,2261487.849999999627471,2290511.360000000335276,1984289.089999999850988,2180748.000000000000000,10692967.780000001192093
FS( 20 ),1951576.430000000167638,2237872.049999999813735,2259407.360000000335276,1973815.149999999906868,2159058.240000000223517,10581729.230000000447035
