代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10571023.410000000149012
真實報酬,571023.410000000149012

夏普值報酬,0.048402341000000
夏普值風險,0.018527814246429
夏普值,2.612415061821338

二次趨勢線,1968.004230669245771 x^2 + -10343.224488680738432 x + 10000000.000000000000000
二次平均預期報酬,30984.864355373421859
風險,19049.413315546411468
二次平均趨勢值,1.626552158962627
一次趨勢線,19896.840519163779391 x + 10000000.000000000000000
一次預期報酬,19896.840519163779391
一次風險,95306.821058279296267
一次趨勢值,0.208766175371614
找到最佳解世代,2420
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
BA[2](4),NKE[19](18),PG[21](3),TRV[22](19),UNH[23](11),V[25](1),WBA[27](13),WMT[28](5),
Stock#,BA[2](4),NKE[19](18),PG[21](3),TRV[22](19),UNH[23](11),V[25](1),WBA[27](13),WMT[28](5),
張數,6294,21312,14246,9816,6697,13390,15998,16587,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,74.540000000037253,51.199999999953434,55.959999999962747,30.560000000055879,4.949999999953434,43.500000000000000,76.260000000009313,3.679999999934807,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1270266.680000000167638,1226769.919999999925494,1249002.780000000027940,1240478.480000000214204,1260715.199999999953434,1258837.400000000139698,1258158.979999999981374,1249336.519999999785796,10013565.960000000894070
FS( 3 ),1268189.659999999916181,1218245.119999999878928,1244728.979999999981374,1238613.440000000176951,1251942.129999999888241,1248661.000000000000000,1243440.820000000065193,1251824.569999999832362,9965645.720000000670552
FS( 4 ),1273791.320000000065193,1235720.959999999962747,1248717.860000000102445,1248331.280000000027940,1258773.070000000065193,1257632.300000000046566,1239441.320000000065193,1249502.389999999897555,10011910.500000001862645
FS( 5 ),1283798.780000000027940,1251704.959999999962747,1240740.100000000093132,1234588.880000000121072,1252009.099999999860302,1273298.600000000093132,1234481.939999999944121,1214669.689999999944121,9985292.049999998882413
FS( 6 ),1298337.920000000158325,1239983.359999999869615,1236181.379999999888241,1227521.360000000102445,1245312.099999999860302,1277583.399999999906868,1236561.680000000167638,1218650.569999999832362,9980131.769999999552965
FS( 7 ),1299407.899999999906868,1240835.839999999850988,1238888.119999999878928,1229484.560000000055879,1250267.879999999888241,1287893.700000000186265,1240241.219999999972060,1226446.459999999962747,10013465.679999999701977
FS( 8 ),1298086.159999999916181,1234868.479999999981374,1235184.159999999916181,1231251.440000000176951,1242164.509999999776483,1284680.099999999860302,1248080.239999999990687,1244858.029999999795109,10019173.119999999180436
FS( 9 ),1312436.479999999981374,1236147.199999999953434,1240882.559999999823049,1234098.080000000074506,1251674.250000000000000,1297936.200000000186265,1262478.439999999944121,1266255.260000000009313,10101908.469999998807907
FS( 10 ),1315520.540000000037253,1231671.679999999934807,1247293.260000000009313,1239104.239999999990687,1247990.899999999906868,1296597.199999999953434,1266797.900000000139698,1266752.870000000111759,10111728.589999999850988
FS( 11 ),1310737.100000000093132,1228688.000000000000000,1262821.399999999906868,1232233.040000000037253,1251339.399999999906868,1306639.699999999953434,1258638.919999999925494,1263933.080000000074506,10115030.639999998733401
FS( 12 ),1327353.260000000009313,1231245.439999999944121,1258690.059999999823049,1241361.919999999925494,1267010.379999999888241,1315611.000000000000000,1272877.140000000130385,1258459.370000000111759,10172608.570000000298023
FS( 13 ),1323576.860000000102445,1259590.399999999906868,1262251.559999999823049,1222809.679999999934807,1282480.449999999953434,1313736.399999999906868,1276716.659999999916181,1260947.419999999925494,10202109.429999999701977
FS( 14 ),1335283.699999999953434,1277705.600000000093132,1262394.020000000018626,1228502.960000000195578,1284355.609999999869615,1333687.500000000000000,1262318.460000000195578,1263103.729999999981374,10247351.580000001937151
FS( 15 ),1335535.460000000195578,1256393.600000000093132,1256268.239999999990687,1240576.639999999897555,1278395.279999999795109,1343997.800000000046566,1273517.059999999823049,1275378.109999999869615,10260062.189999999478459
FS( 16 ),1337297.780000000027940,1265770.879999999888241,1269944.399999999906868,1251177.919999999925494,1275113.750000000000000,1338909.599999999860302,1280876.140000000130385,1302414.919999999925494,10321505.390000000596046
FS( 17 ),1469408.839999999850988,1243819.520000000018626,1272223.760000000009313,1236846.560000000055879,1277457.699999999953434,1350425.000000000000000,1258798.900000000139698,1308717.979999999981374,10417698.259999999776483
FS( 18 ),1516928.540000000037253,1239344.000000000000000,1291883.239999999990687,1235668.639999999897555,1265269.159999999916181,1333285.799999999813735,1260398.699999999953434,1323314.540000000037253,10466092.620000001043081
FS( 19 ),1518627.920000000158325,1250426.239999999990687,1285187.619999999878928,1248723.919999999925494,1280136.500000000000000,1327662.000000000000000,1273837.020000000018626,1323812.149999999906868,10508413.370000001043081
FS( 20 ),1526117.780000000027940,1258524.799999999813735,1293877.679999999934807,1257362.000000000000000,1284556.520000000018626,1333151.900000000139698,1290634.919999999925494,1326797.809999999823049,10571023.410000000149012
