代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10470755.349999999627471
真實報酬,470755.349999999627471

夏普值報酬,0.038375535000000
夏普值風險,0.018267271826426
夏普值,2.100780859048923

二次趨勢線,1044.466755624244797 x^2 + 2600.622674373611517 x + 10000000.000000000000000
二次平均預期報酬,26623.358053731240943
風險,52644.103566656332987
二次平均趨勢值,0.505723457139347
一次趨勢線,20217.295285902491742 x + 10000000.000000000000000
一次預期報酬,20217.295285902491742
一次風險,79567.398255256179255
一次趨勢值,0.254090189314025
找到最佳解世代,1712
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),DIS[6](2),INTC[11](12),V[25](9),VZ[26](13),
Stock#,AAPL[0](1),DIS[6](2),INTC[11](12),V[25](9),VZ[26](13),
張數,71073,65082,101729,96432,66137,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,5.780000000027940,30.139999999897555,7.859999999869615,0.320000000065193,17.120000000111759,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1992181.970000000204891,2003904.919999999925494,2006103.739999999757856,1982642.239999999990687,2019179.730000000214204,10004012.599999999627471
FS( 3 ),1995024.890000000130385,1973967.199999999720603,2021363.090000000083819,1929604.640000000130385,2021163.840000000083819,9941123.660000000149012
FS( 4 ),1963042.040000000037253,2007159.019999999785796,2081383.199999999953434,1935390.560000000055879,2021825.210000000195578,10008800.030000001192093
FS( 5 ),1918266.049999999813735,2017572.139999999897555,2072227.590000000083819,1926711.680000000167638,2056216.450000000186265,9990993.910000000149012
FS( 6 ),1927505.540000000037253,1996745.899999999906868,2033570.569999999599531,1928640.320000000065193,2064814.260000000009313,9951276.589999999850988
FS( 7 ),2008528.760000000242144,1998047.539999999804422,2035605.150000000139698,1971070.400000000139698,2058861.929999999934807,10072113.780000001192093
FS( 8 ),1994314.159999999916181,2037096.739999999990687,2049847.209999999729916,1984570.879999999888241,2081348.510000000009313,10147177.500000000000000
FS( 9 ),1976545.909999999916181,2063129.539999999804422,2024414.959999999729916,1961427.199999999953434,2085978.100000000093132,10111495.709999999031425
FS( 10 ),2000000.000000000000000,2071590.199999999720603,2032553.280000000027940,2043394.400000000139698,2074734.810000000288710,10222272.689999999478459
FS( 11 ),1971570.799999999813735,2094368.899999999906868,2014242.060000000055879,2077145.600000000093132,2041004.940000000176951,10198332.299999998882413
FS( 12 ),1980099.560000000055879,2110639.399999999441206,1971515.879999999655411,2098360.640000000596046,2022486.580000000074506,10183102.059999998658895
FS( 13 ),1948116.709999999962747,2078098.399999999906868,1939979.889999999897555,2098360.640000000596046,2029100.280000000027940,10093655.919999999925494
FS( 14 ),1984363.940000000176951,2079400.039999999804422,1996948.129999999655411,2144648.000000000000000,2028438.910000000149012,10233799.019999999552965
FS( 15 ),2012793.140000000130385,2108686.939999999478459,2043743.469999999739230,2109932.479999999515712,2041666.310000000288710,10316822.339999997988343
FS( 16 ),2034115.040000000037253,2102829.559999999590218,2038657.019999999785796,2081002.879999999888241,2052909.600000000093132,10309514.099999999627471
FS( 17 ),2051883.290000000037253,2110639.399999999441206,2044760.760000000009313,2077145.600000000093132,2054893.710000000195578,10339322.759999999776483
FS( 18 ),2122245.559999999590218,2101527.919999999925494,2068158.429999999701977,2080038.560000000055879,2062830.150000000139698,10434800.619999999180436
FS( 19 ),2148542.570000000298023,2076796.760000000009313,2065106.560000000055879,2091610.400000000139698,2070766.590000000083819,10452822.880000000819564
FS( 20 ),2122956.290000000037253,2107385.299999999813735,2075279.459999999729916,2122468.640000000596046,2066798.370000000111759,10494888.060000002384186
FS( 21 ),2148542.570000000298023,2100877.099999999627471,2094607.969999999739230,2125361.599999999627471,2066798.370000000111759,10536187.609999999403954
FS( 22 ),2139303.080000000074506,2098924.639999999664724,2075279.459999999729916,2108968.160000000149012,2048280.010000000009313,10470755.349999999627471
