代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10687313.710000000894070
真實報酬,687313.710000000894070

夏普值報酬,0.060031371000000
夏普值風險,0.021273031238924
夏普值,2.821947202811349

二次趨勢線,-476.606713442445880 x^2 + 44670.762440247170161 x + 10000000.000000000000000
二次平均預期報酬,33708.808031070911966
風險,34657.846268474830140
二次平均趨勢值,0.972616929798457
一次趨勢線,36631.995873517800646 x + 10000000.000000000000000
一次預期報酬,36631.995873517800646
一次風險,44072.151451485420694
一次趨勢值,0.831182383139209
找到最佳解世代,1962
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,9
AAPL[0](23),AXP[1](3),CSCO[4](7),HD[9](5),INTC[11](19),JPM[13](1),MMM[16](6),MRK[17](15),TRV[22](26),
Stock#,AAPL[0](23),AXP[1](3),CSCO[4](7),HD[9](5),INTC[11](19),JPM[13](1),MMM[16](6),MRK[17](15),TRV[22](26),
張數,17704,16272,54519,15270,46315,23143,10627,24318,13211,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,7.959999999962747,58.840000000083819,13.780000000027940,65.799999999813735,14.150000000139698,15.570000000065193,58.150000000139698,21.580000000074506,65.900000000139698,
FS( 1 ),1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,10000000.000000000000000
FS( 2 ),1126867.559999999823049,1129010.199999999953434,1130192.650000000139698,1119814.899999999674037,1116668.800000000046566,1112731.010000000009313,1126945.230000000214204,1112083.719999999972060,1115338.520000000251457,10089653.589999999850988
FS( 3 ),1138021.080000000074506,1142841.400000000139698,1135644.550000000046566,1129434.999999999767169,1109721.550000000279397,1100928.080000000074506,1145967.560000000055879,1110624.640000000130385,1128417.410000000149012,10141602.270000001415610
FS( 4 ),1165285.239999999757856,1140075.160000000149012,1134554.169999999925494,1149286.000000000000000,1107405.800000000046566,1115045.310000000055879,1146073.830000000074506,1093845.219999999972060,1127096.310000000055879,10178668.040000000968575
FS( 5 ),1159974.039999999804422,1143004.120000000111759,1111111.000000000000000,1146384.699999999720603,1118521.400000000139698,1137262.590000000083819,1147880.420000000158325,1100897.440000000176951,1136476.120000000111759,10201512.829999998211861
FS( 6 ),1173075.000000000000000,1144143.160000000149012,1129647.459999999962747,1151729.199999999953434,1123152.900000000139698,1151611.250000000000000,1149899.550000000279397,1094088.400000000139698,1153121.980000000214204,10270469.900000002235174
FS( 7 ),1155193.959999999962747,1142515.959999999962747,1135644.550000000046566,1158600.699999999953434,1128247.550000000046566,1134948.290000000037253,1168177.990000000223517,1106247.400000000139698,1142288.959999999962747,10271866.359999999403954
FS( 8 ),1145633.799999999813735,1140400.600000000093132,1150364.680000000167638,1160738.500000000000000,1134731.650000000139698,1133096.850000000093132,1174129.110000000102445,1117433.680000000167638,1142685.290000000037253,10299215.160000000149012
FS( 9 ),1150059.799999999813735,1135681.720000000204891,1159632.909999999916181,1170816.699999999953434,1115279.350000000093132,1149528.380000000121072,1174341.650000000139698,1122783.640000000130385,1142817.400000000139698,10320942.550000000745058
FS( 10 ),1122618.599999999860302,1163669.560000000055879,1159632.909999999916181,1180742.199999999720603,1104163.750000000232831,1162488.459999999962747,1175298.080000000074506,1134456.280000000027940,1161312.800000000279397,10364383.640000000596046
FS( 11 ),1084555.000000000000000,1184335.000000000000000,1156361.770000000018626,1189293.399999999674037,1120837.150000000139698,1182391.440000000176951,1184968.650000000139698,1136401.719999999972060,1159727.480000000214204,10398872.610000001266599
FS( 12 ),1099072.280000000027940,1175385.400000000139698,1302472.689999999944121,1172038.299999999813735,1108795.250000000232831,1179614.280000000027940,1180399.040000000037253,1127647.239999999990687,1147705.470000000204891,10493130.950000001117587
FS( 13 ),1095708.520000000018626,1193121.879999999888241,1321554.339999999850988,1173717.999999999767169,1113426.750000000000000,1210394.469999999972060,1183799.680000000167638,1118406.400000000139698,1142817.400000000139698,10552948.439999999478459
FS( 14 ),1120317.080000000074506,1210695.640000000130385,1305743.830000000074506,1172191.000000000000000,1115279.350000000093132,1210163.040000000037253,1187306.590000000083819,1099438.360000000102445,1130266.950000000186265,10551402.839999999850988
FS( 15 ),1111996.199999999953434,1222248.760000000009313,1309014.970000000204891,1201967.499999999767169,1118521.400000000139698,1227057.430000000167638,1190388.420000000158325,1150992.520000000018626,1104901.830000000074506,10637090.029999999329448
FS( 16 ),1116245.159999999916181,1211346.520000000018626,1272487.239999999990687,1216932.099999999860302,1114816.200000000186265,1241174.660000000149012,1177423.480000000214204,1135915.360000000102445,1106751.370000000111759,10593093.089999999850988
FS( 17 ),1118192.599999999860302,1215414.520000000018626,1281755.470000000204891,1205021.499999999767169,1113889.900000000139698,1234694.620000000111759,1173385.220000000204891,1150992.520000000018626,1103184.400000000139698,10596531.750000000000000
FS( 18 ),1125805.320000000065193,1224852.280000000027940,1282845.850000000093132,1206243.099999999627471,1107868.950000000186265,1241868.949999999953434,1171897.440000000176951,1146858.459999999962747,1104505.500000000000000,10612746.850000001490116
FS( 19 ),1116422.199999999953434,1239334.360000000102445,1302472.689999999944121,1218917.199999999720603,1115279.350000000093132,1263623.370000000111759,1185925.080000000074506,1158044.739999999990687,1099485.320000000065193,10699505.310000000521541
FS( 20 ),1125274.199999999953434,1233964.600000000093132,1315012.060000000055879,1213878.099999999627471,1124079.200000000186265,1265243.380000000121072,1181036.660000000149012,1139806.239999999990687,1105430.270000000251457,10703725.709999999031425
FS( 21 ),1142093.000000000000000,1239008.920000000158325,1328641.810000000055879,1213114.599999999860302,1121300.300000000279397,1287229.229999999981374,1184118.490000000223517,1144669.840000000083819,1117188.060000000055879,10777365.250000001862645
FS( 22 ),1137489.959999999962747,1232011.959999999962747,1315012.060000000055879,1201203.999999999767169,1124542.350000000093132,1263391.940000000176951,1171897.440000000176951,1135672.180000000167638,1106090.820000000065193,10687313.710000000894070
