代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10752672.960000000894070
真實報酬,752672.960000000894070

夏普值報酬,0.066567296000000
夏普值風險,0.022682642367278
夏普值,2.934724046790499

二次趨勢線,-255.312905268357781 x^2 + 41552.356683352518303 x + 10000000.000000000000000
二次平均預期報酬,35680.159862180284108
風險,28485.744780186330900
二次平均趨勢值,1.252561944141202
一次趨勢線,37246.079014492810529 x + 10000000.000000000000000
一次預期報酬,37246.079014492810529
一次風險,32002.045552748972113
一次趨勢值,1.163865570814844
找到最佳解世代,1779
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](10),CVX[5](5),IBM[10](15),JNJ[12](1),UTX[24](2),
Stock#,AAPL[0](10),CVX[5](5),IBM[10](15),JNJ[12](1),UTX[24](2),
張數,34211,16795,10455,23086,21110,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,24.939999999944121,51.400000000139698,167.600000000093132,59.820000000065193,38.600000000093132,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2045158.520000000018626,2001175.650000000139698,2002300.100000000093132,1998614.839999999850988,1980156.600000000093132,10027405.709999999031425
FS( 3 ),2056448.149999999906868,2000000.000000000000000,2020596.350000000093132,2003462.900000000139698,1999788.900000000139698,10080296.300000000745058
FS( 4 ),2040026.870000000111759,2024016.850000000325963,2038160.750000000232831,2028626.640000000130385,2037786.900000000139698,10168618.010000001639128
FS( 5 ),2028395.129999999888241,2036277.199999999953434,2038683.500000000000000,2045248.560000000055879,2047286.400000000139698,10195890.790000000968575
FS( 6 ),2064316.680000000167638,2070371.050000000046566,2000209.100000000325963,2051943.500000000000000,2069240.800000000046566,10256081.130000000819564
FS( 7 ),2056106.040000000037253,2064156.900000000139698,2010141.350000000093132,2060254.459999999962747,2064385.500000000232831,10255044.250000001862645
FS( 8 ),2088264.379999999888241,2078768.550000000046566,2015891.600000000325963,2070181.440000000176951,2104494.500000000000000,10357600.470000000670552
FS( 9 ),2084501.169999999925494,2083639.100000000093132,2008259.449999999953434,2077568.959999999962747,2107449.899999999906868,10361418.580000000074506
FS( 10 ),2088948.600000000093132,2094052.000000000232831,2028437.600000000093132,2087034.220000000204891,2116105.000000000000000,10414577.420000001788139
FS( 11 ),2102633.000000000000000,2084646.800000000279397,2026869.350000000093132,2087034.220000000204891,2110827.500000000000000,10412010.870000001043081
FS( 12 ),2102975.109999999869615,2088509.650000000139698,2034187.850000000325963,2080801.000000000000000,2129193.200000000186265,10435666.810000000521541
FS( 13 ),2110159.419999999925494,2107320.049999999813735,2070153.050000000279397,2081724.440000000176951,2139326.000000000000000,10508682.960000000894070
FS( 14 ),2076974.750000000000000,2131504.849999999627471,2023628.300000000046566,2129281.600000000558794,2163391.400000000372529,10524780.900000000372529
FS( 15 ),2083474.839999999850988,2133520.250000000000000,2029378.550000000046566,2130435.900000000372529,2155580.700000000186265,10532390.240000000223517
FS( 16 ),2047895.399999999906868,2137383.100000000558794,2038683.500000000000000,2133667.940000000409782,2219121.800000000279397,10576751.740000000223517
FS( 17 ),2152923.169999999925494,2122435.549999999813735,2055725.150000000139698,2132282.780000000260770,2216377.500000000000000,10679744.150000000372529
FS( 18 ),2143001.979999999981374,2145780.600000000558794,2062102.700000000186265,2137130.839999999850988,2212155.500000000000000,10700171.620000001043081
FS( 19 ),2155317.939999999944121,2142421.600000000558794,2063461.850000000093132,2143133.200000000186265,2215955.300000000279397,10720289.890000000596046
FS( 20 ),2188502.609999999869615,2119076.549999999813735,2051543.150000000139698,2151905.879999999888241,2218066.299999999813735,10729094.490000002086163
FS( 21 ),2215529.300000000279397,2112526.500000000000000,2049452.149999999906868,2150982.440000000409782,2228621.299999999813735,10757111.690000001341105
FS( 22 ),2211766.090000000316650,2114373.950000000186265,2039310.800000000046566,2158600.820000000298023,2228621.299999999813735,10752672.960000000894070
