代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10681566.830000001937151
真實報酬,681566.830000001937151

夏普值報酬,0.059456683000000
夏普值風險,0.022868419670192
夏普值,2.599947169830023

二次趨勢線,1621.315305335558378 x^2 + 1122.065572935453019 x + 10000000.000000000000000
二次平均預期報酬,36791.002290317737788
風險,49705.809776134505228
二次平均趨勢值,0.740175091322672
一次趨勢線,27251.635493808560568 x + 10000000.000000000000000
一次預期報酬,27251.635493808560568
一次風險,98114.315412117837695
一次趨勢值,0.277753917757477
找到最佳解世代,1969
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,5
AAPL[0](22),CAT[3](1),DIS[6](3),V[25](6),XOM[29](2),
Stock#,AAPL[0](22),CAT[3](1),DIS[6](3),V[25](6),XOM[29](2),
張數,25396,23738,28204,39001,21385,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,65.000000000000000,73.500000000000000,54.360000000102445,28.719999999972060,74.800000000046566,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2054601.400000000139698,1990979.560000000055879,1971513.960000000195578,1967239.159999999916181,2018604.949999999953434,10002939.029999999329448
FS( 3 ),2049776.159999999916181,1993353.359999999869615,1973488.239999999990687,1976989.409999999916181,2024592.750000000000000,10018199.919999999925494
FS( 4 ),2060442.479999999981374,2003798.079999999841675,1980821.280000000260770,1966849.149999999906868,2013044.849999999860302,10024955.839999999850988
FS( 5 ),2031745.000000000000000,2029672.500000000000000,2015512.199999999953434,1968409.189999999944121,2045550.050000000279397,10090888.940000001341105
FS( 6 ),2055109.320000000065193,2043677.920000000158325,2005640.800000000046566,1965679.119999999878928,2049613.200000000186265,10119720.359999999403954
FS( 7 ),2051807.840000000083819,2051511.459999999962747,2018614.639999999897555,1944618.579999999841675,2046833.149999999906868,10113385.669999999925494
FS( 8 ),2036570.239999999990687,2024450.140000000130385,1989000.439999999944121,2005460.140000000130385,2015824.900000000139698,10071305.860000001266599
FS( 9 ),2033776.679999999934807,2031334.159999999916181,1963898.879999999888241,1983619.579999999841675,2039348.400000000139698,10051977.699999999254942
FS( 10 ),2011428.200000000186265,2042728.399999999906868,1963616.840000000316650,2021840.560000000055879,2038279.150000000139698,10077893.150000000372529
FS( 11 ),2022602.439999999944121,2074299.939999999944121,1988718.400000000139698,2025740.659999999916181,2079124.500000000000000,10190485.940000001341105
FS( 12 ),2013459.880000000121072,2063380.459999999962747,1992949.000000000000000,2079172.030000000027940,2069073.550000000046566,10218034.919999999925494
FS( 13 ),1998222.280000000260770,2093052.959999999962747,2036383.160000000149012,2099842.560000000521541,2128737.700000000186265,10356238.660000000149012
FS( 14 ),1975365.880000000121072,2078098.020000000251457,2058100.239999999990687,2106862.740000000223517,2126385.350000000558794,10344812.230000000447035
FS( 15 ),1991873.280000000260770,2111093.840000000316650,2042023.960000000195578,2105692.709999999962747,2110346.600000000558794,10361030.390000000596046
FS( 16 ),2068315.239999999990687,2135543.979999999981374,2066843.480000000214204,2125973.229999999515712,2106711.150000000372529,10503387.080000000074506
FS( 17 ),2059680.599999999860302,2158095.080000000074506,2082919.760000000009313,2132603.400000000372529,2121894.500000000000000,10555193.339999999850988
FS( 18 ),2045966.760000000009313,2163792.200000000186265,2104636.839999999850988,2147033.769999999552965,2157821.299999999813735,10619250.870000001043081
FS( 19 ),2031998.960000000195578,2157145.560000000055879,2097021.760000000009313,2141963.639999999664724,2170866.150000000372529,10598996.070000000298023
FS( 20 ),2011936.119999999878928,2157145.560000000055879,2150045.280000000260770,2154053.950000000186265,2145204.150000000372529,10618385.060000000521541
FS( 21 ),2035554.400000000139698,2155721.280000000260770,2154839.959999999962747,2171214.389999999664724,2164236.799999999813735,10681566.830000001937151
