代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11454669.839999999850988
真實報酬,1454669.839999999850988

夏普值報酬,0.136766984000000
夏普值風險,0.045504460358225
夏普值,3.005573144331994

二次趨勢線,2665.165161381649341 x^2 + 17855.095319696061779 x + 10000000.000000000000000
二次平均預期報酬,76488.728870092352736
風險,98122.776615882743499
二次平均趨勢值,0.779520632294372
一次趨勢線,60807.640827544557396 x + 10000000.000000000000000
一次預期報酬,60807.640827544557396
一次風險,170188.611995523417136
一次趨勢值,0.357295591723517
找到最佳解世代,1894
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
WBA[27](1),WMT[28](3),
Stock#,WBA[27](1),WMT[28](3),
張數,167448,72098,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,2.719999999739230,3.700000000186265,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4958138.000000000000000,5100937.200000000186265,10059075.199999999254942
FS( 3 ),5001674.479999999515712,5124729.540000000037253,10126404.019999999552965
FS( 4 ),4959812.479999999515712,5144916.980000000447035,10104729.460000000894070
FS( 5 ),4973208.319999999366701,5173756.180000000633299,10146964.500000000000000
FS( 6 ),5010046.879999999888241,5198990.480000000447035,10209037.359999999403954
FS( 7 ),5013395.839999999850988,5209805.180000000633299,10223201.019999999552965
FS( 8 ),5040187.519999999552965,5213410.080000000074506,10253597.599999999627471
FS( 9 ),5120562.559999999590218,5276135.340000000782311,10396697.900000000372529
FS( 10 ),5107166.719999999739230,5261715.740000000223517,10368882.460000000894070
FS( 11 ),5140656.319999999366701,5270367.500000000000000,10411023.820000000298023
FS( 12 ),5185867.279999999329448,5252343.000000000000000,10438210.279999999329448
FS( 13 ),5797052.479999999515712,5157173.640000000596046,10954226.120000001043081
FS( 14 ),5793703.519999999552965,5209084.200000000186265,11002787.719999998807907
FS( 15 ),5679838.879999999888241,5180245.000000000000000,10860083.879999998956919
FS( 16 ),5711654.000000000000000,5201153.419999999925494,10912807.419999999925494
FS( 17 ),5802075.919999999925494,5196827.540000000037253,10998903.460000000894070
FS( 18 ),5855659.279999999329448,5311463.360000000335276,11167122.640000000596046
FS( 19 ),5981245.279999999329448,5372746.660000000149012,11353991.939999999478459
FS( 20 ),6073341.680000000633299,5405911.740000000223517,11479253.420000001788139
FS( 21 ),6088412.000000000000000,5366257.840000000782311,11454669.839999999850988
