代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11010246.280000001192093
真實報酬,1010246.280000001192093

夏普值報酬,0.092324628000000
夏普值風險,0.034631680021858
夏普值,2.665900930642922

二次趨勢線,3042.423453911325851 x^2 + -23844.306837453455955 x + 10000000.000000000000000
二次平均預期報酬,49173.856056418364460
風險,118759.996537398910732
二次平均趨勢值,0.414060773746595
一次趨勢線,29754.131882516237965 x + 10000000.000000000000000
一次預期報酬,29754.131882516237965
一次風險,223657.051488968165359
一次趨勢值,0.133034624593465
找到最佳解世代,2296
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
TRV[22](2),UNH[23](1),
Stock#,TRV[22](2),UNH[23](1),
張數,53705,58906,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,64.500000000000000,58.720000000670552,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4998388.849999999627471,5001178.120000001043081,9999566.970000000670552
FS( 3 ),5073038.799999999813735,5067152.840000000782311,10140191.640000000596046
FS( 4 ),5085928.000000000000000,5012370.260000000707805,10098298.260000001639128
FS( 5 ),5030074.799999999813735,4959354.860000000335276,9989429.660000000149012
FS( 6 ),5072501.750000000000000,5102496.440000001341105,10174998.190000001341105
FS( 7 ),5042426.950000000186265,5003534.360000000335276,10045961.310000000521541
FS( 8 ),5050482.700000000186265,5030042.060000000521541,10080524.760000001639128
FS( 9 ),5022556.099999999627471,4945217.420000000856817,9967773.519999999552965
FS( 10 ),5031148.900000000372529,4878653.640000000596046,9909802.540000000968575
FS( 11 ),4940387.450000000186265,4839775.680000000633299,9780163.130000000819564
FS( 12 ),4930720.549999999813735,5030042.060000000521541,9960762.609999999403954
FS( 13 ),5007518.700000000186265,5194389.800000000745058,10201908.500000000000000
FS( 14 ),5005370.500000000000000,5215595.960000000894070,10220966.460000000894070
FS( 15 ),5061223.700000000186265,5357559.420000000856817,10418783.120000001043081
FS( 16 ),5133188.400000000372529,5288050.340000000782311,10421238.740000002086163
FS( 17 ),5197097.349999999627471,5340476.680000000633299,10537574.030000001192093
FS( 18 ),5248654.150000000372529,5398204.560000000521541,10646858.710000000894070
FS( 19 ),5309877.850000000558794,5427068.500000000000000,10736946.350000001490116
FS( 20 ),5356064.150000000372529,5457110.560000000521541,10813174.710000000894070
FS( 21 ),5339415.599999999627471,5475960.480000000447035,10815376.080000000074506
FS( 22 ),5370564.500000000000000,5530154.000000000000000,10900718.500000000000000
FS( 23 ),5413528.500000000000000,5596717.780000001192093,11010246.280000001192093
