代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10818415.040000000968575
真實報酬,818415.040000000968575

夏普值報酬,0.073141504000000
夏普值風險,0.024339408528085
夏普值,3.005064971714622

二次趨勢線,507.979220169001792 x^2 + 28537.976723818163009 x + 10000000.000000000000000
二次平均預期報酬,39713.519567536204704
風險,37457.505272280453937
二次平均趨勢值,1.060228631855129
一次趨勢線,36724.711597704648739 x + 10000000.000000000000000
一次預期報酬,36724.711597704648739
一次風險,45885.830616206905688
一次趨勢值,0.800349718083418
找到最佳解世代,2606
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](7),JPM[13](1),KO[14](4),MRK[17](8),
Stock#,DIS[6](7),JPM[13](1),KO[14](4),MRK[17](8),
張數,23734,23791,57142,41349,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,97.780000000260770,41.720000000204891,37.500000000000000,39.459999999962747,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2469383.140000000596046,2465027.229999999981374,2513714.080000000074506,2510337.250000000000000,9958461.700000001117587
FS( 3 ),2500237.340000000316650,2467644.240000000223517,2551999.219999999739230,2548791.819999999832362,10068672.619999999180436
FS( 4 ),2486946.300000000279397,2475733.180000000167638,2550856.379999999888241,2571947.260000000242144,10085483.120000001043081
FS( 5 ),2516376.459999999962747,2552340.200000000186265,2537142.299999999813735,2564504.439999999944121,10170363.400000000372529
FS( 6 ),2516613.800000000279397,2536638.140000000130385,2569713.239999999757856,2576082.159999999683350,10199047.339999999850988
FS( 7 ),2564319.140000000596046,2531166.210000000428408,2559427.680000000167638,2559542.560000000055879,10214455.590000001713634
FS( 8 ),2569303.280000000260770,2542110.070000000298023,2552570.640000000130385,2590967.799999999813735,10254951.789999999105930
FS( 9 ),2610837.780000000260770,2530452.479999999981374,2556570.580000000074506,2600478.069999999832362,10298338.910000000149012
FS( 10 ),2615584.580000000540167,2630850.500000000000000,2555999.159999999683350,2588073.370000000111759,10390507.609999999403954
FS( 11 ),2617957.979999999981374,2628947.220000000204891,2585713.000000000000000,2585592.430000000167638,10418210.630000000819564
FS( 12 ),2627214.240000000223517,2653451.950000000186265,2578284.540000000037253,2602545.520000000018626,10461496.250000000000000
FS( 13 ),2661391.200000000186265,2614434.710000000428408,2577713.120000000111759,2584765.449999999720603,10438304.480000000447035
FS( 14 ),2645964.100000000558794,2647504.200000000186265,2587427.260000000242144,2585178.939999999944121,10466074.500000000000000
FS( 15 ),2636707.840000000316650,2696751.570000000298023,2568570.400000000372529,2592208.270000000018626,10494238.080000000074506
FS( 16 ),2627451.580000000540167,2715784.370000000111759,2586284.419999999925494,2622393.040000000037253,10551913.410000000149012
FS( 17 ),2638843.900000000372529,2740289.100000000558794,2633712.280000000260770,2666636.469999999739230,10679481.750000000000000
FS( 18 ),2694144.120000000577420,2732438.070000000298023,2642283.580000000074506,2646788.950000000186265,10715654.720000002533197
FS( 19 ),2673020.860000000335276,2760511.450000000186265,2640569.319999999832362,2625287.470000000204891,10699389.100000001490116
FS( 20 ),2673258.200000000186265,2777165.150000000372529,2641712.159999999683350,2679868.149999999906868,10772003.660000000149012
FS( 21 ),2695330.820000000298023,2734817.170000000391155,2664568.959999999962747,2723698.090000000316650,10818415.040000000968575
