代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10562245.440000001341105
真實報酬,562245.440000001341105

夏普值報酬,0.047524544000000
夏普值風險,0.017896278600992
夏普值,2.655554546260049

二次趨勢線,-455.340526123186919 x^2 + 37121.525496753019979 x + 10000000.000000000000000
二次平均預期報酬,26193.352869796537561
風險,41717.593256354251935
二次平均趨勢值,0.627873058468129
一次趨勢線,29099.781759944482474 x + 10000000.000000000000000
一次預期報酬,29099.781759944482474
一次風險,50447.057340472332726
一次趨勢值,0.576838041583815
找到最佳解世代,1643
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),HD[9](5),NKE[19](8),PG[21](7),UNH[23](2),WMT[28](25),
Stock#,AAPL[0](1),HD[9](5),NKE[19](8),PG[21](7),UNH[23](2),WMT[28](25),
張數,19225,32249,71684,26037,32545,22638,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,50.750000000000000,37.679999999934807,13.000000000000000,37.629999999888241,36.550000000046566,56.439999999944121,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1669357.500000000000000,1657313.790000000037253,1658780.760000000009313,1653647.499999999767169,1663086.050000000046566,1676400.339999999850988,9978589.939999999478459
FS( 3 ),1691081.749999999767169,1686337.889999999897555,1694622.760000000009313,1705461.129999999888241,1679684.000000000000000,1687719.339999999850988,10144910.869999999180436
FS( 4 ),1709922.250000000000000,1676985.679999999934807,1711826.919999999925494,1713532.599999999860302,1659831.550000000046566,1681607.080000000074506,10153710.080000000074506
FS( 5 ),1705308.250000000000000,1689885.279999999795109,1723296.359999999869615,1724207.769999999785796,1709950.850000000093132,1675042.059999999823049,10227694.570000000298023
FS( 6 ),1702424.500000000000000,1702462.389999999897555,1718995.320000000065193,1737226.269999999785796,1716134.399999999906868,1682286.219999999972060,10259533.099999999627471
FS( 7 ),1704923.750000000232831,1714072.029999999795109,1703941.679999999934807,1737486.639999999897555,1693027.450000000186265,1671872.739999999757856,10225328.290000000968575
FS( 8 ),1707423.000000000000000,1711169.620000000111759,1693905.919999999925494,1738528.119999999878928,1689122.050000000046566,1668024.280000000027940,10208176.990000000223517
FS( 9 ),1730300.750000000000000,1703429.859999999869615,1717561.640000000130385,1730977.389999999897555,1689122.050000000046566,1661685.640000000130385,10233081.330000000074506
FS( 10 ),1734914.750000000000000,1764380.469999999972060,1701074.320000000065193,1737486.639999999897555,1691400.199999999953434,1675494.820000000065193,10304755.199999999254942
FS( 11 ),1732607.750000000000000,1773732.679999999934807,1688888.039999999804422,1735143.309999999823049,1719063.449999999953434,1685455.540000000037253,10334894.769999999552965
FS( 12 ),1747795.500000000000000,1815978.870000000111759,1698923.800000000046566,1744516.629999999888241,1737614.100000000093132,1633388.140000000130385,10378221.040000000968575
FS( 13 ),1780093.500000000000000,1829523.449999999720603,1725446.880000000121072,1744516.629999999888241,1729152.400000000139698,1629766.059999999823049,10438502.919999999925494
FS( 14 ),1826810.250000000000000,1824363.609999999869615,1716127.960000000195578,1738007.379999999888241,1731430.550000000046566,1636783.839999999850988,10473527.589999999850988
FS( 15 ),1801817.750000000000000,1816301.359999999869615,1717561.640000000130385,1738528.119999999878928,1738590.450000000186265,1617088.780000000027940,10429892.099999999627471
FS( 16 ),1836999.500000000000000,1826621.040000000037253,1716127.960000000195578,1740611.079999999841675,1756490.199999999953434,1624785.699999999953434,10501639.479999998584390
FS( 17 ),1819889.250000000000000,1823718.629999999888241,1710393.239999999990687,1736184.790000000037253,1754862.950000000186265,1620031.719999999972060,10465084.580000000074506
FS( 18 ),1821619.500000000000000,1836940.719999999972060,1736199.479999999981374,1745037.369999999878928,1762673.750000000000000,1632482.619999999878928,10534957.439999999478459
FS( 19 ),1855840.000000000000000,1827588.510000000009313,1728314.239999999990687,1747380.699999999953434,1777319.000000000000000,1641311.439999999944121,10577757.889999998733401
FS( 20 ),1853340.750000000000000,1823073.649999999906868,1772041.479999999981374,1744256.259999999776483,1768206.399999999906868,1639274.019999999785796,10600196.559999998658895
FS( 21 ),1849687.999999999767169,1833070.840000000083819,1768457.280000000027940,1741131.820000000065193,1778295.350000000093132,1647423.699999999953434,10618070.990000000223517
FS( 22 ),1823349.750000000000000,1825976.059999999823049,1751969.960000000195578,1741392.189999999711290,1779922.599999999860302,1635651.939999999944121,10558266.499999998137355
FS( 23 ),1827002.500000000000000,1830168.429999999934807,1744801.560000000055879,1749463.659999999916181,1767230.050000000046566,1643575.239999999757856,10562245.440000001341105
