代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10664899.449999999254942
真實報酬,664899.449999999254942

夏普值報酬,0.057789945000000
夏普值風險,0.021845893763045
夏普值,2.645345877208163

二次趨勢線,1552.890365074000329 x^2 + -2712.835946777737263 x + 10000000.000000000000000
二次平均預期報酬,33003.642449924263929
風險,68811.504698296848801
二次平均趨勢值,0.479623902930597
一次趨勢線,23479.248210803692928 x + 10000000.000000000000000
一次預期報酬,23479.248210803692928
一次風險,112265.239873698476003
一次趨勢值,0.209140854615538
找到最佳解世代,2079
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](3),KO[14](1),VZ[26](2),
Stock#,BA[2](3),KO[14](1),VZ[26](2),
張數,9971,64065,60320,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,127.409999999683350,31.049999999813735,49.800000000279397,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3385880.169999999925494,3352552.499999999534339,3353238.600000000558794,10091672.269999999552965
FS( 3 ),3301126.669999999925494,3308988.299999999813735,3330920.200000000186265,9941036.169999999925494
FS( 4 ),3314986.359999999403954,3348708.600000000093132,3320665.800000000279397,9984361.759999999776483
FS( 5 ),3304317.389999999664724,3407007.750000000000000,3323078.600000000558794,10034404.740000000223517
FS( 6 ),3353873.259999999776483,3439680.899999999441206,3367112.200000000186265,10160667.359999999403954
FS( 7 ),3365838.459999999962747,3422383.350000000093132,3364699.400000000372529,10152922.210000000894070
FS( 8 ),3319872.149999999441206,3408289.049999999813735,3359270.600000000093132,10087432.799999998882413
FS( 9 ),3319074.469999999739230,3427508.549999999813735,3400288.200000000186265,10146872.219999998807907
FS( 10 ),3195035.229999999981374,3394835.399999999906868,3361080.200000000186265,9950951.830000000074506
FS( 11 ),3270615.409999999683350,3451212.599999999627471,3396065.800000000279397,10117894.810000000521541
FS( 12 ),3295044.359999999403954,3485807.699999999720603,3417177.800000000279397,10198030.859999999403954
FS( 13 ),3328247.789999999571592,3503745.899999999441206,3438289.800000000279397,10270284.490000000223517
FS( 14 ),3308006.659999999683350,3451853.250000000000000,3394256.200000000651926,10154117.110000001266599
FS( 15 ),3390167.699999999720603,3465947.549999999813735,3413558.600000000558794,10269674.850000001490116
FS( 16 ),3533949.520000000018626,3490932.899999999906868,3425019.400000000372529,10449902.820000000298023
FS( 17 ),3549903.119999999646097,3442884.149999999906868,3373144.200000000186265,10365932.469999998807907
FS( 18 ),3580115.250000000000000,3494136.149999999906868,3420797.000000000465661,10495049.400000000372529
FS( 19 ),3537140.239999999757856,3505667.849999999627471,3449147.400000000372529,10491956.490000000223517
FS( 20 ),3589388.279999999795109,3530653.199999999720603,3495593.800000000279397,10615636.279999999329448
FS( 21 ),3617007.949999999720603,3526809.299999999813735,3494990.600000000093132,10638808.849999999627471
FS( 22 ),3630468.799999999348074,3526168.649999999906868,3508261.000000000000000,10664899.449999999254942
