代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10494662.619999999180436
真實報酬,494662.619999999180436

夏普值報酬,0.040766262000000
夏普值風險,0.022109874423389
夏普值,1.843803416489605

二次趨勢線,2612.782168770963381 x^2 + -25745.717447232738778 x + 10000000.000000000000000
二次平均預期報酬,31735.490265728458326
風險,73927.080753924703458
二次平均趨勢值,0.429280987996319
一次趨勢線,16362.609133192358058 x + 10000000.000000000000000
一次預期報酬,16362.609133192358058
一次風險,155076.361316976050148
一次趨勢值,0.105513238731125
找到最佳解世代,1737
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](4),CSCO[4](1),PFE[20](10),
Stock#,BA[2](4),CSCO[4](1),PFE[20](10),
張數,47087,190367,135777,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,44.269999999552965,6.829999999608845,7.649999999906868,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3298488.619999999646097,3302874.279999999795109,3333333.000000000000000,9934696.899999998509884
FS( 3 ),3315439.939999999478459,3312392.629999999422580,3337406.309999999590218,9965239.879999998956919
FS( 4 ),3391250.009999999310821,3327621.989999999757856,3355057.319999999832362,10073930.319999998435378
FS( 5 ),3301313.839999999385327,3276222.899999999906868,3281737.740000000223517,9859275.480000000447035
FS( 6 ),3342279.529999999795109,3203883.439999999478459,3280379.969999999739230,9826543.939999997615814
FS( 7 ),3449167.019999999552965,3201979.769999999552965,3281737.740000000223517,9932885.529999999329448
FS( 8 ),3469885.299999999348074,3209594.449999999720603,3273591.119999999646097,9953071.869999999180436
FS( 9 ),3454346.589999999385327,3207690.779999999795109,3265444.500000000000000,9927482.869999999180436
FS( 10 ),3356876.500000000000000,3361888.049999999813735,3232858.019999999552965,9951623.570000000298023
FS( 11 ),3345104.750000000000000,3415190.810000000055879,3212491.469999999739230,9972788.030000001192093
FS( 12 ),3332391.259999999310821,3424709.159999999217689,3239646.869999999646097,9996748.289999997243285
FS( 13 ),3388424.789999999105930,3483722.929999999701977,3277664.430000000167638,10149813.149999998509884
FS( 14 ),3415735.250000000000000,3491337.609999999403954,3296673.209999999962747,10203747.070000000298023
FS( 15 ),3444458.319999999832362,3517988.989999999757856,3306177.600000000093132,10268625.910000000149012
FS( 16 ),3472239.649999999441206,3586521.109999999403954,3330617.459999999962747,10389379.219999998807907
FS( 17 ),3497195.759999999310821,3628401.849999999161810,3325186.379999999888241,10450784.989999998360872
FS( 18 ),3507554.899999999441206,3609365.149999999906868,3292599.899999999906868,10409520.949999999254942
FS( 19 ),3488720.099999999627471,3584617.439999999478459,3349626.240000000223517,10422964.779999999329448
FS( 20 ),3490132.709999999962747,3618883.500000000000000,3374066.100000000093132,10483083.310000000521541
FS( 21 ),3497666.629999999422580,3599846.799999999813735,3397148.189999999944121,10494662.619999999180436
