代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10514168.880000002682209
真實報酬,514168.880000002682209

夏普值報酬,0.042716888000000
夏普值風險,0.015644658960416
夏普值,2.730445457972730

二次趨勢線,1002.395602063013826 x^2 + 3580.582705622364301 x + 10000000.000000000000000
二次平均預期報酬,25633.285951008670963
風險,15869.990875944371510
二次平均趨勢值,1.615204832276459
一次趨勢線,19735.469966777473019 x + 10000000.000000000000000
一次預期報酬,19735.469966777473019
一次風險,54654.518628910351254
一次趨勢值,0.361094937104397
找到最佳解世代,2461
找到最佳解實驗#,1
找到最佳解次數,23

stock[index](rank)
投資組合檔數,7
AAPL[0](9),KO[14](2),MCD[15](6),MSFT[18](1),PG[21](18),TRV[22](10),V[25](4),
Stock#,AAPL[0](9),KO[14](2),MCD[15](6),MSFT[18](1),PG[21](18),TRV[22](10),V[25](4),
張數,7470,30577,7583,12002,13783,10350,9084,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,8.199999999953434,13.560000000055879,9.630000000121072,92.959999999962747,100.879999999888241,64.000000000000000,21.160000000149012,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1449337.600000000093132,1423984.449999999953434,1428267.680000000167638,1430611.339999999850988,1430087.129999999888241,1416047.500000000000000,1433294.680000000167638,10011633.379999998956919
FS( 3 ),1459272.699999999953434,1412059.420000000158325,1428267.680000000167638,1439972.899999999906868,1429260.149999999906868,1413874.000000000000000,1439471.800000000279397,10022181.650000002235174
FS( 4 ),1461812.500000000000000,1421232.520000000018626,1439793.840000000083819,1432651.679999999934807,1425676.570000000065193,1413046.000000000000000,1432022.919999999925494,10026239.029999999329448
FS( 5 ),1471598.199999999953434,1420926.750000000000000,1446163.560000000288710,1439012.739999999990687,1428708.830000000074506,1411804.000000000000000,1432113.760000000242144,10050330.840000001713634
FS( 6 ),1494755.199999999953434,1423372.909999999916181,1439642.180000000167638,1439492.820000000065193,1446902.389999999897555,1406422.000000000000000,1433022.160000000149012,10083612.660000000149012
FS( 7 ),1490273.199999999953434,1427042.150000000139698,1441386.270000000251457,1431691.520000000018626,1442629.659999999916181,1399280.500000000000000,1430660.320000000298023,10062966.620000001043081
FS( 8 ),1498639.600000000093132,1426124.840000000083819,1434864.890000000130385,1442613.339999999850988,1442491.830000000074506,1402075.000000000000000,1440380.200000000186265,10087192.699999999254942
FS( 9 ),1486164.699999999953434,1428265.229999999981374,1432286.670000000158325,1444293.619999999878928,1443870.129999999888241,1410562.000000000000000,1434021.400000000372529,10079466.750000000000000
FS( 10 ),1485567.100000000093132,1429182.540000000037253,1452912.430000000167638,1451734.860000000102445,1448142.859999999869615,1425466.000000000000000,1450190.919999999925494,10143199.710000000894070
FS( 11 ),1488256.299999999813735,1437132.560000000055879,1454808.180000000167638,1452935.059999999823049,1457377.469999999972060,1415840.500000000000000,1457458.120000000111759,10163811.190000001341105
FS( 12 ),1488405.699999999953434,1435603.710000000195578,1453670.729999999981374,1449574.500000000000000,1466887.739999999990687,1431883.000000000000000,1455550.479999999981374,10181578.860000001266599
FS( 13 ),1517389.299999999813735,1445694.120000000111759,1452988.260000000242144,1461576.500000000000000,1459031.429999999701977,1406318.500000000000000,1457458.120000000111759,10200459.230000000447035
FS( 14 ),1522842.400000000139698,1451809.520000000018626,1478012.160000000149012,1480779.699999999953434,1461788.029999999795109,1437989.500000000000000,1454914.600000000093132,10288138.910000000149012
FS( 15 ),1527847.300000000046566,1449363.360000000102445,1470504.989999999990687,1485460.479999999981374,1461236.709999999962747,1413977.500000000232831,1457094.760000000242144,10265488.100000001490116
FS( 16 ),1549883.799999999813735,1474130.729999999981374,1480666.209999999962747,1505623.839999999850988,1421955.159999999916181,1428467.500000000000000,1468540.600000000093132,10329270.839999999850988
FS( 17 ),1547493.399999999906868,1467098.020000000018626,1498637.920000000158325,1500462.979999999981374,1429260.149999999906868,1440577.000000000000000,1466996.320000000298023,10350528.790000000968575
FS( 18 ),1533449.800000000046566,1462817.240000000223517,1500912.820000000065193,1550151.260000000009313,1423609.119999999878928,1440680.500000000000000,1462726.840000000316650,10374350.580000000074506
FS( 19 ),1526129.199999999953434,1475659.580000000074506,1497045.489999999990687,1559032.739999999757856,1459169.259999999776483,1451548.000000000000000,1480077.280000000260770,10448664.550000000745058
FS( 20 ),1528444.900000000139698,1480551.900000000139698,1494770.590000000083819,1557592.500000000000000,1444283.619999999878928,1464175.000000000000000,1491159.760000000242144,10460981.270000001415610
FS( 21 ),1499013.099999999860302,1500121.180000000167638,1498182.940000000176951,1567554.159999999916181,1467714.719999999972060,1487876.500000000000000,1493703.280000000260770,10514168.880000002682209
