代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11068350.610000001266599
真實報酬,1068350.610000001266599

夏普值報酬,0.098135061000000
夏普值風險,0.032000877489888
夏普值,3.066636564294542

二次趨勢線,540.147669749734632 x^2 + 41398.205766984137881 x + 10000000.000000000000000
二次平均預期報酬,53281.454501478299790
風險,51762.528988081365242
二次平均趨勢值,1.029344113262833
一次趨勢線,50103.376351555481961 x + 10000000.000000000000000
一次預期報酬,50103.376351555481961
一次風險,58937.149442975947750
一次趨勢值,0.850115365691931
找到最佳解世代,1972
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
BA[2](12),GS[8](13),MSFT[18](1),TRV[22](2),UTX[24](7),WMT[28](6),
Stock#,BA[2](12),GS[8](13),MSFT[18](1),TRV[22](2),UTX[24](7),WMT[28](6),
張數,5614,6518,19391,12628,13004,16905,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,206.240000000223517,208.940000000176951,9.550000000046566,22.560000000055879,73.360000000102445,2.050000000046566,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1672055.440000000176951,1651153.160000000149012,1674422.399999999906868,1671969.760000000242144,1691113.520000000018626,1681204.300000000046566,10041922.580000000074506
FS( 3 ),1665711.620000000344589,1674226.880000000121072,1689159.560000000055879,1671969.760000000242144,1696445.159999999916181,1682725.750000000232831,10080242.730000000447035
FS( 4 ),1734034.000000000000000,1665688.300000000279397,1710101.840000000083819,1668939.040000000037253,1711009.639999999897555,1692699.699999999953434,10182476.519999999552965
FS( 5 ),1741388.340000000083819,1641506.520000000251457,1711847.030000000027940,1659973.159999999916181,1727264.639999999897555,1717719.100000000093132,10199702.790000000968575
FS( 6 ),1787872.260000000242144,1655389.860000000102445,1710683.570000000065193,1672853.719999999972060,1746120.440000000176951,1697095.000000000000000,10270018.849999999627471
FS( 7 ),1798145.880000000121072,1657931.880000000353903,1702927.169999999925494,1668307.640000000130385,1754312.960000000195578,1684923.400000000139698,10266552.930000001564622
FS( 8 ),1842271.920000000158325,1663146.280000000260770,1707968.830000000074506,1671212.080000000074506,1755483.320000000298023,1690840.149999999906868,10330926.580000000074506
FS( 9 ),1887689.180000000167638,1675530.479999999981374,1737443.149999999906868,1701393.000000000000000,1776159.680000000167638,1705209.400000000139698,10483428.890000000596046
FS( 10 ),1881794.480000000447035,1684851.219999999972060,1713204.399999999906868,1711369.120000000111759,1742219.239999999990687,1702166.500000000000000,10435608.959999999031425
FS( 11 ),1970776.380000000121072,1653499.640000000130385,1747914.290000000037253,1728290.640000000130385,1748071.040000000037253,1736145.550000000046566,10584701.540000002831221
FS( 12 ),1909864.480000000447035,1636031.400000000139698,1747138.649999999906868,1734352.080000000074506,1750541.800000000279397,1763193.550000000046566,10541125.960000002756715
FS( 13 ),1896222.460000000428408,1669599.100000000093132,1745199.550000000046566,1740792.359999999869615,1767316.960000000195578,1768096.000000000000000,10587230.430000001564622
FS( 14 ),1897738.240000000223517,1704796.300000000046566,1776419.060000000055879,1759734.359999999869615,1758344.200000000186265,1782634.300000000046566,10679670.460000000894070
FS( 15 ),1884208.500000000000000,1695475.560000000055879,1782042.450000000186265,1846993.839999999850988,1769007.480000000214204,1790241.550000000046566,10767973.380000000819564
FS( 16 ),1879155.900000000139698,1731911.180000000167638,1780491.169999999925494,1864167.920000000158325,1764456.080000000307336,1788382.000000000232831,10808568.250000000000000
FS( 17 ),1926425.780000000260770,1753746.479999999981374,1790380.580000000074506,1874901.719999999972060,1791374.360000000102445,1802075.050000000046566,10938907.970000000670552
FS( 18 ),1927043.320000000298023,1747945.460000000195578,1823927.010000000009313,1886898.319999999832362,1794365.280000000027940,1832335.000000000000000,11012518.389999998733401
FS( 19 ),1913569.720000000204891,1776233.580000000307336,1821212.270000000018626,1881089.440000000176951,1777330.040000000037253,1851944.800000000046566,11021383.850000001490116
FS( 20 ),1896110.180000000167638,1753159.860000000102445,1798330.889999999897555,1878058.719999999972060,1775119.360000000102445,1821177.700000000186265,10921960.710000000894070
FS( 21 ),1989639.420000000158325,1746315.960000000195578,1842348.460000000195578,1893212.319999999832362,1794755.399999999906868,1802075.050000000046566,11068350.610000001266599
