代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10439925.039999999105930
真實報酬,439925.039999999105930

夏普值報酬,0.035292504000000
夏普值風險,0.017794729232463
夏普值,1.983312223465299

二次趨勢線,2676.894945707895658 x^2 + -39767.832616552521358 x + 10000000.000000000000000
二次平均預期報酬,21800.751134729078331
風險,57807.424162453637109
二次平均趨勢值,0.377127184796600
一次趨勢線,5382.462134387294100 x + 10000000.000000000000000
一次預期報酬,5382.462134387294100
一次風險,163472.067413185694022
一次趨勢值,0.032925882810198
找到最佳解世代,2025
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](2),MSFT[18](1),VZ[26](6),
Stock#,MCD[15](2),MSFT[18](1),VZ[26](6),
張數,41162,136444,91903,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,34.239999999757856,6.080000000074506,11.189999999944121,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3323865.739999999757856,3304679.759999999776483,3324142.700000000186265,9952689.199999999254942
FS( 3 ),3315221.720000000204891,3262382.120000000111759,3274515.080000000074506,9852119.919999999925494
FS( 4 ),3321807.639999999664724,3276026.520000000484288,3235915.819999999832362,9833750.980000000447035
FS( 5 ),3339918.919999999925494,3282848.719999999739230,3251539.330000000074506,9874307.969999998807907
FS( 6 ),3340330.540000000037253,3266475.440000000409782,3299328.889999999664724,9906135.870000001043081
FS( 7 ),3344858.359999999869615,3269204.320000000298023,3278191.200000000186265,9892254.879999998956919
FS( 8 ),3307812.559999999590218,3235093.320000000298023,3234077.759999999776483,9776984.640000000596046
FS( 9 ),3323042.500000000000000,3280119.839999999850988,3274515.080000000074506,9877678.419999999925494
FS( 10 ),3353502.379999999888241,3304679.759999999776483,3269919.929999999701977,9928103.070000000298023
FS( 11 ),3344035.119999999646097,3239186.639999999664724,3227644.549999999813735,9810867.309999998658895
FS( 12 ),3367497.459999999962747,3274662.080000000074506,3238672.910000000149012,9880833.449999999254942
FS( 13 ),3396722.479999999515712,3310137.520000000484288,3263486.719999999739230,9970347.719999998807907
FS( 14 ),3403720.019999999552965,3338790.759999999776483,3276353.139999999664724,10018864.919999998062849
FS( 15 ),3408247.839999999850988,3378359.520000000484288,3307600.160000000149012,10094208.519999999552965
FS( 16 ),3402073.540000000037253,3363350.679999999701977,3303005.009999999776483,10068430.230000000447035
FS( 17 ),3387255.220000000204891,3360621.799999999813735,3313114.339999999850988,10060992.359999999403954
FS( 18 ),3368732.319999999832362,3315595.280000000260770,3308519.189999999944121,9992847.789999999105930
FS( 19 ),3388490.079999999608845,3438394.879999999888241,3345280.389999999664724,10172166.349999997764826
FS( 20 ),3472048.939999999478459,3520261.280000000260770,3360903.899999999906868,10353215.119999999180436
FS( 21 ),3481104.579999999608845,3495701.360000000335276,3374689.349999999627471,10351496.289999999105930
FS( 22 ),3470814.079999999608845,3547550.080000000074506,3421559.879999999888241,10439925.039999999105930
