代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10380754.800000000745058
真實報酬,380754.800000000745058

夏普值報酬,0.029375480000000
夏普值風險,0.014769330765663
夏普值,1.988951325289161

二次趨勢線,79.530786917626529 x^2 + 18670.514551280142769 x + 10000000.000000000000000
二次平均預期報酬,20420.191863467924122
風險,65536.997169401729479
二次平均趨勢值,0.311582659344084
一次趨勢線,19952.254907882816042 x + 10000000.000000000000000
一次預期報酬,19952.254907882816042
一次風險,65668.229155461434857
一次趨勢值,0.303834215791754
找到最佳解世代,2243
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AXP[1](2),MCD[15](1),
Stock#,AXP[1](2),MCD[15](1),
張數,100704,63580,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,46.400000000372529,68.799999999813735,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5025176.000000000000000,5019074.000000000000000,10044250.000000000000000
FS( 3 ),5005035.200000001117587,5027339.399999999441206,10032374.600000001490116
FS( 4 ),4986908.480000000447035,4997456.799999999813735,9984365.280000001192093
FS( 5 ),5055387.200000001117587,5003814.799999999813735,10059202.000000000000000
FS( 6 ),5054380.160000000149012,5042598.599999999627471,10096978.759999999776483
FS( 7 ),5052366.080000001005828,5068030.599999999627471,10120396.679999999701977
FS( 8 ),5018126.719999999739230,5055314.600000000558794,10073441.320000000298023
FS( 9 ),4988922.560000000521541,5128431.599999999627471,10117354.160000000149012
FS( 10 ),4983887.360000000335276,5133517.999999999068677,10117405.359999999403954
FS( 11 ),5042295.680000000633299,5158950.000000000000000,10201245.679999999701977
FS( 12 ),5111781.440000000409782,5145598.200000000186265,10257379.640000000596046
FS( 13 ),5141992.640000000596046,5181838.799999999813735,10323831.440000001341105
FS( 14 ),5218527.680000000633299,5246054.600000000558794,10464582.280000001192093
FS( 15 ),5155084.160000000149012,5234610.199999999254942,10389694.359999999403954
FS( 16 ),5148034.879999999888241,5245418.799999999813735,10393453.679999999701977
FS( 17 ),5091640.640000000596046,5254320.000000000000000,10345960.640000000596046
FS( 18 ),5076535.040000000037253,5259406.399999999441206,10335941.439999999478459
FS( 19 ),5103725.120000000111759,5240968.200000000186265,10344693.320000000298023
FS( 20 ),5149041.920000000856817,5189468.400000000372529,10338510.320000000298023
FS( 21 ),5196372.800000000745058,5184382.000000000000000,10380754.800000000745058
