代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10364495.809999998658895
真實報酬,364495.809999998658895

夏普值報酬,0.027749581000000
夏普值風險,0.019067973999092
夏普值,1.455297820383102

二次趨勢線,288.630178961481533 x^2 + 19721.947548051324702 x + 10000000.000000000000000
二次平均預期報酬,26360.441664165398834
風險,77052.211559413393843
二次平均趨勢值,0.342111421991300
一次趨勢線,24590.176566534930316 x + 10000000.000000000000000
一次預期報酬,24590.176566534930316
一次風險,78796.381477754315711
一次趨勢值,0.312072408724469
找到最佳解世代,2117
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](5),DIS[6](15),INTC[11](2),
Stock#,AAPL[0](5),DIS[6](15),INTC[11](2),
張數,35642,38549,107596,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,93.160000000149012,0.970000000204891,8.919999999925494,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3331907.320000000298023,3332176.530000000260770,3333333.000000000000000,9997417.850000001490116
FS( 3 ),3351510.420000000391155,3347596.130000000353903,3350548.359999999869615,10049655.910000000149012
FS( 4 ),3420655.899999999906868,3337958.880000000353903,3338712.800000000279397,10097328.580000000074506
FS( 5 ),3398557.859999999869615,3309818.110000000335276,3312889.759999999776483,10021266.730000000447035
FS( 6 ),3399983.540000000037253,3362244.750000000000000,3323649.359999999869615,10085878.650000000372529
FS( 7 ),3387508.840000000316650,3348367.110000000335276,3363459.879999999888241,10099336.830000001937151
FS( 8 ),3393924.399999999906868,3349523.580000000074506,3362383.919999999925494,10105832.900000000372529
FS( 9 ),3437764.060000000055879,3344512.210000000428408,3388206.959999999962747,10170484.230000000447035
FS( 10 ),3397488.600000000093132,3320997.320000000298023,3411878.080000000074506,10130365.000000000000000
FS( 11 ),3378241.920000000391155,3290158.120000000111759,3728210.319999999832362,10396611.360000001266599
FS( 12 ),3318006.940000000409782,3277822.440000000409782,3625994.120000000111759,10221824.500000000000000
FS( 13 ),3365767.220000000204891,3307890.660000000149012,3625994.120000000111759,10299653.000000000000000
FS( 14 ),3348302.640000000130385,3305192.229999999981374,3664728.680000000167638,10318224.550000000745058
FS( 15 ),3376103.399999999906868,3323310.259999999776483,3743273.759999999776483,10442688.419999999925494
FS( 16 ),3464139.140000000130385,3316756.930000000633299,3712070.919999999925494,10492967.990000000223517
FS( 17 ),3458436.420000000391155,3346054.169999999925494,3685171.919999999925494,10489663.509999999776483
FS( 18 ),3481247.300000000279397,3324081.240000000223517,3685171.919999999925494,10490501.460000000894070
FS( 19 ),3529364.000000000000000,3359546.320000000298023,3683019.999999999534339,10571931.320000000298023
FS( 20 ),3506553.120000000111759,3322924.770000000484288,3678716.159999999683350,10508195.050000000745058
FS( 21 ),3498355.460000000428408,3361859.259999999776483,3695931.520000000018626,10556147.240000000223517
FS( 22 ),3407468.359999999869615,3310589.089999999850988,3646437.359999999869615,10364495.809999998658895
