代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10532904.780000001192093
真實報酬,532904.780000001192093

夏普值報酬,0.044590478000000
夏普值風險,0.015711046598241
夏普值,2.838160890248581

二次趨勢線,-138.601059152708331 x^2 + 29024.563299175773864 x + 10000000.000000000000000
二次平均預期報酬,26113.941056968898920
風險,30037.726052576352231
二次平均趨勢值,0.869371436814509
一次趨勢線,26894.839707317074499 x + 10000000.000000000000000
一次預期報酬,26894.839707317074499
一次風險,30749.287029923372756
一次趨勢值,0.874649213204346
找到最佳解世代,2115
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](12),JNJ[12](4),MSFT[18](1),PFE[20](2),WMT[28](19),
Stock#,AAPL[0](12),JNJ[12](4),MSFT[18](1),PFE[20](2),WMT[28](19),
張數,20857,16489,39093,56227,27468,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,22.270000000018626,49.189999999944121,2.120000000111759,5.609999999869615,54.919999999925494,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1981228.699999999953434,2016159.219999999972060,2000390.930000000167638,2013494.479999999981374,2009064.439999999944121,10020337.769999999552965
FS( 3 ),1992491.479999999981374,2022260.149999999906868,2008600.460000000195578,2016305.829999999841675,2027742.679999999701977,10067400.599999999627471
FS( 4 ),2001042.849999999860302,2020116.580000000074506,2008600.460000000195578,2011245.400000000139698,2019776.959999999962747,10060782.250000000000000
FS( 5 ),2016477.030000000260770,2025722.839999999850988,2044566.020000000018626,2030924.849999999627471,2028292.040000000037253,10145982.780000001192093
FS( 6 ),2022734.130000000121072,2027041.959999999962747,2055902.990000000223517,2032611.659999999683350,2034335.000000000000000,10172625.740000000223517
FS( 7 ),2031911.209999999962747,2026877.070000000065193,2080140.650000000139698,2037672.090000000083819,2012635.279999999795109,10189236.300000000745058
FS( 8 ),2020439.860000000102445,2028196.189999999944121,2091868.550000000046566,2041607.979999999981374,2022249.080000000074506,10204361.660000000149012
FS( 9 ),2060485.300000000046566,2031164.209999999962747,2100859.940000000409782,2075906.449999999953434,2024446.520000000018626,10292862.419999999925494
FS( 10 ),2060276.729999999981374,2028196.189999999944121,2099296.220000000204891,2067472.400000000139698,2023622.479999999981374,10278864.020000001415610
FS( 11 ),2082176.580000000074506,2030504.649999999906868,2109460.400000000372529,2060162.889999999897555,2028292.040000000037253,10310596.560000000521541
FS( 12 ),2083010.860000000102445,2065296.439999999944121,2075449.490000000223517,2060162.889999999897555,2023347.799999999813735,10307267.480000000447035
FS( 13 ),2084887.989999999990687,2063482.649999999906868,2185691.750000000000000,2062411.969999999739230,2026918.640000000130385,10423393.000000000000000
FS( 14 ),2073833.780000000260770,2063647.540000000037253,2181391.520000000018626,2064098.780000000027940,2019502.279999999795109,10402473.900000000372529
FS( 15 ),2057773.889999999897555,2061668.859999999869615,2211493.130000000353903,2065785.590000000083819,2020326.319999999832362,10417047.790000000968575
FS( 16 ),2030242.650000000139698,2059360.399999999906868,2217748.009999999776483,2068034.669999999925494,2025819.919999999925494,10401205.649999998509884
FS( 17 ),2016268.459999999962747,2063647.540000000037253,2218920.799999999813735,2070846.019999999785796,2025270.560000000055879,10394953.379999998956919
FS( 18 ),2147250.419999999925494,2057381.719999999972060,2196637.790000000037253,2071970.560000000055879,2014008.679999999701977,10487249.169999999925494
FS( 19 ),2176241.649999999906868,2052270.129999999888241,2197419.650000000372529,2061849.699999999953434,2011811.239999999757856,10499592.369999999180436
FS( 20 ),2173530.239999999757856,2064966.659999999916181,2215793.359999999869615,2074219.639999999897555,2004394.879999999888241,10532904.780000001192093
