代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10480218.839999999850988
真實報酬,480218.839999999850988

夏普值報酬,0.039321884000000
夏普值風險,0.041053817169340
夏普值,0.957813102684321

二次趨勢線,9134.864727492966267 x^2 + -133382.058818824298214 x + 10000000.000000000000000
二次平均預期報酬,49315.235731035027129
風險,194250.411126894905465
二次平均趨勢值,0.253874550097192
一次趨勢線,127.502582995991716 x + 10000000.000000000000000
一次預期報酬,127.502582995991716
一次風險,437802.901867272274103
一次趨勢值,0.000291232841199
找到最佳解世代,2481
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](2),INTC[11](1),
Stock#,AAPL[0](2),INTC[11](1),
張數,29800,104931,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,156.000000000000000,37.850000000558794,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4783056.000000000000000,4842603.500000000000000,9625659.500000000000000
FS( 3 ),4663558.000000000000000,4671565.970000000670552,9335123.970000000670552
FS( 4 ),4858450.000000000000000,4712489.060000000521541,9570939.060000000521541
FS( 5 ),4754448.000000000000000,4742919.050000000745058,9497367.050000000745058
FS( 6 ),4623626.000000000000000,4485838.100000000558794,9109464.100000001490116
FS( 7 ),4661174.000000000000000,4611755.300000000745058,9272929.300000000745058
FS( 8 ),4848914.000000000000000,4704094.580000000074506,9553008.580000000074506
FS( 9 ),4897488.000000000000000,4665270.110000000335276,9562758.109999999403954
FS( 10 ),4987782.000000000000000,4761806.630000000819564,9749588.630000000819564
FS( 11 ),5155258.000000000000000,4818469.370000001043081,9973727.370000001043081
FS( 12 ),5138570.000000000000000,4780694.210000000894070,9919264.210000000894070
FS( 13 ),5121286.000000000000000,4860441.770000000484288,9981727.769999999552965
FS( 14 ),5098042.000000000000000,4820567.990000000223517,9918609.990000000223517
FS( 15 ),5140656.000000000000000,4805877.650000000372529,9946533.650000000372529
FS( 16 ),5230056.000000000000000,5008394.480000000447035,10238450.480000000447035
FS( 17 ),5333462.000000000000000,5153199.260000000707805,10486661.260000001639128
FS( 18 ),5316178.000000000000000,5237144.060000000521541,10553322.060000000521541
FS( 19 ),5308132.000000000000000,5172086.840000000782311,10480218.839999999850988
