代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10392400.240000000223517
真實報酬,392400.240000000223517

夏普值報酬,0.030540024000000
夏普值風險,0.012432577972413
夏普值,2.456451434912841

二次趨勢線,-116.189365186487180 x^2 + 23660.250600949184445 x + 10000000.000000000000000
二次平均預期報酬,21220.273932032952871
風險,18506.511833564822155
二次平均趨勢值,1.146638227823476
一次趨勢線,21874.901818815360457 x + 10000000.000000000000000
一次預期報酬,21874.901818815360457
一次風險,19310.292870017081441
一次趨勢值,1.132810463624833
找到最佳解世代,3270
找到最佳解實驗#,2
找到最佳解次數,2

stock[index](rank)
投資組合檔數,8
BA[2](6),CVX[5](25),JPM[13](9),MRK[17](8),TRV[22](1),UNH[23](3),V[25](13),WMT[28](17),
Stock#,BA[2](6),CVX[5](25),JPM[13](9),MRK[17](8),TRV[22](1),UNH[23](3),V[25](13),WMT[28](17),
張數,3621,10756,9780,14716,9562,4956,6908,10627,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,67.010000000009313,45.239999999990687,116.000000000000000,22.959999999962747,55.360000000102445,47.239999999990687,135.560000000055879,52.260000000009313,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1271363.899999999906868,1307652.159999999916181,1259975.599999999860302,1234695.360000000102445,1245027.760000000009313,1245242.239999999990687,1236322.159999999916181,1249468.649999999906868,10049747.830000000074506
FS( 3 ),1297435.100000000093132,1311631.879999999888241,1262714.000000000000000,1220273.679999999934807,1255259.100000000093132,1240534.040000000037253,1218499.520000000018626,1263177.479999999981374,10069524.800000000745058
FS( 4 ),1282589.000000000000000,1289689.640000000130385,1264670.000000000000000,1225129.959999999962747,1265586.060000000055879,1241624.360000000102445,1221262.720000000204891,1269978.760000000009313,10060530.500000000000000
FS( 5 ),1275165.949999999953434,1311094.080000000074506,1264670.000000000000000,1219685.039999999804422,1271896.979999999981374,1271063.000000000000000,1232730.000000000000000,1277736.469999999972060,10124041.520000001415610
FS( 6 ),1271038.010000000009313,1300768.320000000065193,1275232.399999999906868,1230133.399999999906868,1274574.340000000083819,1273590.560000000055879,1236460.320000000065193,1269341.139999999897555,10131138.490000000223517
FS( 7 ),1328829.169999999925494,1299477.600000000093132,1270733.599999999860302,1225571.439999999944121,1276964.840000000083819,1259317.280000000027940,1240397.879999999888241,1265090.340000000083819,10166382.150000000372529
FS( 8 ),1314055.489999999990687,1301091.000000000000000,1263300.800000000046566,1237932.880000000121072,1275148.060000000055879,1265066.239999999990687,1241779.480000000214204,1265940.500000000000000,10164314.450000001117587
FS( 9 ),1312679.510000000009313,1315288.919999999925494,1256650.399999999906868,1248234.079999999841675,1282606.420000000158325,1256740.159999999916181,1239499.840000000083819,1285706.719999999972060,10197406.050000000745058
FS( 10 ),1330567.250000000000000,1311847.000000000000000,1257824.000000000000000,1244260.760000000009313,1280885.260000000009313,1267940.719999999972060,1241848.560000000055879,1282199.810000000055879,10217373.359999999403954
FS( 11 ),1345920.290000000037253,1297649.080000000074506,1266919.399999999906868,1249411.360000000102445,1277251.699999999953434,1335193.639999999897555,1241986.720000000204891,1263283.750000000000000,10277615.939999999478459
FS( 12 ),1337881.669999999925494,1275169.040000000037253,1277579.600000000093132,1238080.039999999804422,1284136.340000000083819,1352688.320000000065193,1241226.840000000083819,1277949.010000000009313,10284710.859999999403954
FS( 13 ),1328974.010000000009313,1252581.439999999944121,1277188.400000000139698,1245732.360000000102445,1295323.880000000121072,1359131.120000000111759,1262710.720000000204891,1274123.290000000037253,10295765.220000002533197
FS( 14 ),1343132.120000000111759,1262154.280000000027940,1267897.399999999906868,1254856.279999999795109,1295037.020000000251457,1365722.600000000093132,1255042.840000000083819,1266046.770000000018626,10309889.310000000521541
FS( 15 ),1326946.250000000000000,1277535.359999999869615,1270831.400000000139698,1257652.319999999832362,1287961.140000000130385,1370629.040000000037253,1242815.679999999934807,1273804.479999999981374,10308175.670000001788139
FS( 16 ),1344689.149999999906868,1276029.520000000018626,1279242.199999999953434,1257505.159999999916181,1292168.420000000158325,1372066.279999999795109,1239914.320000000065193,1268490.979999999981374,10330106.030000001192093
FS( 17 ),1351170.739999999990687,1273340.520000000018626,1286088.200000000186265,1261184.159999999916181,1291212.220000000204891,1400959.760000000009313,1250276.320000000065193,1263815.100000000093132,10378047.019999999552965
FS( 18 ),1352546.719999999972060,1266994.479999999981374,1287848.599999999860302,1285318.399999999906868,1306989.520000000251457,1394665.639999999897555,1261190.960000000195578,1266684.389999999897555,10422238.710000000894070
FS( 19 ),1332595.010000000009313,1270006.159999999916181,1291662.800000000046566,1289291.719999999972060,1308519.440000000176951,1391047.760000000009313,1273763.520000000018626,1262114.780000000027940,10419001.189999999478459
FS( 20 ),1326004.790000000037253,1259895.520000000018626,1288728.799999999813735,1282963.840000000083819,1307372.000000000000000,1387082.959999999962747,1274730.639999999897555,1265621.689999999944121,10392400.240000000223517
