代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10606269.939999997615814
真實報酬,606269.939999997615814

夏普值報酬,0.051926994000000
夏普值風險,0.019193047581096
夏普值,2.705510616831049

二次趨勢線,1959.761876648592761 x^2 + -15022.360169086632595 x + 10000000.000000000000000
二次平均預期報酬,28092.401117182402231
風險,86375.861107691336656
二次平均趨勢值,0.325234397167485
一次趨勢線,16561.709145273256581 x + 10000000.000000000000000
一次預期報酬,16561.709145273256581
一次風險,133850.132577355019748
一次趨勢值,0.123733229294352
找到最佳解世代,2189
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CAT[3](1),UNH[23](2),
Stock#,CAT[3](1),UNH[23](2),
張數,61387,36835,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,28.849999999627471,17.099999999627471,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5014732.879999999888241,5032046.450000000186265,10046779.330000000074506
FS( 3 ),5038673.809999999590218,5008472.049999999813735,10047145.859999999403954
FS( 4 ),5139348.489999999292195,4972373.750000000000000,10111722.239999998360872
FS( 5 ),5128298.830000000074506,4988949.500000000000000,10117248.330000000074506
FS( 6 ),4959484.580000000074506,4921909.799999999813735,9881394.379999998956919
FS( 7 ),5028851.889999999664724,4992264.649999999441206,10021116.539999999105930
FS( 8 ),4925107.860000000335276,4934065.349999999627471,9859173.210000000894070
FS( 9 ),4973603.589999998919666,4924488.250000000000000,9898091.839999999850988
FS( 10 ),5035604.459999999962747,4995211.450000000186265,10030815.910000000149012
FS( 11 ),5036832.199999999254942,5100559.549999999813735,10137391.750000000000000
FS( 12 ),5026396.409999999217689,5071459.899999999441206,10097856.309999998658895
FS( 13 ),5015346.750000000000000,5063724.549999999813735,10079071.300000000745058
FS( 14 ),5124001.739999999292195,5153601.949999999254942,10277603.689999997615814
FS( 15 ),5125843.349999999627471,5195225.499999999068677,10321068.849999997764826
FS( 16 ),5060773.129999999888241,5175702.949999999254942,10236476.079999998211861
FS( 17 ),5056476.040000000037253,5146603.299999999813735,10203079.339999999850988
FS( 18 ),5087783.409999999217689,5186016.749999999068677,10273800.159999998286366
FS( 19 ),5315529.179999999701977,5172019.449999999254942,10487548.629999998956919
FS( 20 ),5369549.739999999292195,5095034.299999999813735,10464584.039999999105930
FS( 21 ),5449352.839999998919666,5156917.099999999627471,10606269.939999997615814
